N,sqrt(1/N),Mesh,x1,x2,x3,x4,x5,x6,x7
1060864,0.00097089,2369x449,0.381458431,0.548261523,0.708658934,0.783196926,0.847124934,0.877186418,0.90864557
265216,0.00194178,1185x225,0.380670846,0.547344327,0.707431674,0.781838298,0.845897853,0.876141131,0.907850862
66304,0.00388356,593x113,0.378603578,0.544913173,0.704627156,0.779014528,0.8433218,0.873904645,0.906126976
16576,0.00776712,297x57,0.372001916,0.537489295,0.697594941,0.772311151,0.836949289,0.867838204,0.901008368
4144,0.0155342,149x29,0.343966663,0.513841093,0.677573621,0.751562178,0.816569984,0.847360074,0.881593525
