Y_1,X_1,Y_2,X_2,Y_3,X_3,Y_4,X_4,Y_5,X_5,Y_6,X_6,Y_7,X_7
-7.885692596,0.9986060858,-8.260766983,0.9986612797,-8.758243561,0.9987308383,-9.062693596,0.9987734556,-9.4230299,0.9988265634,-9.667572021,0.9988660812,-10.05281734,0.9989368916
-7.621260166,0.9985653758,-7.989044189,0.9986225963,-8.478626251,0.9986950159,-8.77989769,0.9987396002,-9.13873291,0.9987957478,-9.383802414,0.9988375306,-9.772315025,0.9989128709
-7.365450859,0.9985237122,-7.72563982,0.9985830188,-8.2068367,0.9986582994,-8.504588127,0.9987049699,-8.861491203,0.9987642169,-9.106786728,0.9988084435,-9.498090744,0.9988882542
-7.118018627,0.9984811544,-7.470360279,0.9985425472,-7.942754745,0.9986206889,-8.236685753,0.9986694455,-8.591265678,0.998731792,-8.836506844,0.9987787008,-9.230148315,0.9988632798
-6.878712177,0.9984377027,-7.223005772,0.998501122,-7.686245441,0.9985821247,-7.976092815,0.9986330271,-8.327997208,0.9986985922,-8.572925568,0.9987482429,-8.968473434,0.9988378286
-6.64729166,0.9983934164,-6.983380318,0.9984587431,-7.437175274,0.9985426068,-7.722711086,0.9985957742,-8.071623802,0.9986646175,-8.315998077,0.9987172484,-8.713047028,0.9988120794
-6.423519135,0.9983481765,-6.75128746,0.9984155297,-7.195402622,0.9985022545,-7.476432323,0.9985576272,-7.822069645,0.9986299276,-8.065670013,0.9986855388,-8.463834763,0.998785913
-6.20716095,0.9983021617,-6.526531219,0.9983713031,-6.960784435,0.9984609485,-7.237142086,0.9985186458,-7.579253197,0.9985944629,-7.821876526,0.9986532927,-8.22079277,0.9987593293
-5.997991562,0.9982552528,-6.30891943,0.998326242,-6.733174324,0.9984187484,-7.004723549,0.9984787703,-7.34308672,0.9985582829,-7.584547043,0.9986202717,-7.98387289,0.9987324476
-5.795789719,0.9982075095,-6.09826088,0.9982802868,-6.512423992,0.9983757138,-6.779053688,0.9984381199,-7.113475323,0.9985214472,-7.353601933,0.9985866547,-7.753014565,0.9987053275
-5.60033989,0.9981590509,-5.894367218,0.9982334375,-6.298384666,0.9983317852,-6.560007095,0.9983965755,-6.890317917,0.9984838367,-7.128956318,0.9985525012,-7.528152466,0.998677671
-5.41143322,0.9981097579,-5.697054386,0.9981858134,-6.09090662,0.9982869625,-6.347455978,0.9983542562,-6.673511505,0.9984455109,-6.910520554,0.9985176921,-7.309215546,0.9986499548
-5.228827953,0.99805969,-5.506103039,0.9981374145,-5.88980484,0.998241365,-6.141235352,0.9983111024,-6.462914944,0.9984065294,-6.698168755,0.9984824061,-7.096097469,0.998621881
-5.052223682,0.9980089068,-5.321236134,0.998088181,-5.694836617,0.9981948733,-5.941126347,0.9982670546,-6.258335114,0.9983667731,-6.491723537,0.9984465241,-6.888644218,0.9985934496
-4.88142395,0.997957468,-5.142274857,0.9980380535,-5.505847454,0.9981475472,-5.746988773,0.9982223511,-6.059648991,0.9983263612,-6.291074276,0.9984101057,-6.686762333,0.9985647202
-4.716265202,0.9979054332,-4.969067574,0.9979872704,-5.322706699,0.9980995059,-5.55870676,0.9981767535,-5.866757393,0.9982853532,-6.096130848,0.9983731508,-6.490375519,0.9985358715
-4.556583405,0.9978528023,-4.801463127,0.9979358315,-5.145281792,0.9980505705,-5.376159191,0.9981304407,-5.679553509,0.9982436895,-5.906796455,0.9983357191,-6.299399376,0.9985067844
-4.402204514,0.9977996349,-4.639297009,0.9978837371,-4.973424435,0.9980008602,-5.19920969,0.998083353,-5.497914791,0.9982013702,-5.722957611,0.9982978106,-6.113735199,0.9984775186
-4.252981186,0.9977459908,-4.482431412,0.9978311062,-4.807011604,0.9979504943,-5.027743816,0.9980355501,-5.32173872,0.9981584549,-5.544519424,0.9982594848,-5.933299541,0.9984481931
-4.10875082,0.9976919293,-4.330710888,0.9977779388,-4.645899296,0.9978994727,-4.861628056,0.9979871511,-5.150902748,0.9981148839,-5.371368408,0.9982206225,-5.757990837,0.9984187484
-3.969357491,0.9976375699,-4.183985233,0.9977242351,-4.489949703,0.9978478551,-4.700731277,0.9979379773,-4.985286713,0.9980707169,-5.203390121,0.9981814027,-5.587706566,0.9983891845
-3.8346591,0.9975829124,-4.042118549,0.9976701736,-4.339034557,0.9977957606,-4.544932842,0.997888267,-4.824778557,0.9980260134,-5.04047966,0.998141706,-5.422352314,0.998359561
-3.704500675,0.9975280166,-3.904959202,0.9976157546,-4.193010807,0.9977430701,-4.394095898,0.9978380203,-4.669249535,0.9979807734,-4.882514954,0.9981016517,-5.261817455,0.9983298779
-3.578741312,0.9974730611,-3.772369862,0.9975610971,-4.051747322,0.9976899028,-4.248093605,0.9977871776,-4.518581867,0.9979351163,-4.729383945,0.9980612397,-5.105998993,0.9983001351
-3.45724082,0.9974181056,-3.644212723,0.9975062013,-3.91511178,0.9976363182,-4.106799126,0.9977359176,-4.372653961,0.9978888631,-4.58096981,0.9980204701,-4.954790115,0.998270452
-3.339855671,0.9973632097,-3.520345926,0.9974511862,-3.782966375,0.9975824356,-3.970077991,0.9976841211,-4.231338024,0.9978422523,-4.437151432,0.9979794025,-4.808078289,0.9982408285
-3.226454258,0.9973083138,-3.40063858,0.9973961115,-3.655183315,0.997528255,-3.837805986,0.9976318479,-4.094515324,0.9977951646,-4.297812939,0.9979379773,-4.665757179,0.9982112646
-3.116902113,0.997253716,-3.284956694,0.9973409772,-3.531630754,0.9974737167,-3.709853649,0.997579217,-3.962061405,0.9977474809,-4.162835121,0.9978961945,-4.527714729,0.9981817007
-3.011067867,0.9971994162,-3.173168898,0.9972860217,-3.412178278,0.9974189401,-3.586093426,0.9975261092,-3.83385253,0.9976994395,-4.032097816,0.9978541136,-4.393839836,0.9981523156
-2.908826351,0.997145474,-3.065149069,0.9972311854,-3.296700954,0.9973640442,-3.466401339,0.9974725842,-3.709768534,0.9976508617,-3.905484915,0.9978116155,-4.264023304,0.9981229901
-2.81005311,0.9970920086,-2.960771561,0.9971766472,-3.18507266,0.9973089099,-3.350652695,0.9974187016,-3.589688301,0.9976018071,-3.782878637,0.9977688193,-4.138154507,0.9980937839
-2.714627981,0.9970390201,-2.859914541,0.9971222878,-3.077171087,0.997253716,-3.238726139,0.9973644018,-3.473492861,0.9975522161,-3.664162397,0.9977257252,-4.016123772,0.998064816
-2.622434855,0.9969866276,-2.762460232,0.9970682859,-2.972876549,0.9971984029,-3.130502224,0.9973096848,-3.361065149,0.9975021482,-3.549222946,0.9976821542,-3.897823334,0.9980359674
-2.533361197,0.9969348907,-2.668292999,0.9970147014,-2.87207222,0.997142911,-3.025864363,0.9972544909,-3.252290487,0.997451365,-3.437947512,0.9976382256,-3.783147335,0.9980072379
-2.447297573,0.99688375,-2.577301741,0.9969615936,-2.774643898,0.9970872998,-2.924698353,0.9971988201,-3.147056103,0.9973999858,-3.330225706,0.9975938797,-3.671990395,0.9979787469
-2.364140272,0.996833384,-2.489379168,0.9969089031,-2.680482626,0.9970316291,-2.826894045,0.9971426129,-3.045253277,0.9973479509,-3.225950718,0.9975491166,-3.564251184,0.9979505539
-2.283789158,0.9967837334,-2.404422522,0.9968567491,-2.589481592,0.9969757795,-2.732344389,0.9970857501,-2.946775436,0.9972952008,-3.12501812,0.9975038171,-3.459829807,0.9979225397
-2.206146479,0.9967348576,-2.322330475,0.9968049526,-2.501536369,0.9969196916,-2.640944242,0.997028172,-2.851518154,0.9972415566,-3.027324438,0.9974581003,-3.358627319,0.9978948236
-2.131122589,0.9966866374,-2.243010044,0.9967536926,-2.416550398,0.996863246,-2.552595139,0.9969698191,-2.759383202,0.9971870184,-2.932773352,0.9974119067,-3.260551691,0.9978674054
-2.058630943,0.9966391921,-2.166370869,0.9967028499,-2.334429502,0.9968065023,-2.467201948,0.9969105721,-2.670275211,0.9971313477,-2.841270685,0.9973651171,-3.165512085,0.9978402257
-1.988584638,0.9965922832,-2.092322826,0.9966523051,-2.255079031,0.9967492819,-2.384668589,0.9968502522,-2.584098101,0.9970747232,-2.752720833,0.9973176718,-3.073416471,0.9978134632
-1.920913339,0.996545732,-2.020791531,0.996602118,-2.178420544,0.9966914654,-2.304914474,0.9967887402,-2.500770569,0.9970168471,-2.667043447,0.9972697496,-2.984187603,0.9977869987
-1.855541468,0.996499598,-1.951697588,0.9965519309,-2.104370117,0.9966329336,-2.227854013,0.9967257977,-2.420206547,0.9969576597,-2.584153414,0.9972211123,-2.897742748,0.9977610707
