N,sqrt(1/N),Mesh,x1,x2,x3,x4,x5,x6,x7
1060864,0.00097089,2369x449,0.38201239760725114,0.5502031799738154,0.7110480970720895,0.7849895909403375,0.8481503990847536,0.8778631409921352,0.9090549312570563
265216,0.00194178,1185x225,0.3809398784312968,0.5472580672233848,0.7071971655187443,0.7814141316754124,0.8452760739108169,0.8754494968715725,0.9071628929470613
66304,0.00388356,593x113,0.3801405843191118,0.5466403925590034,0.7056270421399486,0.7793379457898819,0.8430418332248606,0.873308828123151,0.9053495074998378
16576,0.00776712,297x57,0.3785841939798475,0.5466827152899231,0.7055550061053154,0.7786813192315566,0.8415444325326747,0.8714950681384855,0.9035366214358697
4144,0.0155342,149x29,0.36584386593778184,0.5599609415212736,0.7294038649785732,0.8009416399684653,0.8607904759382395,0.8879769003779934,0.9173271524646511
