N,sqrt(1/N),Mesh,Cl,Cd,Cdp,Cdv
1060864,0.00097089,2369x449,0.1562913,0.01007523,0.001604433,0.008470801
265216,0.00194178,1185x225,0.1562269,0.01008302,0.001619614,0.008463405
66304,0.00388356,593x113,0.1559712,0.01017578,0.001760619,0.008415166
16576,0.00776712,297x57,0.1550497,0.01107418,0.002792085,0.008282096
4144,0.0155342,149x29,0.1520974,0.02070388,0.01142461,0.009279273
