N,sqrt(1/N),Mesh,Cl,Cd,Cdp,Cdv
1060864,0.00097089,2369x449,0.1572440386,0.010071626029,0.0016062497109,0.0084653763185
265216,0.00194178,1185x225,0.15801650705,0.010063124224,0.0016125355879,0.0084505886363
66304,0.00388356,593x113,0.15939108331,0.010076612645,0.0016818378803,0.008394774765
16576,0.00776712,297x57,0.16207606934,0.010408518801,0.002193513141,0.00821500566
4144,0.0155342,149x29,0.16794847338,0.016746817437,0.0077816255416,0.0089651918955
