N,sqrt(1/N),Mesh,x1,x2,x3,x4,x5,x6,x7
1060864,0.00097089,2369x449,0.325368136E+00,  0.515636206E+00,  0.695634425E+00,  0.777424812E+00,  0.843890786E+00,  0.873530745E+00,  0.903825402E+00
265216,0.00194178,1185x225,0.323663384E+00,  0.515087307E+00,  0.695587456E+00,  0.778247595E+00,  0.845444143E+00,  0.875290334E+00,  0.905628025E+00
66304,0.00388356,593x113,0.319962829E+00,  0.513256967E+00,  0.695260644E+00,  0.779130578E+00,  0.847105146E+00,  0.877243936E+00,  0.907711923E+00
16576,0.00776712,297x57,0.309507072E+00,  0.508636832E+00,  0.694459379E+00,  0.778896391E+00,  0.846829951E+00,  0.877150059E+00,  0.907986402E+00
4144,0.0155342,149x29,0.309215635E+00,  0.530163765E+00,  0.700941980E+00,  0.770854056E+00,  0.829378426E+00,  0.856101215E+00,  0.886017859E+00
