Y_1,X_1,Y_2,X_2,Y_3,X_3,Y_4,X_4,Y_5,X_5,Y_6,X_6,Y_7,X_7
-7.885692596,0.9986289144,-8.260766983,0.9986830354,-8.758243561,0.9987513423,-9.062693596,0.9987931848,-9.4230299,0.9988453984,-9.667572021,0.9988843799,-10.05281734,0.9989538789
-7.621260166,0.9985889792,-7.989044189,0.9986451864,-8.478626251,0.9987162352,-8.77989769,0.9987600446,-9.13873291,0.9988152385,-9.383802414,0.9988563657,-9.772315025,0.9989302754
-7.365450859,0.9985481501,-7.72563982,0.9986063242,-8.2068367,0.9986801744,-8.504588127,0.9987260699,-8.861491203,0.9987842441,-9.106786728,0.9988277555,-9.498090744,0.9989061952
-7.118018627,0.9985064864,-7.470360279,0.9985666275,-7.942754745,0.9986432791,-8.236685753,0.9986912012,-8.591265678,0.9987524152,-8.836506844,0.9987985492,-9.230148315,0.9988816381
-6.878712177,0.9984639883,-7.223005772,0.9985260963,-7.686245441,0.9986054301,-7.976092815,0.998655498,-8.327997208,0.9987198114,-8.572925568,0.9987686872,-8.968473434,0.9988566041
-6.64729166,0.9984205365,-6.983380318,0.9984846115,-7.437175274,0.9985667467,-7.722711086,0.9986189008,-8.071623802,0.9986864924,-8.315998077,0.9987381101,-8.713047028,0.9988312721
-6.423519135,0.9983763695,-6.75128746,0.9984421134,-7.195402622,0.9985271692,-7.476432323,0.9985815287,-7.822069645,0.9986524582,-8.065670013,0.9987069964,-8.463834763,0.9988055229
-6.20716095,0.9983311892,-6.526531219,0.9983989596,-6.960784435,0.9984867573,-7.237142086,0.9985433221,-7.579253197,0.9986176491,-7.821876526,0.9986753464,-8.22079277,0.9987794757
-5.997991562,0.9982853532,-6.30891943,0.9983547926,-6.733174324,0.9984453917,-7.004723549,0.9985042214,-7.34308672,0.9985821843,-7.584547043,0.9986431003,-7.98387289,0.9987530708
-5.795789719,0.9982386827,-6.09826088,0.9983098507,-6.512423992,0.9984031916,-6.779053688,0.9984643459,-7.113475323,0.9985460043,-7.353601933,0.9986100197,-7.753014565,0.998726368
-5.60033989,0.9981912374,-5.894367218,0.9982640743,-6.298384666,0.9983602166,-6.560007095,0.9984236956,-6.890317917,0.9985091686,-7.128956318,0.9985764623,-7.528152466,0.9986994267
-5.41143322,0.9981431365,-5.697054386,0.9982174635,-6.09090662,0.9983163476,-6.347455978,0.9983822107,-6.673511505,0.9984716773,-6.910520554,0.998542428,-7.309215546,0.9986720085
-5.228827953,0.9980942607,-5.506103039,0.9981700778,-5.88980484,0.9982717633,-6.141235352,0.9983400106,-6.462914944,0.9984334111,-6.698168755,0.9985076785,-7.096097469,0.9986444712
-5.052223682,0.9980447292,-5.321236134,0.9981220365,-5.694836617,0.9982263446,-5.941126347,0.9982969165,-6.258335114,0.9983945489,-6.491723537,0.9984725714,-6.888644218,0.9986165166
-4.88142395,0.9979946613,-5.142274857,0.9980732203,-5.505847454,0.9981800914,-5.746988773,0.9982531071,-6.059648991,0.9983550906,-6.291074276,0.9984369278,-6.686762333,0.9985884428
