"Density","Diffusivity_0","Eddy_Viscosity","Heat_Capacity","Heat_Flux","Laminar_Viscosity","Omega","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_Species_0","Residual_TKE","Residual_Velocity:0","Residual_Velocity:1","Residual_Velocity:2","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Species_0","Thermal_Conductivity","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.8254,5.847e-06,0.000593,1678.2,0,8.0593e-06,14031,15.154,0.0059023,1.8397e-12,-1.1748e-16,1.3549e-18,1.2444e-15,-8.8311e-15,-1.4595e-14,0,0,0,0,0.99738,1.1236,4.5713,62.243,0.037293,0,0,1,0,0.02104,0,0
1.8241,5.8565e-06,0.00066972,1677.3,0,8.0694e-06,14720,15.061,0.0058662,2.4586e-12,-1.0139e-16,2.7081e-18,1.3168e-15,-7.1961e-15,-1.1413e-14,0,0,0,0,0.996,1.2657,5.5375,61.699,0.051852,0,0,1,0.0001052,0.02104,0.0001052,0
1.8227,5.8659e-06,0.00074643,1676.4,0,8.0795e-06,15408,14.968,0.00583,3.0775e-12,-8.5293e-17,4.0612e-18,1.3893e-15,-5.5612e-15,-8.2302e-15,0,0,0,0,0.99462,1.4077,6.5037,61.156,0.066412,0,0,1,0.0002104,0.02104,0.0002104,0
1.8214,5.8754e-06,0.00082315,1675.5,0,8.0897e-06,16096,14.875,0.0057939,3.6964e-12,-6.92e-17,5.4142e-18,1.4618e-15,-3.9262e-15,-5.0477e-15,0,0,0,0,0.99324,1.5497,7.4699,60.613,0.080971,0,0,1,0.0003156,0.02104,0.0003156,0
1.8201,5.8849e-06,0.00089987,1674.5,0,8.0998e-06,16784,14.783,0.0057577,4.3153e-12,-5.3107e-17,6.7673e-18,1.5342e-15,-2.2913e-15,-1.8652e-15,0,0,0,0,0.99186,1.6918,8.4361,60.07,0.095531,0,0,1,0.0004208,0.02104,0.0004208,0
1.8188,5.8943e-06,0.00097659,1673.6,0,8.1099e-06,17472,14.69,0.0057216,4.9342e-12,-3.7015e-17,8.1203e-18,1.6067e-15,-6.5637e-16,1.3173e-15,0,0,0,0,0.99049,1.8338,9.4024,59.527,0.11009,0,0,1,0.000526,0.02104,0.000526,0
1.8149,5.9233e-06,0.0010423,1670.8,0,8.1407e-06,18691,15.448,0.0060171,3.2477e-12,-3.0748e-17,7.7011e-18,-1.7999e-16,-7.6978e-16,1.42e-15,0,0,0,0,0.98634,1.9521,10.897,58.82,0.13179,0,0,1,0.0006312,0.02104,0.0006312,0
1.811,5.9528e-06,0.0011077,1668,0,8.1721e-06,19925,16.233,0.0063227,1.4907e-12,-2.4782e-17,7.2277e-18,-2.0236e-15,-9.3669e-16,1.4285e-15,0,0,0,0,0.98211,2.0698,12.408,58.108,0.1537,0,0,1,0.0007364,0.02104,0.0007364,0
1.807,5.9823e-06,0.0011731,1665.2,0,8.2035e-06,21160,17.018,0.0066283,-2.6629e-13,-1.8815e-17,6.7543e-18,-3.8671e-15,-1.1036e-15,1.437e-15,0,0,0,0,0.97788,2.1874,13.919,57.396,0.17562,0,0,1,0.0008416,0.02104,0.0008416,0
1.8031,6.0119e-06,0.0012385,1662.3,0,8.2349e-06,22394,17.802,0.0069339,-2.0233e-12,-1.2849e-17,6.2809e-18,-5.7107e-15,-1.2705e-15,1.4455e-15,0,0,0,0,0.97365,2.305,15.43,56.684,0.19754,0,0,1,0.0009468,0.02104,0.0009468,0
