"C3H8","EDC<psiChemistryCombustion>:kappa","N2","O2","Qdot","T","U:0","U:1","U:2","Ux","Uy","Uz","alphat","epsilon","k","mag(U)","nut","p","rDeltaT","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.25706,0,0.56701,0.17593,0,294.25,20.689,0.013215,5.7853e-13,20.689,0.013215,5.7853e-13,0.012171,4895.9,14.162,20.689,0.0092772,1.0133e+05,62059,1.3119,1,0,0.2578,0,0
0.25702,0,0.56705,0.17594,0,294.25,20.687,0.01534,6.925e-13,20.687,0.01534,6.925e-13,0.012167,4896.7,14.163,20.687,0.0092741,1.0133e+05,62063,1.3119,1,0.0001052,0.2578,0.0001052,0
0.25697,0,0.56708,0.17595,0,294.25,20.684,0.017465,8.0646e-13,20.684,0.017465,8.0646e-13,0.012163,4897.4,14.165,20.685,0.009271,1.0133e+05,62068,1.3119,1,0.0002104,0.2578,0.0002104,0
0.25693,0,0.56711,0.17596,0,294.25,20.682,0.01959,9.2043e-13,20.682,0.01959,9.2043e-13,0.012158,4898.2,14.166,20.682,0.009268,1.0133e+05,62073,1.3119,1,0.0003156,0.2578,0.0003156,0
0.25688,0,0.56715,0.17597,0,294.25,20.68,0.021715,1.0344e-12,20.68,0.021715,1.0344e-12,0.012154,4898.9,14.167,20.68,0.0092649,1.0133e+05,62078,1.3118,1,0.0004208,0.2578,0.0004208,0
0.25684,0,0.56718,0.17598,0,294.25,20.678,0.023849,1.1479e-12,20.678,0.023849,1.1479e-12,0.01215,4899.7,14.169,20.678,0.0092617,1.0133e+05,62083,1.3118,1,0.000526,0.2578,0.000526,0
0.2567,0,0.56729,0.17601,0,294.25,20.672,0.027965,1.1677e-12,20.672,0.027965,1.1677e-12,0.012096,4902,14.173,20.672,0.0092212,1.0133e+05,62089,1.3118,1,0.0006312,0.2578,0.0006312,0
0.25655,0,0.5674,0.17605,0,294.25,20.665,0.03208,1.1875e-12,20.665,0.03208,1.1875e-12,0.012042,4904.4,14.177,20.665,0.0091806,1.0133e+05,62095,1.3117,1,0.0007364,0.2578,0.0007364,0
0.25641,0,0.56751,0.17608,0,294.25,20.658,0.036196,1.2074e-12,20.658,0.036196,1.2074e-12,0.011988,4906.8,14.181,20.659,0.0091401,1.0133e+05,62101,1.3116,1,0.0008416,0.2578,0.0008416,0
0.25627,0,0.56762,0.17612,0,294.25,20.652,0.040312,1.2272e-12,20.652,0.040312,1.2272e-12,0.011935,4909.1,14.185,20.652,0.0090996,1.0133e+05,62108,1.3115,1,0.0009468,0.2578,0.0009468,0
0.25612,0,0.56773,0.17615,0,294.25,20.645,0.044427,1.2455e-12,20.645,0.044427,1.2455e-12,0.01188,4911.5,14.189,20.645,0.0090586,1.0133e+05,62114,1.3115,1,0.001052,0.2578,0.001052,0
0.25587,0,0.56792,0.17621,0,294.25,20.634,0.048462,1.1038e-12,20.634,0.048462,1.1038e-12,0.011769,4915.6,14.197,20.634,0.0089746,1.0133e+05,62109,1.3113,1,0.0011572,0.2578,0.0011572,0
0.25561,0,0.56812,0.17627,0,294.25,20.622,0.052497,9.6207e-13,20.622,0.052497,9.6207e-13,0.011658,4919.6,14.204,20.622,0.0088905,1.0133e+05,62105,1.3112,1,0.0012624,0.2578,0.0012624,0
0.25535,0,0.56831,0.17633,0,294.25,20.61,0.056532,8.2037e-13,20.61,0.056532,8.2037e-13,0.011546,4923.7,14.211,20.61,0.0088064,1.0133e+05,62100,1.3111,1,0.0013676,0.2578,0.0013676,0
0.2551,0,0.56851,0.17639,0,294.25,20.599,0.060567,6.7866e-13,20.599,0.060567,6.7866e-13,0.011435,4927.8,14.219,20.599,0.0087224,1.0133e+05,62095,1.311,1,0.0014728,0.2578,0.0014728,0
0.25484,0,0.56871,0.17645,0,294.25,20.587,0.064602,5.3716e-13,20.587,0.064602,5.3716e-13,0.011323,4931.9,14.226,20.587,0.0086381,1.0133e+05,62091,1.3108,1,0.001578,0.2578,0.001578,0
0.25447,0,0.56899,0.17654,0,294.25,20.57,0.068621,4.0923e-13,20.57,0.068621,4.0923e-13,0.011196,4937.5,14.237,20.57,0.0085424,1.0133e+05,62069,1.3107,1,0.0016832,0.2578,0.0016832,0
0.25409,0,0.56928,0.17663,0,294.25,20.552,0.072641,2.813e-13,20.552,0.072641,2.813e-13,0.01107,4943.1,14.247,20.553,0.0084468,1.0133e+05,62048,1.3105,1,0.0017884,0.2578,0.0017884,0
0.25371,0,0.56957,0.17672,0,294.25,20.535,0.07666,1.5337e-13,20.535,0.07666,1.5337e-13,0.010943,4948.7,14.257,20.535,0.0083511,1.0133e+05,62027,1.3103,1,0.0018936,0.2578,0.0018936,0
0.25334,0,0.56985,0.17681,0,294.25,20.518,0.080679,2.5442e-14,20.518,0.080679,2.5442e-14,0.010816,4954.4,14.268,20.518,0.0082554,1.0133e+05,62006,1.3101,1,0.0019988,0.2578,0.0019988,0
0.25296,0,0.57014,0.1769,0,294.25,20.501,0.084699,-1.0099e-13,20.501,0.084699,-1.0099e-13,0.010689,4960,14.278,20.501,0.0081596,1.0133e+05,61984,1.3099,1,0.002104,0.2578,0.002104,0
0.25242,0,0.57055,0.17702,0,294.25,20.476,0.088727,-1.5046e-13,20.476,0.088727,-1.5046e-13,0.010552,4967.4,14.293,20.477,0.0080568,1.0133e+05,61928,1.3097,1,0.0022092,0.2578,0.0022092,0
0.25189,0,0.57096,0.17715,0,294.25,20.452,0.092754,-1.9992e-13,20.452,0.092754,-1.9992e-13,0.010415,4974.7,14.307,20.452,0.007954,1.0132e+05,61871,1.3094,1,0.0023144,0.2578,0.0023144,0
0.25135,0,0.57137,0.17728,0,294.24,20.428,0.096782,-2.4939e-13,20.428,0.096782,-2.4939e-13,0.010279,4982,14.321,20.428,0.0078512,1.0132e+05,61815,1.3091,1,0.0024196,0.2578,0.0024196,0
0.25081,0,0.57178,0.17741,0,294.24,20.403,0.10081,-2.9885e-13,20.403,0.10081,-2.9885e-13,0.010142,4989.4,14.335,20.403,0.0077483,1.0132e+05,61758,1.3089,1,0.0025248,0.2578,0.0025248,0
0.25028,0,0.57219,0.17753,0,294.24,20.379,0.10482,-3.464e-13,20.379,0.10482,-3.464e-13,0.010006,4996.7,14.349,20.379,0.0076458,1.0132e+05,61701,1.3086,1,0.00263,0.2578,0.00263,0
0.24963,0,0.57268,0.17769,0,294.24,20.349,0.10826,-3.1526e-13,20.349,0.10826,-3.1526e-13,0.0098844,5004.3,14.365,20.35,0.0075549,1.0132e+05,61626,1.3083,1,0.0027352,0.2578,0.0027352,0
0.24899,0,0.57317,0.17784,0,294.24,20.32,0.11169,-2.8411e-13,20.32,0.11169,-2.8411e-13,0.0097632,5012,14.38,20.32,0.0074639,1.0132e+05,61550,1.308,1,0.0028404,0.2578,0.0028404,0
0.24834,0,0.57367,0.17799,0,294.24,20.29,0.11512,-2.5297e-13,20.29,0.11512,-2.5297e-13,0.0096419,5019.6,14.396,20.291,0.0073729,1.0132e+05,61475,1.3077,1,0.0029456,0.2578,0.0029456,0
0.2477,0,0.57416,0.17814,0,294.24,20.261,0.11856,-2.2183e-13,20.261,0.11856,-2.2183e-13,0.0095207,5027.3,14.412,20.261,0.007282,1.0132e+05,61399,1.3074,1,0.0030508,0.2578,0.0030508,0
0.24706,0,0.57465,0.1783,0,294.24,20.232,0.12199,-1.9068e-13,20.232,0.12199,-1.9068e-13,0.0093994,5034.9,14.427,20.232,0.007191,1.0132e+05,61324,1.307,1,0.003156,0.2578,0.003156,0
0.24639,0,0.57516,0.17845,0,294.24,20.201,0.1254,-1.6588e-13,20.201,0.1254,-1.6588e-13,0.0092788,5042.6,14.443,20.202,0.0071006,1.0132e+05,61246,1.3067,1,0.0032612,0.2578,0.0032612,0
0.24554,0,0.5758,0.17865,0,294.24,20.163,0.12859,-1.9564e-13,20.163,0.12859,-1.9564e-13,0.0091633,5050.8,14.461,20.163,0.0070143,1.0132e+05,61151,1.3063,1,0.0033664,0.2578,0.0033664,0
0.2447,0,0.57645,0.17885,0,294.23,20.124,0.13177,-2.254e-13,20.124,0.13177,-2.254e-13,0.0090479,5059,14.479,20.124,0.006928,1.0132e+05,61055,1.3059,1,0.0034716,0.2578,0.0034716,0
0.24385,0,0.5771,0.17905,0,294.23,20.085,0.13496,-2.5515e-13,20.085,0.13496,-2.5515e-13,0.0089324,5067.2,14.497,20.086,0.0068417,1.0132e+05,60960,1.3055,1,0.0035768,0.2578,0.0035768,0
0.243,0,0.57774,0.17926,0,294.23,20.047,0.13815,-2.8491e-13,20.047,0.13815,-2.8491e-13,0.008817,5075.4,14.515,20.047,0.0067555,1.0132e+05,60864,1.3051,1,0.003682,0.2578,0.003682,0
0.24215,0,0.57839,0.17946,0,294.23,20.008,0.14134,-3.1467e-13,20.008,0.14134,-3.1467e-13,0.0087015,5083.5,14.532,20.008,0.0066692,1.0132e+05,60769,1.3047,1,0.0037872,0.2578,0.0037872,0
0.24121,0,0.57911,0.17968,0,294.23,19.965,0.14456,-3.6124e-13,19.965,0.14456,-3.6124e-13,0.0085846,5091.9,14.551,19.965,0.0065819,1.0132e+05,60652,1.3042,1,0.0038924,0.2578,0.0038924,0
0.23987,0,0.58013,0.18,0,294.23,19.903,0.14797,-4.8209e-13,19.903,0.14797,-4.8209e-13,0.008461,5100.9,14.573,19.904,0.0064901,1.0132e+05,60441,1.3036,1,0.0039976,0.2578,0.0039976,0
0.23852,0,0.58116,0.18032,0,294.22,19.842,0.15137,-6.0294e-13,19.842,0.15137,-6.0294e-13,0.0083375,5110,14.596,19.842,0.0063984,1.0132e+05,60230,1.3029,1,0.0041028,0.2578,0.0041028,0
0.23718,0,0.58219,0.18063,0,294.22,19.78,0.15477,-7.2379e-13,19.78,0.15477,-7.2379e-13,0.008214,5119.1,14.618,19.781,0.0063067,1.0132e+05,60019,1.3023,1,0.004208,0.2578,0.004208,0
0.23583,0,0.58321,0.18095,0,294.22,19.719,0.15817,-8.4464e-13,19.719,0.15817,-8.4464e-13,0.0080905,5128.1,14.64,19.719,0.0062149,1.0132e+05,59808,1.3016,1,0.0043132,0.2578,0.0043132,0
0.23449,0,0.58424,0.18127,0,294.22,19.657,0.16157,-9.6549e-13,19.657,0.16157,-9.6549e-13,0.007967,5137.2,14.662,19.658,0.0061232,1.0132e+05,59597,1.301,1,0.0044184,0.2578,0.0044184,0
0.23319,0,0.58523,0.18158,0,294.22,19.598,0.16449,-1.0504e-12,19.598,0.16449,-1.0504e-12,0.0078581,5144.4,14.681,19.598,0.0060425,1.0132e+05,59395,1.3003,1,0.0045236,0.2578,0.0045236,0
0.23201,0,0.58613,0.18186,0,294.21,19.543,0.16606,-1.0357e-12,19.543,0.16606,-1.0357e-12,0.0077896,5146.2,14.689,19.544,0.0059922,1.0132e+05,59216,1.2998,1,0.0046288,0.2578,0.0046288,0
0.23084,0,0.58703,0.18214,0,294.21,19.489,0.16764,-1.021e-12,19.489,0.16764,-1.021e-12,0.0077212,5148.1,14.698,19.49,0.0059419,1.0132e+05,59037,1.2992,1,0.004734,0.2578,0.004734,0
0.22966,0,0.58793,0.18241,0,294.21,19.435,0.16921,-1.0063e-12,19.435,0.16921,-1.0063e-12,0.0076527,5149.9,14.706,19.435,0.0058915,1.0132e+05,58858,1.2986,1,0.0048392,0.2578,0.0048392,0
0.22848,0,0.58882,0.18269,0,294.21,19.38,0.17079,-9.9161e-13,19.38,0.17079,-9.9161e-13,0.0075843,5151.8,14.715,19.381,0.0058412,1.0132e+05,58679,1.2981,1,0.0049444,0.2578,0.0049444,0
0.22731,0,0.58972,0.18297,0,294.21,19.326,0.17237,-9.7691e-13,19.326,0.17237,-9.7691e-13,0.0075159,5153.7,14.723,19.327,0.0057909,1.0132e+05,58500,1.2975,1,0.0050496,0.2578,0.0050496,0
