"C3H8","EDC<psiChemistryCombustion>:kappa","N2","O2","Qdot","T","U:0","U:1","U:2","Ux","Uy","Uz","alphat","epsilon","k","mag(U)","nut","p","rDeltaT","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.54155,0,0.34989,0.10856,0,294.43,34.105,0.078043,-2.1439e-12,34.105,0.078043,-2.1439e-12,0.013805,54730,49.427,34.105,0.009393,1.0133e+05,1.105e+05,1.4697,1,0,0.1789,0,0
0.54119,0,0.35017,0.10864,0,294.43,34.086,0.090459,-2.3558e-12,34.086,0.090459,-2.3558e-12,0.013724,54772,49.461,34.086,0.0093394,1.0133e+05,1.1051e+05,1.4695,1,0.0001052,0.1789,0.0001052,0
0.54083,0,0.35044,0.10873,0,294.43,34.068,0.10288,-2.5677e-12,34.068,0.10288,-2.5677e-12,0.013644,54814,49.496,34.068,0.0092858,1.0133e+05,1.1051e+05,1.4693,1,0.0002104,0.1789,0.0002104,0
0.54047,0,0.35072,0.10881,0,294.43,34.049,0.11529,-2.7796e-12,34.049,0.11529,-2.7796e-12,0.013563,54855,49.531,34.05,0.0092323,1.0133e+05,1.1051e+05,1.4691,1,0.0003156,0.1789,0.0003156,0
0.54011,0,0.35099,0.1089,0,294.43,34.031,0.12771,-2.9914e-12,34.031,0.12771,-2.9914e-12,0.013482,54897,49.565,34.031,0.0091787,1.0133e+05,1.1052e+05,1.4688,1,0.0004208,0.1789,0.0004208,0
0.53974,0,0.35127,0.10899,0,294.43,34.012,0.14018,-3.2022e-12,34.012,0.14018,-3.2022e-12,0.013401,54939,49.601,34.013,0.0091246,1.0133e+05,1.1052e+05,1.4686,1,0.000526,0.1789,0.000526,0
0.53852,0,0.35221,0.10928,0,294.43,33.951,0.16365,-3.1743e-12,33.951,0.16365,-3.1743e-12,0.013152,55070,49.713,33.951,0.0089591,1.0133e+05,1.1047e+05,1.4679,1,0.0006312,0.1789,0.0006312,0
0.5373,0,0.35314,0.10956,0,294.43,33.889,0.18712,-3.1464e-12,33.889,0.18712,-3.1464e-12,0.012903,55201,49.825,33.89,0.0087936,1.0133e+05,1.1041e+05,1.4671,1,0.0007364,0.1789,0.0007364,0
0.53608,0,0.35407,0.10985,0,294.42,33.828,0.2106,-3.1186e-12,33.828,0.2106,-3.1186e-12,0.012653,55331,49.938,33.829,0.0086282,1.0133e+05,1.1036e+05,1.4664,1,0.0008416,0.1789,0.0008416,0
0.53486,0,0.355,0.11014,0,294.42,33.766,0.23407,-3.0907e-12,33.766,0.23407,-3.0907e-12,0.012404,55462,50.05,33.767,0.0084627,1.0133e+05,1.1031e+05,1.4656,1,0.0009468,0.1789,0.0009468,0
0.53362,0,0.35594,0.11043,0,294.42,33.704,0.25752,-3.0615e-12,33.704,0.25752,-3.0615e-12,0.012155,55593,50.164,33.705,0.0082968,1.0133e+05,1.1025e+05,1.4649,1,0.001052,0.1789,0.001052,0
0.53132,0,0.3577,0.11098,0,294.42,33.589,0.27883,-2.9006e-12,33.589,0.27883,-2.9006e-12,0.01183,55802,50.357,33.59,0.0080819,1.0133e+05,1.1003e+05,1.4634,1,0.0011572,0.1789,0.0011572,0
