"C3H8","EDC<psiChemistryCombustion>:kappa","N2","O2","Qdot","T","U:0","U:1","U:2","Ux","Uy","Uz","alphat","epsilon","k","mag(U)","nut","p","rDeltaT","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0,1.4136e-09,4.386e-10,0,293.67,64.234,0.0036864,-1.4763e-11,64.234,0.0036864,-1.4763e-11,0.00041562,1478.1,1.3168,64.234,0.00022715,1.0131e+05,2.1725e+05,1.8298,1,0,0.1,0,0
1,0,5.838e-09,1.8113e-09,0,293.67,64.19,0.00039786,-1.3943e-11,64.19,0.00039786,-1.3943e-11,0.00039926,1657.8,1.3728,64.19,0.0002182,1.0131e+05,2.171e+05,1.8297,1,0.0001052,0.1,0.0001052,0
1,0,1.0262e-08,3.184e-09,0,293.67,64.145,-0.0028907,-1.3123e-11,64.145,-0.0028907,-1.3123e-11,0.00038289,1837.5,1.4288,64.145,0.00020926,1.0131e+05,2.1695e+05,1.8297,1,0.0002104,0.1,0.0002104,0
1,0,1.4687e-08,4.5567e-09,0,293.68,64.101,-0.0061793,-1.2304e-11,64.101,-0.0061793,-1.2304e-11,0.00036652,2017.2,1.4847,64.101,0.00020031,1.0131e+05,2.1681e+05,1.8297,1,0.0003156,0.1,0.0003156,0
1,0,1.9111e-08,5.9295e-09,0,293.68,64.057,-0.0094678,-1.1484e-11,64.057,-0.0094678,-1.1484e-11,0.00035015,2196.9,1.5407,64.057,0.00019137,1.0131e+05,2.1666e+05,1.8297,1,0.0004208,0.1,0.0004208,0
1,0,2.4766e-08,7.6841e-09,0,293.68,64.011,-0.012721,-1.0664e-11,64.011,-0.012721,-1.0664e-11,0.00033386,2383.9,1.5988,64.011,0.00018247,1.0131e+05,2.1651e+05,1.8296,1,0.000526,0.1,0.000526,0
1,0,2.8785e-07,8.931e-08,0,293.7,63.73,-0.0084735,-9.8541e-12,63.73,-0.0084735,-9.8541e-12,0.00033416,4096.6,2.1091,63.73,0.00018265,1.0131e+05,2.1558e+05,1.8295,1,0.0006312,0.1,0.0006312,0
1,0,5.5094e-07,1.7094e-07,0,293.72,63.449,-0.0042264,-9.0443e-12,63.449,-0.0042264,-9.0443e-12,0.00033447,5809.4,2.6195,63.449,0.00018283,1.0131e+05,2.1464e+05,1.8294,1,0.0007364,0.1,0.0007364,0
1,0,8.1402e-07,2.5256e-07,0,293.73,63.168,2.0582e-05,-8.2346e-12,63.168,2.0582e-05,-8.2346e-12,0.00033478,7522.1,3.1298,63.168,0.00018301,1.0131e+05,2.1371e+05,1.8293,1,0.0008416,0.1,0.0008416,0
1,0,1.0771e-06,3.3419e-07,0,293.75,62.887,0.0042676,-7.4248e-12,62.887,0.0042676,-7.4248e-12,0.00033509,9234.9,3.6401,62.887,0.00018319,1.0131e+05,2.1278e+05,1.8292,1,0.0009468,0.1,0.0009468,0
1,0,1.4312e-06,4.4405e-07,0,293.77,62.601,0.0084555,-6.6177e-12,62.601,0.0084555,-6.6177e-12,0.00033586,11015,4.1648,62.601,0.00018363,1.0131e+05,2.1184e+05,1.8291,1,0.001052,0.1,0.001052,0
0.99999,0,1.1256e-05,3.4925e-06,0,293.8,61.821,0.0064906,-6.0899e-12,61.821,0.0064906,-6.0899e-12,0.00038538,19757,6.1836,61.822,0.00021074,1.0131e+05,2.1006e+05,1.8289,1,0.0011572,0.1,0.0011572,0
0.99997,0,2.1082e-05,6.5409e-06,0,293.82,61.042,0.0045258,-5.5622e-12,61.042,0.0045258,-5.5622e-12,0.00043489,28500,8.2024,61.042,0.00023785,1.0131e+05,2.0828e+05,1.8287,1,0.0012624,0.1,0.0012624,0
0.99996,0,3.0907e-05,9.5893e-06,0,293.85,60.262,0.0025609,-5.0344e-12,60.262,0.0025609,-5.0344e-12,0.00048441,37243,10.221,60.262,0.00026496,1.0131e+05,2.065e+05,1.8285,1,0.0013676,0.1,0.0013676,0
0.99995,0,4.0732e-05,1.2638e-05,0,293.88,59.482,0.00059601,-4.5066e-12,59.482,0.00059601,-4.5066e-12,0.00053393,45986,12.24,59.482,0.00029207,1.0131e+05,2.0472e+05,1.8283,1,0.0014728,0.1,0.0014728,0
0.99993,0,5.5631e-05,1.726e-05,0,293.9,58.688,-0.00092032,-3.977e-12,58.688,-0.00092032,-3.977e-12,0.00058253,54872,14.258,58.688,0.00031868,1.0131e+05,2.0294e+05,1.8281,1,0.001578,0.1,0.001578,0
0.99945,0,0.00042082,0.00013057,0,293.93,56.905,0.028534,-3.3178e-12,56.905,0.028534,-3.3178e-12,0.0005681,73599,16.206,56.905,0.00031085,1.0131e+05,2.0101e+05,1.8275,1,0.0016832,0.1,0.0016832,0
0.99897,0,0.00078601,0.00024387,0,293.95,55.122,0.057987,-2.6587e-12,55.122,0.057987,-2.6587e-12,0.00055368,92327,18.153,55.123,0.00030302,1.0131e+05,1.9907e+05,1.8269,1,0.0017884,0.1,0.0017884,0
0.99849,0,0.0011512,0.00035718,0,293.97,53.339,0.087441,-1.9995e-12,53.339,0.087441,-1.9995e-12,0.00053925,1.1105e+05,20.101,53.34,0.0002952,1.0131e+05,1.9714e+05,1.8263,1,0.0018936,0.1,0.0018936,0
0.99801,0,0.0015164,0.00047048,0,293.99,51.556,0.1169,-1.3404e-12,51.556,0.1169,-1.3404e-12,0.00052482,1.2978e+05,22.049,51.557,0.00028737,1.0131e+05,1.952e+05,1.8257,1,0.0019988,0.1,0.0019988,0
0.99624,0,0.0028661,0.00088926,0,294.02,49.617,0.14523,-6.9112e-13,49.617,0.14523,-6.9112e-13,0.00050897,1.4797e+05,23.927,49.618,0.00027876,1.0131e+05,1.9327e+05,1.8242,1,0.002104,0.1,0.002104,0
0.928,0,0.054951,0.017049,0,294.03,39.646,0.11605,-5.5223e-13,39.646,0.11605,-5.5223e-13,0.00041989,1.3827e+05,22.202,39.647,0.00022991,1.013e+05,1.9141e+05,1.7759,1,0.0022092,0.1,0.0022092,0
0.85975,0,0.10704,0.03321,0,294.04,29.675,0.086862,-4.1335e-13,29.675,0.086862,-4.1335e-13,0.00033081,1.2857e+05,20.477,29.676,0.00018107,1.013e+05,1.8954e+05,1.7276,1,0.0023144,0.1,0.0023144,0
0.79151,0,0.15912,0.04937,0,294.06,19.704,0.057676,-2.7446e-13,19.704,0.057676,-2.7446e-13,0.00024173,1.1888e+05,18.751,19.705,0.00013222,1.0129e+05,1.8768e+05,1.6792,1,0.0024196,0.1,0.0024196,0
0.72326,0,0.21121,0.06553,0,294.07,9.7336,0.028491,-1.3558e-13,9.7336,0.028491,-1.3558e-13,0.00015265,1.0918e+05,17.026,9.7339,8.337e-05,1.0129e+05,1.8581e+05,1.6309,1,0.0025248,0.1,0.0025248,0
0.65473,0,0.26351,0.081759,0,294.08,0,0,0,0,0,0,6.5562e-05,99334,15.295,0,3.563e-05,1.0128e+05,1.8397e+05,1.5825,1,0.00263,0.1,0.00263,0
0.57432,0,0.32488,0.1008,0,294.08,-2.3639e-13,2.5073e-15,6.6817e-26,-2.3639e-13,2.5073e-15,6.6817e-26,6.0324e-05,83508,13.317,-2.4026e-13,3.3366e-05,1.0128e+05,1.8323e+05,1.5309,1,0.0027352,0.1,0.0027352,0
0.49391,0,0.38625,0.11984,0,294.08,0,0,0,0,0,0,5.5087e-05,67683,11.338,0,3.1102e-05,1.0128e+05,1.8249e+05,1.4792,1,0.0028404,0.1,0.0028404,0
0.41351,0,0.44761,0.13888,0,294.08,0,0,0,0,0,0,4.9849e-05,51857,9.3602,0,2.8838e-05,1.0127e+05,1.8175e+05,1.4276,1,0.0029456,0.1,0.0029456,0
0.3331,0,0.50898,0.15792,0,294.08,0,0,0,0,0,0,4.4612e-05,36031,7.382,0,2.6574e-05,1.0127e+05,1.8101e+05,1.376,1,0.0030508,0.1,0.0030508,0
