x,y,z,Density,Momentum_0,Momentum_1,Momentum_2,Energy,Nu_Tilde,Pressure,Temperature,Mach,Pressure_Coefficient,Velocity_0,Velocity_1,Velocity_2,Laminar_Viscosity,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Heat_Flux,Y_Plus,Eddy_Viscosity,Vorticity,Q_Criterion,Orthogonality,Aspect_Ratio,Volume_Ratio
9.09936570536729e-09,-2.500191840226762e-05,0.0,0.7277488708496094,0.0,0.0,0.0,156922.453125,0.0,62768.98046875,300.4649963378906,0.0,1.0022284984588623,0.0,0.0,0.0,1.848115789471194e-05,-1.7162255971925333e-07,0.0002330857678316,0.0,-0.0,0.0273543260991573,0.0,-4268.173828125,-878.5139770507812,89.7775650024414,23.967205047607425,1.022472262382507
3.7228303995107126e-08,-5.056088411947712e-05,0.0,0.7277490496635437,0.0,0.0,0.0,156922.5,0.0,62768.99609375,300.4649963378906,0.0,1.002272605895996,0.0,0.0,0.0,1.848115789471194e-05,-2.785800177207421e-07,0.0001880153722595,0.0,-0.0,0.024567337706685,0.0,-3442.865478515625,-875.3155517578125,89.55915832519531,24.50102424621582,1.0224629640579224
8.568387244167752e-08,-7.668927719350904e-05,0.0,0.7277491688728333,0.0,0.0,0.0,156922.515625,0.0,62769.0078125,300.4649963378906,0.0,1.002308368682861,0.0,0.0,0.0,1.848115789471194e-05,-3.188000903264765e-07,0.0001420259359292,0.0,-0.0,0.0213517602533102,0.0,-2600.72802734375,-872.4027099609375,89.34172058105469,25.04664421081543,1.022453784942627
1.558336322204923e-07,-0.0001033997396007,0.0,0.7277492880821228,0.0,0.0,0.0,156922.546875,0.0,62769.01953125,300.46502685546875,0.0,1.0023337602615356,0.0,0.0,0.0,1.848115789471194e-05,-2.878113605220278e-07,9.512255928711966e-05,0.0,-0.0,0.017473317682743,0.0,-1741.8538818359375,-866.6362915039062,89.12535095214844,25.60432243347168,1.0224449634552002
2.491193242804002e-07,-0.0001307052007177,0.0,0.7277493476867676,0.0,0.0,0.0,156922.5625,0.0,62769.0234375,300.46502685546875,0.0,1.0023503303527832,0.0,0.0,0.0,1.848115789471194e-05,-1.805941138854905e-07,4.721105869975872e-05,0.0,-0.0,0.0123093351721763,0.0,-864.5159912109375,-863.4080200195312,88.91010284423828,26.174325942993164,1.0224363803863523
3.670607213734911e-07,-0.0001586188882356,0.0,0.7277493476867676,0.0,0.0,0.0,156922.5625,0.0,62769.0234375,300.46502685546875,0.0,1.0023541450500488,0.0,0.0,0.0,1.848115789471194e-05,7.672269930480981e-09,-1.6521405541425338e-06,0.0,-0.0,0.0023025595583021,0.0,30.253847122192383,-862.022705078125,88.69599151611328,26.75692367553711,1.0224281549453735
5.112596568324079e-07,-0.0001871543063316,0.0,0.7277492880821228,0.0,0.0,0.0,156922.5625,0.0,62769.0234375,300.46502685546875,0.0,1.0023483037948608,0.0,0.0,0.0,1.848115789471194e-05,2.8238758886800497e-07,-5.151220466359519e-05,0.0,-0.0,0.0128562012687325,0.0,943.2850952148438,-849.9771728515625,88.4830551147461,27.352394104003903,1.0224201679229736
6.834043801973166e-07,-0.0002163252502214,0.0,0.727749228477478,0.0,0.0,0.0,156922.546875,0.0,62769.015625,300.4649963378906,0.0,1.0023291110992432,0.0,0.0,0.0,1.848115789471194e-05,6.494622653008264e-07,-0.000102436664747,0.0,-0.0,0.0181280579417943,0.0,1875.8167724609373,-841.670654296875,88.27132415771484,27.961017608642575,1.0224125385284424
8.852738346831757e-07,-0.0002461458207108,0.0,0.7277491092681885,0.0,0.0,0.0,156922.515625,0.0,62769.00390625,300.4649963378906,0.0,1.0022971630096436,0.0,0.0,0.0,1.848115789471194e-05,1.114543124458578e-06,-0.0001543919934192,0.0,-0.0,0.0222534723579883,0.0,2827.23779296875,-832.7855224609375,88.06082153320312,28.583084106445312,1.0224051475524902
1.1187428299308522e-06,-0.0002766304532997,0.0,0.7277489304542542,0.0,0.0,0.0,156922.46875,0.0,62768.98828125,300.4649963378906,0.0,1.002251148223877,0.0,0.0,0.0,1.848115789471194e-05,1.684200469753705e-06,-0.0002074427466141,0.0,-0.0,0.0257924348115921,0.0,3798.733642578125,-821.5910034179688,87.8515853881836,29.218891143798828,1.0223981142044067
