x,y,z,Density,Momentum_0,Momentum_1,Momentum_2,Energy,Nu_Tilde,Pressure,Temperature,Mach,Pressure_Coefficient,Velocity_0,Velocity_1,Velocity_2,Laminar_Viscosity,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Heat_Flux,Y_Plus,Eddy_Viscosity,Vorticity,Q_Criterion,Orthogonality,Aspect_Ratio,Volume_Ratio
9.136088330308212e-09,2.5002176698762923e-05,0.0,0.727748453617096,0.0,0.0,0.0,156922.359375,0.0,62768.9453125,300.4649963378906,0.0,1.0021135807037354,0.0,0.0,0.0,1.8481156075722535e-05,2.38703222521508e-07,0.0003215695032849,0.0,-0.0,0.0321296080946922,0.0,-5888.45263671875,-877.3809204101562,89.78501892089844,23.967803955078125,1.0225014686584473
3.7532622343405826e-08,5.056213922216557e-05,0.0,0.7277481555938721,0.0,0.0,0.0,156922.296875,0.0,62768.91796875,300.4649963378906,0.0,1.0020407438278198,0.0,0.0,0.0,1.8481156075722535e-05,5.509745051313075e-07,0.0003669570432975,0.0,-0.0,0.0343217067420482,0.0,-6719.57763671875,-876.3051147460938,89.56752014160156,24.502349853515625,1.0224920511245728
8.674717832946045e-08,7.669229671591893e-05,0.0,0.7277478575706482,0.0,0.0,0.0,156922.21875,0.0,62768.890625,300.4649963378906,0.0,1.0019562244415283,0.0,0.0,0.0,1.8481156075722535e-05,9.460737828703714e-07,0.0004134763148613,0.0,-0.0,0.0364313386380672,0.0,-7571.43212890625,-874.1047973632812,89.35163879394531,25.048723220825195,1.0224831104278564
1.584429298873147e-07,0.0001034053202602,0.0,0.7277474999427795,0.0,0.0,0.0,156922.140625,0.0,62768.859375,300.4649658203125,0.0,1.0018593072891235,0.0,0.0,0.0,1.8481156075722535e-05,1.4311328868643614e-06,0.0004611582262441,0.0,-0.0,0.0384732410311698,0.0,-8444.5849609375,-870.5236206054688,89.1374282836914,25.6071891784668,1.0224745273590088
2.543956725276076e-07,0.0001307141792494,0.0,0.7277470827102661,0.0,0.0,0.0,156922.046875,0.0,62768.8203125,300.4649658203125,0.0,1.0017491579055786,0.0,0.0,0.0,1.8481156075722535e-05,2.0138547824899437e-06,0.0005100407288409,0.0,-0.0,0.0404590666294097,0.0,-9339.7333984375,-865.1407470703125,88.92496490478516,26.17801284790039,1.0224663019180298
3.765014753298601e-07,0.0001586321159265,0.0,0.7277466058731079,0.0,0.0,0.0,156921.9375,0.0,62768.77734375,300.4649658203125,0.0,1.0016248226165771,0.0,0.0,0.0,1.848115425673313e-05,2.7025478175346507e-06,0.000560161366593,0.0,-0.0,0.0423980131745338,0.0,-10257.5703125,-857.68359375,88.71430969238281,26.761463165283203,1.0224586725234983
5.267846177048341e-07,0.0001871726562967,0.0,0.7277460694313049,0.0,0.0,0.0,156921.828125,0.0,62768.73046875,300.4649658203125,0.0,1.0014855861663818,0.0,0.0,0.0,1.848115425673313e-05,3.5061816561210435e-06,0.0006115603027865,0.0,-0.0,0.0442975834012031,0.0,-11198.83203125,-847.8179931640625,88.50554656982422,27.357824325561523,1.0224512815475464
7.074062295941985e-07,0.0002163496683351,0.0,0.7277454733848572,0.0,0.0,0.0,156921.703125,0.0,62768.6796875,300.4649353027344,0.0,1.0013303756713867,0.0,0.0,0.0,1.848115425673313e-05,4.434437869349495e-06,0.0006642788648605,0.0,-0.0,0.0461639799177646,0.0,-12164.2802734375,-835.29052734375,88.29875183105469,27.967374801635746,1.022444486618042
9.206736990563512e-07,0.0002461772528477,0.0,0.7277448177337646,0.0,0.0,0.0,156921.546875,0.0,62768.62109375,300.4649353027344,0.0,1.0011581182479858,0.0,0.0,0.0,1.848115425673313e-05,5.497769507201156e-06,0.0007183602428995,0.0,-0.0,0.0480024293065071,0.0,-13154.7109375,-819.933349609375,88.09400939941406,28.590412139892575,1.0224382877349854
1.1690502788042068e-06,0.0002766698889899,0.0,0.7277441620826721,0.0,0.0,0.0,156921.390625,0.0,62768.5546875,300.46490478515625,0.0,1.0009678602218628,0.0,0.0,0.0,1.848115243774373e-05,6.70746385367238e-06,0.0007738491985946,0.0,-0.0,0.0498173870146274,0.0,-14170.951171875,-801.7416381835938,87.89139556884766,29.227230072021484,1.0224324464797974
