N,sqrt(1/N),Mesh,Cl,Cd,Cdp,Cdv
1060864,0.000971,2369x449,0.16,0.0101,0.00153,0.00854
265216,0.00194,1185x225,0.159,0.0101,0.00155,0.00854
66304,0.00388,593x113,0.159,0.0102,0.0017,0.00854
16576,0.00777,297x57,0.158,0.0113,0.00275,0.00853
4144,0.0155,149x29,0.154,0.0178,0.00914,0.00861
