N,sqrt(1/N),Mesh,Cl,Cd,Cdp,Cdv
1060864,0.000971,2369x449,0.159582653393159,0.010078955770563,0.001542,0.008537
265216,0.00194,1185x225,0.159342973724379,0.0100989097499139,0.00157,0.008529
66304,0.00388,593x113,0.1592380155846,0.0103310258917641,0.001828,0.008503
16576,0.00777,297x57,0.159624154134898,0.0121445978363413,0.003676,0.008469
4144,0.0155,149x29,0.155688510834858,0.0241725395885382,0.015088,0.009085
