"N","h2","h","C_D","C_f97"
208896.0,  4.78707e-6,  2.18794e-3, 0.285332397E-02, 0.269085355E-02
 52224.0,  1.91483e-5,  4.37588e-3, 0.284557154E-02, 0.268299226E-02
 13056.0,  7.65931e-5,  8.75175e-3, 0.282596960E-02, 0.266477116E-02
  3264.0,  3.06373e-4,  1.75035e-2, 0.278506994E-02, 0.262624887E-02
   816.0,  1.22549e-3,  3.50070e-2, 0.270623102E-02, 0.255183387E-02
