"x","cf"
 1.570173800E-01, 3.542875638E-03
 1.585152596E-01, 3.537548007E-03
 1.600197256E-01, 3.532257397E-03
 1.615308374E-01, 3.527003573E-03
 1.630486548E-01, 3.521785140E-03
 1.645732373E-01, 3.516600933E-03
 1.661046743E-01, 3.511449555E-03
 1.676430106E-01, 3.506330308E-03
 1.691883355E-01, 3.501243424E-03
 1.707406938E-01, 3.496188205E-03
 1.723001748E-01, 3.491164884E-03
 1.738668382E-01, 3.486173460E-03
 1.754407436E-01, 3.481213469E-03
 1.770219952E-01, 3.476283513E-03
 1.786106378E-01, 3.471383825E-03
 1.802067459E-01, 3.466513939E-03
 1.818104088E-01, 3.461673157E-03
 1.834216863E-01, 3.456860548E-03
 1.850406677E-01, 3.452076111E-03
 1.866674274E-01, 3.447319381E-03
 1.883020550E-01, 3.442589892E-03
 1.899445951E-01, 3.437886480E-03
 1.915951520E-01, 3.433209611E-03
 1.932538152E-01, 3.428558586E-03
 1.949206442E-01, 3.423932940E-03
 1.965957433E-01, 3.419331741E-03
 1.982791722E-01, 3.414755221E-03
 1.999710351E-01, 3.410203150E-03
 2.016714215E-01, 3.405674594E-03
 2.033804059E-01, 3.401169321E-03
 2.050980777E-01, 3.396686865E-03
 2.068245411E-01, 3.392226994E-03
 2.085598707E-01, 3.387789708E-03
 2.103041708E-01, 3.383373609E-03
 2.120575309E-01, 3.378979163E-03
 2.138200402E-01, 3.374605905E-03
 2.155917883E-01, 3.370253602E-03
 2.173728943E-01, 3.365921322E-03
 2.191634327E-01, 3.361608833E-03
 2.209635228E-01, 3.357316367E-03
 2.227732539E-01, 3.353043692E-03
 2.245927304E-01, 3.348789876E-03
 2.264220566E-01, 3.344554454E-03
 2.282613367E-01, 3.340337891E-03
 2.301106751E-01, 3.336139489E-03
 2.319701910E-01, 3.331959015E-03
 2.338399738E-01, 3.327795770E-03
 2.357201427E-01, 3.323649988E-03
 2.376108319E-01, 3.319521202E-03
 2.395121157E-01, 3.315409180E-03
 2.414241433E-01, 3.311312525E-03
 2.433470190E-01, 3.307230771E-03
 2.452808470E-01, 3.303163452E-03
 2.472257763E-01, 3.299111035E-03
 2.491818964E-01, 3.295073519E-03
 2.511493564E-01, 3.291050438E-03
 2.531282902E-01, 3.287042491E-03
 2.551187873E-01, 3.283049213E-03
 2.571209967E-01, 3.279070603E-03
 2.591350675E-01, 3.275105730E-03
 2.611611187E-01, 3.271154594E-03
 2.631992698E-01, 3.267217427E-03
 2.652496696E-01, 3.263293998E-03
 2.673124373E-01, 3.259383375E-03
 2.693877518E-01, 3.255485790E-03
 2.714757323E-01, 3.251600778E-03
 2.735765278E-01, 3.247728571E-03
 2.756902874E-01, 3.243868938E-03
 2.778171599E-01, 3.240020946E-03
 2.799572945E-01, 3.236184595E-03
