"N","h2","h","C_D","C_f97"
208896.0,  4.78707e-6,  2.18794e-3, 0.285985288E-02, 0.270562153E-02
 52224.0,  1.91483e-5,  4.37588e-3, 0.286130951E-02, 0.270673749E-02
 13056.0,  7.65931e-5,  8.75175e-3, 0.286620917E-02, 0.271115173E-02
  3264.0,  3.06373e-4,  1.75035e-2, 0.288437885E-02, 0.272834697E-02
   816.0,  1.22549e-3,  3.50070e-2, 0.295438152E-02, 0.279568508E-02
