"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
257, 1.677811484830000e+00, 0.000000000000000e+00, 1.319546809498755e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861440845463711e+05, 0.000000000000000e+00, 1.144576338185484e+05, 3.021692786716213e+02, 0.000000000000000e+00, 9.312980064696114e-04, 1.856162692006658e-05, 2.506213622498835e-03, 0.000000000000000e+00, -1.733957826972021e+00, 1.754700931938712e-01, 0.000000000000000e+00
258, 1.699290719170000e+00, 0.000000000000000e+00, 1.319544365853454e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861436037013840e+05, 0.000000000000000e+00, 1.144574414805536e+05, 3.021693304794404e+02, 0.000000000000000e+00, 8.712810989397487e-04, 1.856162936288472e-05, 2.501874833756027e-03, 0.000000000000000e+00, -1.727959352296994e+00, 1.753179539690021e-01, 0.000000000000000e+00
259, 1.720769953520000e+00, 0.000000000000000e+00, 1.319541932697074e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861431241947144e+05, 0.000000000000000e+00, 1.144572496778857e+05, 3.021693812988074e+02, 0.000000000000000e+00, 8.114312341673896e-04, 1.856163175909564e-05, 2.497603185751404e-03, 0.000000000000000e+00, -1.722063861025915e+00, 1.751680388395829e-01, 0.000000000000000e+00
260, 1.742249187860000e+00, 0.000000000000000e+00, 1.319539511182988e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861426462954084e+05, 0.000000000000000e+00, 1.144570585181633e+05, 3.021694311497137e+02, 0.000000000000000e+00, 7.517819932992856e-04, 1.856163410964196e-05, 2.493396463009355e-03, 0.000000000000000e+00, -1.716267839069699e+00, 1.750202758117202e-01, 0.000000000000000e+00
261, 1.763728422210000e+00, 0.000000000000000e+00, 1.319537103137967e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861421702238814e+05, 0.000000000000000e+00, 1.144568680895525e+05, 3.021694798465889e+02, 0.000000000000000e+00, 6.923608875739233e-04, 1.856163640577376e-05, 2.489251890992021e-03, 0.000000000000000e+00, -1.710567007663758e+00, 1.748745730656730e-01, 0.000000000000000e+00
262, 1.785207656550000e+00, 0.000000000000000e+00, 1.319534710551359e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861416959514158e+05, 0.000000000000000e+00, 1.144566783805663e+05, 3.021695269035445e+02, 0.000000000000000e+00, 6.331643326004953e-04, 1.856163862458069e-05, 2.485166208823864e-03, 0.000000000000000e+00, -1.704956473078565e+00, 1.747308214469817e-01, 0.000000000000000e+00
263, 1.806686890900000e+00, 0.000000000000000e+00, 1.319532333359038e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861412229934895e+05, 0.000000000000000e+00, 1.144564891973958e+05, 3.021695718235920e+02, 0.000000000000000e+00, 5.741318524974852e-04, 1.856164074262900e-05, 2.481137171887603e-03, 0.000000000000000e+00, -1.699432770516508e+00, 1.745889469970030e-01, 0.000000000000000e+00
264, 1.828166125240000e+00, 0.000000000000000e+00, 1.319529965721193e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861407506852751e+05, 0.000000000000000e+00, 1.144563002741100e+05, 3.021696152419531e+02, 0.000000000000000e+00, 5.151804665250912e-04, 1.856164278987038e-05, 2.477167273660032e-03, 0.000000000000000e+00, -1.693998924095528e+00, 1.744490414052446e-01, 0.000000000000000e+00
265, 1.849645359590000e+00, 0.000000000000000e+00, 1.319527595334628e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861402799474633e+05, 0.000000000000000e+00, 1.144561119789853e+05, 3.021696609482980e+02, 0.000000000000000e+00, 4.564250911250613e-04, 1.856164494499349e-05, 2.473267862392710e-03, 0.000000000000000e+00, -1.688670031471640e+00, 1.743115068056343e-01, 0.000000000000000e+00
266, 1.871124593930000e+00, 0.000000000000000e+00, 1.319525218349132e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861398175191517e+05, 0.000000000000000e+00, 1.144559270076607e+05, 3.021697169409631e+02, 0.000000000000000e+00, 3.987068701649707e-04, 1.856164758513191e-05, 2.469455668925247e-03, 0.000000000000000e+00, -1.683468432356074e+00, 1.741769350474563e-01, 0.000000000000000e+00
267, 1.892603828280000e+00, 0.000000000000000e+00, 1.319522883027143e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861393814008043e+05, 0.000000000000000e+00, 1.144557525603217e+05, 3.021697911768464e+02, 0.000000000000000e+00, 3.442725405299154e-04, 1.856165108546514e-05, 2.465727161215664e-03, 0.000000000000000e+00, -1.678388697611945e+00, 1.740452080163187e-01, 0.000000000000000e+00
268, 1.914083062620000e+00, 0.000000000000000e+00, 1.319520762477834e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861390003966965e+05, 0.000000000000000e+00, 1.144556001586786e+05, 3.021698744321150e+02, 0.000000000000000e+00, 2.967173222711262e-04, 1.856165501107541e-05, 2.462002986979639e-03, 0.000000000000000e+00, -1.673322480938690e+00, 1.739135450021682e-01, 0.000000000000000e+00
269, 1.935562296970000e+00, 0.000000000000000e+00, 1.319519140283794e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861386879316993e+05, 0.000000000000000e+00, 1.144554751726797e+05, 3.021699159433544e+02, 0.000000000000000e+00, 2.577168473800701e-04, 1.856165696839217e-05, 2.458076012849927e-03, 0.000000000000000e+00, -1.667988772985712e+00, 1.737746656532275e-01, 0.000000000000000e+00
270, 1.957041531310000e+00, 0.000000000000000e+00, 1.319518549840790e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861384724917554e+05, 0.000000000000000e+00, 1.144553889967021e+05, 3.021698236445770e+02, 0.000000000000000e+00, 2.308266030420631e-04, 1.856165261636720e-05, 2.453832975662640e-03, 0.000000000000000e+00, -1.662235069570839e+00, 1.736246211325317e-01, 0.000000000000000e+00
271, 1.978520765660000e+00, 0.000000000000000e+00, 1.319513639693462e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861366066768428e+05, 0.000000000000000e+00, 1.144546426707371e+05, 3.021689777153660e+02, 0.000000000000000e+00, -2.056018347694533e-06, 1.856161272951345e-05, 2.447784922674849e-03, 0.000000000000000e+00, -1.654057625458571e+00, 1.734105696034847e-01, 0.000000000000000e+00
272, 2.000000000000000e+00, 0.000000000000000e+00, 1.319581576983447e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861573890023073e+05, 0.000000000000000e+00, 1.144629556009229e+05, 3.021753664978929e+02, 0.000000000000000e+00, 2.591900327661348e-03, 1.856191396901552e-05, 2.448031702005851e-03, 0.000000000000000e+00, -1.654369367238812e+00, 1.734209606367388e-01, 0.000000000000000e+00
