"N","h2","h","C_D","C_f97"
208896.0,  4.78707e-6,  2.18794e-3,  0.2852469E-02, 0.270540472596778E-02
 52224.0,  1.91483e-5,  4.37588e-3,  0.2847933E-02, 0.270448474835251E-02
 13056.0,  7.65931e-5,  8.75175e-3,  0.2840045E-02, 0.270215403362043E-02
  3264.0,  3.06373e-4,  1.75035e-2,  0.2822641E-02, 0.269497594242929E-02
   816.0,  1.22549e-3,  3.50070e-2,  0.2773859E-02, 0.266737773774490E-02
