x,y,z,Density,Momentum_0,Momentum_1,Momentum_2,Energy,Turb_Kin_Energy,Omega,Pressure,Temperature,Mach,Pressure_Coefficient,Velocity_0,Velocity_1,Velocity_2,Laminar_Viscosity,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Heat_Flux,Y_Plus,Eddy_Viscosity,Vorticity,Q_Criterion,Orthogonality,Aspect_Ratio,Volume_Ratio
9.09936570536729e-09,-2.500191840226762e-05,0.0,0.727739691734314,0.0,0.0,0.0,156922.21875,1.000000013351432e-10,4563406848.0,62768.890625,300.46832275390625,0.0,1.0019522905349731,0.0,0.0,0.0,1.8481314327800646e-05,-1.2566697193960866e-07,0.000170672108652,0.0,-0.0,0.0234068501740694,1.594728934641798e-20,-3125.2529296875,-875.2613525390625,89.7775650024414,23.967205047607425,1.022472262382507
3.7228303995107126e-08,-5.056088411947712e-05,0.0,0.7277398109436035,0.0,0.0,0.0,156922.25,1.000000013351432e-10,4563552256.0,62768.8984375,300.46832275390625,0.0,1.0019835233688354,0.0,0.0,0.0,1.8481314327800646e-05,-1.8616007935179368e-07,0.0001256405812455,0.0,-0.0,0.0200826004147529,1.594678366764507e-20,-2300.66259765625,-872.4486083984375,89.55915832519531,24.50102424621582,1.0224629640579224
8.568387244167752e-08,-7.668927719350904e-05,0.0,0.7277399301528931,0.0,0.0,0.0,156922.265625,1.000000013351432e-10,4563801600.0,62768.90625,300.46832275390625,0.0,1.002004861831665,0.0,0.0,0.0,1.8481314327800646e-05,-1.789385777328789e-07,7.971741433721036e-05,0.0,-0.0,0.0159963183104991,1.5945914481767034e-20,-1459.7442626953125,-867.2572021484375,89.34172058105469,25.04664421081543,1.022453784942627
1.558336322204923e-07,-0.0001033997396007,0.0,0.7277399897575378,0.0,0.0,0.0,156922.28125,1.000000013351432e-10,4564153344.0,62768.91015625,300.46832275390625,0.0,1.002017617225647,0.0,0.0,0.0,1.8481314327800646e-05,-9.928553623694825e-08,3.28141832142137e-05,0.0,-0.0,0.0102626122534275,1.5944686635545282e-20,-600.8775634765625,-865.197021484375,89.12535095214844,25.60432243347168,1.0224449634552002
2.491193242804002e-07,-0.0001307052007177,0.0,0.7277399897575378,0.0,0.0,0.0,156922.28125,1.000000013351432e-10,4564604928.0,62768.91015625,300.46832275390625,0.0,1.0020190477371216,0.0,0.0,0.0,1.8481314327800646e-05,5.7357070204489e-08,-1.4994330740591977e-05,0.0,-0.0,0.0069369697012007,1.59431098225026e-20,274.5699768066406,-861.421875,88.91010284423828,26.174325942993164,1.0224363803863523
3.670607213734911e-07,-0.0001586188882356,0.0,0.7277399301528931,0.0,0.0,0.0,156922.265625,1.000000013351432e-10,4565154304.0,62768.90625,300.46832275390625,0.0,1.002009034156799,0.0,0.0,0.0,1.8481314327800646e-05,2.964481211620296e-07,-6.383690924849361e-05,0.0,-0.0,0.0143125429749488,1.5941190504987535e-20,1168.9586181640625,-850.7431030273438,88.69599151611328,26.75692367553711,1.0224281549453735
5.112596568324079e-07,-0.0001871543063316,0.0,0.7277398705482483,0.0,0.0,0.0,156922.25,1.000000013351432e-10,4565799424.0,62768.90234375,300.46832275390625,0.0,1.0019879341125488,0.0,0.0,0.0,1.8481314327800646e-05,6.230647500160558e-07,-0.0001136573991971,0.0,-0.0,0.0190963316708803,1.593893514534862e-20,2081.26220703125,-844.110595703125,88.4830551147461,27.352394104003903,1.0224201679229736
6.834043801973166e-07,-0.0002163252502214,0.0,0.7277397513389587,0.0,0.0,0.0,156922.21875,1.000000013351432e-10,4566538752.0,62768.890625,300.46832275390625,0.0,1.0019538402557373,0.0,0.0,0.0,1.8481314327800646e-05,1.0430978818476433e-06,-0.0001645229931455,0.0,-0.0,0.0229736678302288,1.593635343710866e-20,3012.7138671875,-834.97802734375,88.27132415771484,27.961017608642575,1.0224125385284424
8.852738346831757e-07,-0.0002461458207108,0.0,0.7277395725250244,0.0,0.0,0.0,156922.1875,1.000000013351432e-10,4567369216.0,62768.875,300.46832275390625,0.0,1.001906394958496,0.0,0.0,0.0,1.8481314327800646e-05,1.56248199800757e-06,-0.0002164426696253,0.0,-0.0,0.0263481605798006,1.593345184261619e-20,3963.48095703125,-824.8843383789062,88.06082153320312,28.583084106445312,1.0224051475524902
1.1187428299308522e-06,-0.0002766304532997,0.0,0.7277393341064453,0.0,0.0,0.0,156922.125,1.000000013351432e-10,4568288768.0,62768.8515625,300.46832275390625,0.0,1.0018446445465088,0.0,0.0,0.0,1.8481314327800646e-05,2.1876737719139783e-06,-0.0002694554859772,0.0,-0.0,0.0293954536318779,1.5930238439806877e-20,4934.28173828125,-812.5892944335938,87.8515853881836,29.218891143798828,1.0223981142044067
1.3857865042155026e-06,-0.0003077939036302,0.0,0.7277390360832214,0.0,0.0,0.0,156922.0625,1.000000013351432e-10,4569295872.0,62768.828125,300.46832275390625,0.0,1.001767873764038,0.0,0.0,0.0,1.8481314327800646e-05,2.9253692446218338e-06,-0.0003235824406147,0.0,-0.0,0.032209426164627,1.5926722922203526e-20,5925.50341796875,-798.3799438476562,87.64363861083984,29.86873817443848,1.022391438484192
1.688486008788459e-06,-0.0003396511892788,0.0,0.7277386784553528,0.0,0.0,0.0,156921.984375,1.000000013351432e-10,4570386944.0,62768.796875,300.46832275390625,0.0,1.001674771308899,0.0,0.0,0.0,1.8481312508811243e-05,3.782720796152717e-06,-0.0003788548056036,0.0,-0.0,0.0348479300737381,1.5922911752154674e-20,6937.72412109375,-781.78173828125,87.43701934814453,30.532936096191406,1.0223850011825562
2.029034021688858e-06,-0.0003722177352756,0.0,0.7277382612228394,0.0,0.0,0.0,156921.890625,1.000000013351432e-10,4571560448.0,62768.7578125,300.4682922363281,0.0,1.0015647411346436,0.0,0.0,0.0,1.8481312508811243e-05,4.767249265569262e-06,-0.0004352998221293,0.0,-0.0,0.0373492017388343,1.5918814623183122e-20,7971.4462890625,-762.8006591796875,87.23175811767578,31.21179962158203,1.022378921508789
2.40974031839869e-06,-0.0004055092867929,0.0,0.7277377843856812,0.0,0.0,0.0,156921.78125,1.000000013351432e-10,4572813824.0,62768.71484375,300.4682922363281,0.0,1.001436471939087,0.0,0.0,0.0,1.8481312508811243e-05,5.8869345593848266e-06,-0.0004929484566673,0.0,-0.0,0.0397402681410312,1.5914442844398812e-20,9027.2421875,-741.37255859375,87.02789306640625,31.905649185180664,1.0223733186721802
2.8330384793662238e-06,-0.0004395418800413,0.0,0.7277372479438782,0.0,0.0,0.0,156921.65625,1.000000013351432e-10,4574144000.0,62768.6640625,300.4682922363281,0.0,1.0012890100479126,0.0,0.0,0.0,1.8481312508811243e-05,7.150209057726897e-06,-0.0005518316174857,0.0,-0.0,0.0420409850776195,1.5909802878150272e-20,10105.6826171875,-717.6937255859375,86.82546997070312,32.61481857299805,1.0223679542541504
3.301492142782081e-06,-0.0004743319877889,0.0,0.7277365922927856,0.0,0.0,0.0,156921.515625,1.000000013351432e-10,4575548416.0,62768.609375,300.46826171875,0.0,1.001121163368225,0.0,0.0,0.0,1.848131068982184e-05,8.566005817556288e-06,-0.0006119820754975,0.0,-0.0,0.0442665144801139,1.590490603354744e-20,11207.373046875,-692.1050415039062,86.62451171875,33.339637756347656,1.0223629474639893
3.817801371042151e-06,-0.0005098963738419,0.0,0.7277358770370483,0.0,0.0,0.0,156921.359375,1.000000013351432e-10,4577024512.0,62768.54296875,300.46826171875,0.0,1.000931739807129,0.0,0.0,0.0,1.848131068982184e-05,1.014377994579263e-05,-0.0006734335329383,0.0,-0.0,0.0464287176728248,1.5899760388525992e-20,12332.9404296875,-665.1571044921875,86.42506408691406,34.08046340942383,1.0223584175109863
4.384811290947255e-06,-0.0005462522385641,0.0,0.7277351021766663,0.0,0.0,0.0,156921.171875,1.000000013351432e-10,4578569216.0,62768.47265625,300.4682312011719,0.0,1.0007195472717283,0.0,0.0,0.0,1.848131068982184e-05,1.1893548617081253e-05,-0.0007362213218584,0.0,-0.0,0.0485371127724647,1.5894378867782996e-20,13483.0361328125,-637.5426635742188,86.2271728515625,34.8376350402832,1.0223541259765625
5.005518232792383e-06,-0.0005834171315655,0.0,0.7277342081069946,0.0,0.0,0.0,156920.984375,1.000000013351432e-10,4580179968.0,62768.390625,300.4682312011719,0.0,1.0004832744598389,0.0,0.0,0.0,1.848130887083244e-05,1.3825922906107737e-05,-0.0008003818220458,0.0,-0.0,0.0505994819104671,1.588876954925412e-20,14658.3359375,-610.0436401367188,86.03087615966797,35.61152267456055,1.0223503112792969
5.683079507434741e-06,-0.0006214089225977,0.0,0.7277332544326782,0.0,0.0,0.0,156920.75,1.000000013351432e-10,4581853696.0,62768.3046875,300.4682006835937,0.0,1.0002213716506958,0.0,0.0,0.0,1.848130887083244e-05,1.5952147805364802e-05,-0.0008659531595185,0.0,-0.0,0.0526222921907901,1.5882943742049304e-20,15859.546875,-583.4395141601562,85.83621978759766,36.40249252319336,1.0223537683486938
6.42082068225136e-06,-0.0006602460052818,0.0,0.7277321815490723,0.0,0.0,0.0,156920.515625,1.000000013351432e-10,4583586816.0,62768.20703125,300.4681701660156,0.0,0.9999324679374696,0.0,0.0,0.0,1.8481307051843032e-05,1.82841486093821e-05,-0.0009329746826551,0.0,-0.0,0.0546110123395919,1.5876914370865617e-20,17087.3984375,-558.4256591796875,85.64324188232422,37.21091842651367,1.02236008644104
