x,y,z,Density,Momentum_0,Momentum_1,Momentum_2,Energy,Turb_Kin_Energy,Omega,Pressure,Temperature,Mach,Pressure_Coefficient,Velocity_0,Velocity_1,Velocity_2,Laminar_Viscosity,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Heat_Flux,Y_Plus,Eddy_Viscosity,Vorticity,Q_Criterion,Orthogonality,Aspect_Ratio,Volume_Ratio
9.136088330308212e-09,2.5002176698762923e-05,0.0,0.7277394533157349,0.0,0.0,0.0,156922.140625,1.000000013351432e-10,4563408384.0,62768.859375,300.4682922363281,0.0,1.001861572265625,0.0,0.0,0.0,1.8481312508811243e-05,1.8941101131986213e-07,0.0002551653888076,0.0,-0.0,0.0286201927810907,1.5947278037308042e-20,-4672.44775390625,-875.7410888671875,89.78501892089844,23.967803955078125,1.0225014686584473
3.7532622343405826e-08,5.056213922216557e-05,0.0,0.7277392148971558,0.0,0.0,0.0,156922.09375,1.000000013351432e-10,4563554304.0,62768.83984375,300.4682922363281,0.0,1.001802921295166,0.0,0.0,0.0,1.8481312508811243e-05,4.511615543378866e-07,0.0003004801692441,0.0,-0.0,0.0310572367161512,1.594676266501233e-20,-5502.23193359375,-875.4715576171875,89.56752014160156,24.502349853515625,1.0224920511245728
8.674717832946045e-08,7.669229671591893e-05,0.0,0.7277389168739319,0.0,0.0,0.0,156922.03125,1.000000013351432e-10,4563801600.0,62768.81640625,300.4682922363281,0.0,1.0017327070236206,0.0,0.0,0.0,1.8481312508811243e-05,7.937952091197076e-07,0.0003469238290563,0.0,-0.0,0.0333703309297561,1.5945893479134296e-20,-6352.6923828125,-873.989990234375,89.35163879394531,25.048723220825195,1.0224831104278564
1.584429298873147e-07,0.0001034053202602,0.0,0.727738618850708,0.0,0.0,0.0,156921.96875,1.000000013351432e-10,4564147712.0,62768.78515625,300.4682922363281,0.0,1.00165057182312,0.0,0.0,0.0,1.8481312508811243e-05,1.2243480114193517e-06,0.0003945253265555,0.0,-0.0,0.0355848334729671,1.5944676942022475e-20,-7224.36328125,-871.3165283203125,89.1374282836914,25.6071891784668,1.0224745273590088
2.543956725276076e-07,0.0001307141792494,0.0,0.7277382612228394,0.0,0.0,0.0,156921.890625,1.000000013351432e-10,4564589056.0,62768.75390625,300.4682922363281,0.0,1.001555562019348,0.0,0.0,0.0,1.8481312508811243e-05,1.7504271454527045e-06,0.0004433234862517,0.0,-0.0,0.0377196371555328,1.5943129209548206e-20,-8117.95654296875,-866.9451293945312,88.92496490478516,26.17801284790039,1.0224663019180298
3.765014753298601e-07,0.0001586321159265,0.0,0.7277379035949707,0.0,0.0,0.0,156921.796875,1.000000013351432e-10,4565122048.0,62768.71875,300.46826171875,0.0,1.0014468431472778,0.0,0.0,0.0,1.8481312508811243e-05,2.3802354007784743e-06,0.0004933551535941,0.0,-0.0,0.0397889502346515,1.5941258359647158e-20,-9034.1513671875,-860.6536254882812,88.71430969238281,26.761463165283203,1.0224586725234983
5.267846177048341e-07,0.0001871726562967,0.0,0.7277374267578125,0.0,0.0,0.0,156921.6875,1.000000013351432e-10,4565743616.0,62768.67578125,300.46826171875,0.0,1.0013234615325928,0.0,0.0,0.0,1.848131068982184e-05,3.1226334158418467e-06,0.0005446604918688,0.0,-0.0,0.0418039225041866,1.5939077317016403e-20,-9973.6845703125,-852.0706787109375,88.50554656982422,27.357824325561523,1.0224512815475464
7.074062295941985e-07,0.0002163496683351,0.0,0.7277368903160095,0.0,0.0,0.0,156921.578125,1.000000013351432e-10,4566450176.0,62768.62890625,300.46826171875,0.0,1.0011844635009766,0.0,0.0,0.0,1.848131068982184e-05,3.987185664300341e-06,0.0005972805083729,0.0,-0.0,0.0437734685838222,1.5936599006353012e-20,-10937.3125,-840.9141845703125,88.29875183105469,27.967374801635746,1.022444486618042
9.206736990563512e-07,0.0002461772528477,0.0,0.7277362942695618,0.0,0.0,0.0,156921.4375,1.000000013351432e-10,4567237632.0,62768.578125,300.4682312011719,0.0,1.0010290145874023,0.0,0.0,0.0,1.848131068982184e-05,4.984222869097721e-06,0.0006512581603601,0.0,-0.0,0.0457048676908016,1.593383796794119e-20,-11925.828125,-826.9483032226562,88.09400939941406,28.590412139892575,1.0224382877349854
1.1690502788042068e-06,0.0002766698889899,0.0,0.7277356386184692,0.0,0.0,0.0,156921.296875,1.000000013351432e-10,4568102400.0,62768.51953125,300.4682312011719,0.0,1.0008559226989746,0.0,0.0,0.0,1.848130887083244e-05,6.124901574366959e-06,0.0007066382095217,0.0,-0.0,0.0476041808724403,1.593080874206514e-20,-12940.0537109375,-810.08203125,87.89139556884766,29.227230072021484,1.0224324464797974
