x/c,cp
1,0.158621717
0.999750555,0.168058093
0.999495685,0.175524068
0.999235213,0.17393851
0.998969078,0.173646029
0.998697162,0.172645434
0.998419285,0.171829565
0.998135388,0.170921333
0.997845352,0.170028495
0.997548938,0.169104869
0.997246087,0.168181243
0.996936738,0.167242224
0.996620595,0.166318598
0.996297598,0.165379579
0.995967627,0.164455953
0.995630562,0.163547721
0.995286107,0.162639489
0.994934261,0.161715863
0.994574785,0.160807632
0.994207561,0.1598994
0.99383235,0.158991168
0.993449092,0.158082936
0.993057609,0.157174704
0.992657661,0.156266472
0.992249131,0.155342846
0.991831779,0.15441922
0.991405487,0.153495595
0.990970016,0.152571969
0.990525246,0.15163295
0.990070939,0.15069393
0.989606917,0.149754911
0.989132941,0.148800497
0.988648891,0.147846084
0.988154471,0.146891671
0.9876495,0.145921864
0.987133801,0.144952057
0.986607134,0.14398225
0.986069262,0.142981656
0.985519946,0.141996455
0.984959006,0.14099586
0.984386206,0.139995266
0.983801246,0.138979278
0.983203948,0.137947896
0.982594073,0.136931907
0.981971323,0.135885132
0.981335461,0.134838356
0.980686188,0.13379158
0.980023324,0.13272941
0.979346573,0.131667241
0.978655636,0.130605071
0.977950215,0.129527508
0.977230132,0.128449945
0.976494968,0.127356988
0.975744545,0.126279424
0.974978507,0.125186467
0.974196553,0.12409351
0.973398387,0.123015947
0.972583711,0.121938384
0.971752226,0.120876214
0.970903575,0.119829438
0.97003746,0.11881345
0.969153523,0.117874431
0.968251467,0.116996986
0.967330873,0.116150329
0.966391504,0.115365247
0.965432942,0.114626347
0.96445483,0.113949021
0.963456869,0.113317877
0.962438703,0.112748308
0.961399913,0.11222492
0.960340202,0.111778501
0.959259152,0.111362869
0.958156407,0.111008813
0.957031548,0.110700938
0.955884278,0.110408456
0.954714179,0.110162156
0.953520894,0.109869674
0.952303946,0.109623374
0.951063097,0.108853686
0.949797928,0.107714548
0.948507965,0.107098797
0.947192729,0.106729347
0.945851922,0.106021234
0.944485068,0.104774339
0.94309181,0.103496657
0.941671669,0.102465275
0.940224171,0.101526256
0.938748837,0.10047948
0.937245369,0.0994019166
0.935713172,0.0983397471
0.934151828,0.0972775775
0.93256098,0.0962308018
0.930940092,0.0951686322
0.929288805,0.0941218564
0.927606523,0.0930750806
0.925892949,0.0920129111
0.924147487,0.0909661353
0.922369778,0.0899193595
0.920559347,0.08885719
0.918715715,0.0877642329
0.916838408,0.0867020633
0.914927006,0.0856860751
0.912981093,0.084531543
