"Density","Diffusivity_0","Eddy_Viscosity","Heat_Capacity","Heat_Flux","Laminar_Viscosity","Omega","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_Species_0","Residual_TKE","Residual_Velocity:0","Residual_Velocity:1","Residual_Velocity:2","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Species_0","Thermal_Conductivity","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.2685,1.6949e-05,0.005953,1114.3,0,1.6368e-05,1451.8,0.62998,0.00024538,-2.0537e-13,1.9347e-17,-2.5103e-14,-5.2236e-16,-3.6512e-16,2.4055e-15,0,0,0,0,0.15641,7.3944,6.8136,17.185,0.0035302,0,0,1,0,0.263,0,0
1.2685,1.695e-05,0.0059529,1114.3,0,1.6369e-05,1451.9,0.578,0.00022513,-2.0925e-13,1.5046e-17,-2.2943e-14,-2.5832e-16,-1.0938e-15,2.0305e-15,0,0,0,0,0.15637,7.3941,6.8138,17.18,0.0046249,0,0,1,0.0001052,0.263,0.0001052,0
1.2685,1.6951e-05,0.0059529,1114.2,0,1.637e-05,1451.9,0.52601,0.00020488,-2.1314e-13,1.0744e-17,-2.0782e-14,5.723e-18,-1.8225e-15,1.6555e-15,0,0,0,0,0.15632,7.3939,6.814,17.175,0.0057197,0,0,1,0.0002104,0.263,0.0002104,0
1.2685,1.6952e-05,0.0059528,1114.2,0,1.637e-05,1451.9,0.47403,0.00018463,-2.1702e-13,6.4416e-18,-1.8622e-14,2.6977e-16,-2.5512e-15,1.2805e-15,0,0,0,0,0.15627,7.3936,6.8142,17.17,0.0068144,0,0,1,0.0003156,0.263,0.0003156,0
1.2685,1.6953e-05,0.0059528,1114.2,0,1.6371e-05,1452,0.42205,0.00016439,-2.2091e-13,2.1396e-18,-1.6461e-14,5.3381e-16,-3.2799e-15,9.0546e-16,0,0,0,0,0.15623,7.3933,6.8144,17.165,0.0079091,0,0,1,0.0004208,0.263,0.0004208,0
1.2684,1.6955e-05,0.0059527,1114.1,0,1.6371e-05,1452,0.37006,0.00014414,-2.248e-13,-2.1624e-18,-1.4301e-14,7.9785e-16,-4.0086e-15,5.3046e-16,0,0,0,0,0.15618,7.393,6.8146,17.16,0.0090039,0,0,1,0.000526,0.263,0.000526,0
1.2684,1.6956e-05,0.0059527,1114.1,0,1.6372e-05,1452.3,0.35848,0.00013963,-2.1416e-13,-2.1448e-18,-1.4316e-14,4.7731e-16,-2.6783e-15,4.1668e-16,0,0,0,0,0.15611,7.3927,6.8162,17.152,0.010174,0,0,1,0.0006312,0.263,0.0006312,0
1.2684,1.6958e-05,0.0059527,1114,0,1.6373e-05,1452.6,0.34814,0.0001356,-2.0308e-13,-1.995e-18,-1.4397e-14,1.3887e-16,-1.2851e-15,3.109e-16,0,0,0,0,0.15603,7.3924,6.8179,17.144,0.011346,0,0,1,0.0007364,0.263,0.0007364,0
1.2683,1.696e-05,0.0059527,1114,0,1.6374e-05,1453,0.33779,0.00013157,-1.9199e-13,-1.8452e-18,-1.4478e-14,-1.9956e-16,1.0819e-16,2.0512e-16,0,0,0,0,0.15596,7.392,6.8197,17.136,0.012518,0,0,1,0.0008416,0.263,0.0008416,0
1.2683,1.6962e-05,0.0059527,1113.9,0,1.6375e-05,1453.3,0.32745,0.00012754,-1.8091e-13,-1.6954e-18,-1.4559e-14,-5.38e-16,1.5015e-15,9.933e-17,0,0,0,0,0.15589,7.3917,6.8214,17.127,0.01369,0,0,1,0.0009468,0.263,0.0009468,0
