"Density","Diffusivity_0","Eddy_Viscosity","Heat_Capacity","Heat_Flux","Laminar_Viscosity","Omega","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_Species_0","Residual_TKE","Residual_Velocity:0","Residual_Velocity:1","Residual_Velocity:2","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Species_0","Thermal_Conductivity","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.4552,1.0577e-05,0.0053286,1351,0,1.2289e-05,9273.4,14.298,0.005569,-1.6118e-13,-4.7211e-17,2.2203e-15,-2.0028e-15,-1.7857e-15,-5.9919e-15,0,0,0,0,0.50937,8.0125,33.754,34.347,0.056924,0,0,1,0,0.0789,0,0
1.4543,1.0595e-05,0.0053444,1350.1,0,1.2303e-05,9263.4,13.169,0.0051291,-3.4356e-14,-3.8132e-17,1.9447e-15,-8.9378e-16,-1.2466e-15,-5.0468e-15,0,0,0,0,0.50799,8.031,33.841,34.229,0.073677,0,0,1,0.0001052,0.0789,0.0001052,0
1.4535,1.0614e-05,0.0053603,1349.1,0,1.2317e-05,9253.3,12.039,0.0046893,9.2466e-14,-2.9054e-17,1.6692e-15,2.1523e-16,-7.0753e-16,-4.1017e-15,0,0,0,0,0.5066,8.0495,33.929,34.11,0.090429,0,0,1,0.0002104,0.0789,0.0002104,0
1.4526,1.0632e-05,0.0053762,1348.2,0,1.2331e-05,9243.3,10.91,0.0042495,2.1929e-13,-1.9975e-17,1.3937e-15,1.3242e-15,-1.6843e-16,-3.1566e-15,0,0,0,0,0.50521,8.0679,34.016,33.991,0.10718,0,0,1,0.0003156,0.0789,0.0003156,0
1.4518,1.0651e-05,0.0053921,1347.3,0,1.2345e-05,9233.3,9.7809,0.0038096,3.4611e-13,-1.0896e-17,1.1182e-15,2.4333e-15,3.7066e-16,-2.2115e-15,0,0,0,0,0.50383,8.0864,34.104,33.872,0.12393,0,0,1,0.0004208,0.0789,0.0004208,0
1.451,1.0669e-05,0.005408,1346.3,0,1.2359e-05,9223.2,8.6517,0.0033698,4.7293e-13,-1.8176e-18,8.4265e-16,3.5423e-15,9.0976e-16,-1.2663e-15,0,0,0,0,0.50244,8.1049,34.191,33.754,0.14069,0,0,1,0.000526,0.0789,0.000526,0
1.4497,1.0697e-05,0.0054305,1345,0,1.238e-05,9239.7,8.3305,0.0032447,4.5411e-13,-1.6811e-18,8.5737e-16,2.4425e-15,6.86e-16,-9.6267e-16,0,0,0,0,0.50038,8.1304,34.43,33.584,0.15635,0,0,1,0.0006312,0.0789,0.0006312,0
1.4485,1.0725e-05,0.0054533,1343.6,0,1.2401e-05,9257,8.034,0.0031292,4.3084e-13,-1.8182e-18,8.8098e-16,1.2751e-15,4.389e-16,-6.7862e-16,0,0,0,0,0.49831,8.1561,34.673,33.413,0.17198,0,0,1,0.0007364,0.0789,0.0007364,0
1.4472,1.0753e-05,0.005476,1342.2,0,1.2422e-05,9274.3,7.7375,0.0030137,4.0758e-13,-1.9553e-18,9.0458e-16,1.0775e-16,1.918e-16,-3.9457e-16,0,0,0,0,0.49623,8.1819,34.916,33.242,0.18761,0,0,1,0.0008416,0.0789,0.0008416,0
1.4459,1.0781e-05,0.0054987,1340.8,0,1.2443e-05,9291.6,7.441,0.0028982,3.8431e-13,-2.0925e-18,9.2818e-16,-1.0596e-15,-5.5295e-17,-1.1052e-16,0,0,0,0,0.49415,8.2076,35.159,33.071,0.20324,0,0,1,0.0009468,0.0789,0.0009468,0
1.4443,1.0818e-05,0.0055235,1339,0,1.2471e-05,9310.2,6.9717,0.0027155,1.7968e-13,-1.5671e-18,8.9438e-16,-3.5189e-16,-1.167e-16,-7.7132e-17,0,0,0,0,0.49147,8.2337,35.434,32.856,0.21861,0,0,1,0.001052,0.0789,0.001052,0
1.4427,1.0855e-05,0.0055484,1337.2,0,1.2499e-05,9328.9,6.4927,0.0025289,-3.5186e-14,-1.0043e-18,8.5734e-16,4.6171e-16,-1.6762e-16,-5.7896e-17,0,0,0,0,0.48875,8.2598,35.71,32.638,0.23396,0,0,1,0.0011572,0.0789,0.0011572,0
1.4411,1.0893e-05,0.0055734,1335.3,0,1.2527e-05,9347.5,6.0137,0.0023423,-2.5005e-13,-4.4158e-19,8.203e-16,1.2753e-15,-2.1854e-16,-3.8661e-17,0,0,0,0,0.48604,8.2859,35.987,32.421,0.24931,0,0,1,0.0012624,0.0789,0.0012624,0
1.4393,1.0935e-05,0.005597,1333.3,0,1.2558e-05,9363.5,5.5365,0.0021564,-2.0339e-13,-2.1187e-19,7.9633e-16,5.6909e-16,-2.915e-16,-1.0013e-17,0,0,0,0,0.48299,8.3085,36.252,32.182,0.26363,0,0,1,0.0013676,0.0789,0.0013676,0
