"Density","Diffusivity_0","Eddy_Viscosity","Heat_Capacity","Heat_Flux","Laminar_Viscosity","Omega","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_Species_0","Residual_TKE","Residual_Velocity:0","Residual_Velocity:1","Residual_Velocity:2","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Species_0","Thermal_Conductivity","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.8264,5.8398e-06,0.00030412,1678.9,0,8.0515e-06,13102,13.588,0.0052924,-1.5779e-12,2.1668e-16,4.1485e-18,-5.1845e-16,1.5641e-14,2.9766e-14,0,0,0,0,0.99843,0.58522,2.1996,63.366,0.030919,0,0,1,0,0.02104,0,0
1.8251,5.8488e-06,0.00038909,1678.1,0,8.0612e-06,14184,14.106,0.0054941,-2.3517e-12,1.7742e-16,7.6398e-18,-6.0863e-16,1.2538e-14,2.3622e-14,0,0,0,0,0.99711,0.74298,3.2489,62.814,0.045439,0,0,1,0.0001052,0.02104,0.0001052,0
1.8239,5.8579e-06,0.00047406,1677.2,0,8.0709e-06,15266,14.623,0.0056957,-3.1256e-12,1.3817e-16,1.1131e-17,-6.9881e-16,9.435e-15,1.7479e-14,0,0,0,0,0.99579,0.90074,4.2982,62.261,0.05996,0,0,1,0.0002104,0.02104,0.0002104,0
1.8226,5.867e-06,0.00055903,1676.3,0,8.0807e-06,16347,15.141,0.0058974,-3.8994e-12,9.8914e-17,1.4622e-17,-7.8899e-16,6.3319e-15,1.1335e-14,0,0,0,0,0.99447,1.0585,5.3474,61.708,0.074481,0,0,1,0.0003156,0.02104,0.0003156,0
1.8213,5.876e-06,0.000644,1675.4,0,8.0904e-06,17429,15.659,0.006099,-4.6732e-12,5.966e-17,1.8114e-17,-8.7917e-16,3.2288e-15,5.1916e-15,0,0,0,0,0.99314,1.2163,6.3967,61.156,0.089002,0,0,1,0.0004208,0.02104,0.0004208,0
1.8201,5.8851e-06,0.00072896,1674.5,0,8.1001e-06,18510,16.177,0.0063007,-5.4471e-12,2.0407e-17,2.1605e-17,-9.6935e-16,1.2565e-16,-9.5202e-16,0,0,0,0,0.99182,1.374,7.4459,60.603,0.10352,0,0,1,0.000526,0.02104,0.000526,0
1.8159,5.9163e-06,0.00082985,1671.5,0,8.1332e-06,19930,16.767,0.0065308,-3.3376e-12,1.8526e-17,1.9645e-17,1.0215e-15,2.6302e-16,-1.2172e-15,0,0,0,0,0.98736,1.5579,9.3857,59.755,0.12742,0,0,1,0.0006312,0.02104,0.0006312,0
1.8116,5.9481e-06,0.00093123,1668.5,0,8.1671e-06,21360,17.36,0.0067618,-1.1399e-12,1.7789e-17,1.7518e-17,3.0761e-15,4.9955e-16,-1.3026e-15,0,0,0,0,0.98279,1.7425,11.353,58.898,0.15161,0,0,1,0.0007364,0.02104,0.0007364,0
1.8074,5.9799e-06,0.0010326,1665.4,0,8.2009e-06,22790,17.953,0.0069928,1.0577e-12,1.7052e-17,1.539e-17,5.1306e-15,7.3608e-16,-1.3879e-15,0,0,0,0,0.97823,1.9272,13.32,58.041,0.1758,0,0,1,0.0008416,0.02104,0.0008416,0
1.8031,6.0118e-06,0.001134,1662.3,0,8.2348e-06,24220,18.547,0.0072238,3.2554e-12,1.6315e-17,1.3263e-17,7.1852e-15,9.7262e-16,-1.4733e-15,0,0,0,0,0.97367,2.1118,15.287,57.184,0.19999,0,0,1,0.0009468,0.02104,0.0009468,0
1.7944,6.0799e-06,0.0012275,1656,0,8.3061e-06,25843,18.514,0.007211,3.8964e-12,9.0826e-18,1.9112e-17,7.8877e-15,4.7704e-16,-1.3408e-15,0,0,0,0,0.96421,2.2744,17.925,56.161,0.23401,0,0,1,0.001052,0.02104,0.001052,0
1.7856,6.15e-06,0.0013206,1649.5,0,8.3795e-06,27477,18.445,0.0071844,4.4495e-12,1.4837e-18,2.5412e-17,8.5138e-15,-5.9864e-17,-1.1961e-15,0,0,0,0,0.95447,2.4357,20.601,55.13,0.26858,0,0,1,0.0011572,0.02104,0.0011572,0
1.7767,6.2202e-06,0.0014138,1642.9,0,8.4529e-06,29111,18.377,0.0071578,5.0025e-12,-6.1151e-18,3.1711e-17,9.14e-15,-5.9677e-16,-1.0513e-15,0,0,0,0,0.94473,2.597,23.277,54.098,0.30316,0,0,1,0.0012624,0.02104,0.0012624,0
1.7644,6.3237e-06,0.0015128,1633.6,0,8.5592e-06,30863,17.53,0.0068278,4.4948e-12,-1.0472e-17,3.2719e-17,7.7723e-15,-9.5781e-16,-9.1848e-16,0,0,0,0,0.93087,2.7611,26.651,52.918,0.34217,0,0,1,0.0013676,0.02104,0.0013676,0
1.7508,6.4397e-06,0.0016141,1623.3,0,8.678e-06,32659,16.391,0.0063841,3.5897e-12,-1.3615e-17,3.1746e-17,5.6579e-15,-1.253e-15,-7.9013e-16,0,0,0,0,0.91547,2.9261,30.286,51.684,0.38284,0,0,1,0.0014728,0.02104,0.0014728,0
1.7367,6.5619e-06,0.0017165,1612.5,0,8.8024e-06,34412,15.122,0.00589,2.5559e-12,-1.6111e-17,3.1353e-17,3.3304e-15,-1.4361e-15,-6.6443e-16,0,0,0,0,0.8994,3.0914,34.001,50.424,0.42336,0,0,1,0.001578,0.02104,0.001578,0
1.72,6.7186e-06,0.001825,1599.3,0,8.9587e-06,35921,13.133,0.0051151,8.0571e-13,-1.5009e-17,3.4187e-17,-1.8308e-16,-9.9573e-16,-5.5343e-16,0,0,0,0,0.87964,3.2576,38.158,49.02,0.46306,0,0,1,0.0016832,0.02104,0.0016832,0
1.7031,6.8781e-06,0.001933,1585.9,0,9.1173e-06,37389,11.121,0.0043316,-8.5741e-13,-1.3682e-17,3.6213e-17,-3.4873e-15,-5.6141e-16,-4.4229e-16,0,0,0,0,0.85963,3.4222,42.306,47.606,0.50213,0,0,1,0.0017884,0.02104,0.0017884,0
1.6847,7.0654e-06,0.0020369,1570.8,0,9.2994e-06,38451,8.8946,0.0034644,-1.663e-12,-1.0146e-17,3.0278e-17,-4.7315e-15,-1.8673e-16,-3.2959e-16,0,0,0,0,0.83718,3.5705,46.367,46.093,0.53516,0,0,1,0.0018936,0.02104,0.0018936,0
1.6661,7.2626e-06,0.0021349,1555.3,0,9.4891e-06,39340,6.755,0.0026311,-1.8587e-12,-7.1659e-18,2.4773e-17,-5.5851e-15,1.811e-16,-2.2779e-16,0,0,0,0,0.81403,3.7055,50.217,44.554,0.56424,0,0,1,0.0019988,0.02104,0.0019988,0
1.6471,7.4744e-06,0.0022237,1539.1,0,9.6897e-06,39976,4.7681,0.0018572,-1.3722e-12,-4.6737e-18,1.9018e-17,-5.7974e-15,4.4078e-16,-1.4215e-16,0,0,0,0,0.7899,3.8197,53.727,42.979,0.58727,0,0,1,0.002104,0.02104,0.002104,0
1.6279,7.7019e-06,0.0022973,1522.3,0,9.9011e-06,40342,3.1104,0.0012115,-1.4266e-12,-9.5021e-19,1.1153e-17,-4.9563e-15,9.3302e-17,-7.6116e-17,0,0,0,0,0.76491,3.9034,56.668,41.379,0.60215,0,0,1,0.0022092,0.02104,0.0022092,0
1.6087,7.9441e-06,0.0023533,1505.2,0,1.0122e-05,40478,1.8473,0.00071951,-8.8353e-13,-2.2243e-19,2.8918e-17,-3.4358e-15,4.2803e-16,-2.8866e-17,0,0,0,0,0.73928,3.9534,58.941,39.767,0.60861,0,0,1,0.0023144,0.02104,0.0023144,0
1.5896,8.1991e-06,0.0023918,1487.6,0,1.0351e-05,40429,0.957,0.00037275,-1.4884e-12,1.2521e-18,5.9998e-17,-4.326e-15,5.1537e-16,2.5284e-17,0,0,0,0,0.71316,3.9719,60.558,38.154,0.60747,0,0,1,0.0024196,0.02104,0.0024196,0
1.5706,8.4693e-06,0.0024095,1469.8,0,1.0588e-05,40187,0.48975,0.00019075,-1.6701e-12,3.5711e-18,5.1256e-17,-1.0272e-16,1.0186e-15,6.0146e-17,0,0,0,0,0.68656,3.9537,61.379,36.549,0.59776,0,0,1,0.0025248,0.02104,0.0025248,0
1.5517,8.7544e-06,0.0024066,1451.7,0,1.0833e-05,39775,-1.6396,-0.0006386,2.9314e-12,1.2537e-18,4.8709e-17,-1.3425e-14,-2.0533e-15,3.4374e-17,0,0,0,0,0.65953,3.9009,61.416,34.958,0.57675,0,0,1,0.00263,0.02104,0.00263,0
1.5333,9.0528e-06,0.002381,1433.5,0,1.1085e-05,39207,-3.1618,-0.0012315,1.1736e-12,-3.0629e-17,-1.2843e-16,-1.5944e-15,-1.1875e-15,4.337e-15,0,0,0,0,0.63243,3.8119,60.614,33.462,0.55318,0,0,1,0.0027352,0.02104,0.0027352,0
1.5151,9.3671e-06,0.0023394,1415.1,0,1.1344e-05,38566,-4.2623,-0.0016602,3.6025e-13,-2.1021e-17,-8.3504e-17,2.3442e-15,-2.0333e-16,7.3949e-17,0,0,0,0,0.60497,3.6984,59.286,32,0.52205,0,0,1,0.0028404,0.02104,0.0028404,0
1.4971,9.6982e-06,0.0022824,1396.4,0,1.1611e-05,37861,-5.179,-0.0020172,3.8069e-13,-6.2467e-18,1.1156e-17,2.0177e-15,1.4398e-16,-1.0483e-15,0,0,0,0,0.57716,3.5622,57.468,30.577,0.48482,0,0,1,0.0029456,0.02104,0.0029456,0
1.4792,1.0048e-05,0.0022109,1377.6,0,1.1887e-05,37098,-5.9904,-0.0023332,3.3186e-13,6.1381e-19,6.1951e-17,6.496e-16,1.1934e-16,-1.4247e-17,0,0,0,0,0.54899,3.4053,55.198,29.194,0.44229,0,0,1,0.0030508,0.02104,0.0030508,0
1.4616,1.0417e-05,0.0021256,1358.4,0,1.2172e-05,36282,-6.704,-0.0026112,-4.7724e-15,9.7159e-19,6.2729e-17,5.7464e-17,1.4927e-16,-5.8506e-18,0,0,0,0,0.52044,3.23,52.522,27.857,0.39496,0,0,1,0.003156,0.02104,0.003156,0
1.4441,1.0807e-05,0.0020276,1339,0,1.2467e-05,35417,-7.3216,-0.0028517,3.3179e-13,1.9284e-18,7.5674e-17,2.131e-16,2.648e-16,3.3936e-17,0,0,0,0,0.49149,3.0386,49.486,26.566,0.34331,0,0,1,0.0032612,0.02104,0.0032612,0
1.4267,1.1224e-05,0.0019167,1319.2,0,1.2774e-05,34496,-7.8324,-0.0030507,9.0508e-14,1.399e-18,9.0361e-17,3.5962e-16,3.0846e-16,3.514e-17,0,0,0,0,0.46204,2.8322,46.107,25.331,0.2874,0,0,1,0.0033664,0.02104,0.0033664,0
1.4095,1.167e-05,0.0017951,1299.1,0,1.3093e-05,33522,-8.243,-0.0032106,1.2952e-13,7.6686e-19,8.9162e-17,1.8266e-16,1.5249e-16,6.3247e-17,0,0,0,0,0.43205,2.6149,42.472,24.155,0.2281,0,0,1,0.0034716,0.02104,0.0034716,0
1.3925,1.2147e-05,0.0016654,1278.7,0,1.3425e-05,32494,-8.5632,-0.0033353,-1.1559e-14,1.0412e-18,8.6581e-17,1.8282e-16,2.0621e-16,1.018e-16,0,0,0,0,0.40154,2.3908,38.659,23.034,0.16629,0,0,1,0.0035768,0.02104,0.0035768,0
1.3755,1.2655e-05,0.001529,1257.8,0,1.377e-05,31405,-8.7853,-0.0034218,2.2323e-15,1.0736e-18,7.8947e-17,1.7471e-16,2.7732e-16,1.3639e-16,0,0,0,0,0.37047,2.1624,34.725,21.97,0.10253,0,0,1,0.003682,0.02104,0.003682,0
1.3586,1.3199e-05,0.0013878,1236.6,0,1.413e-05,30247,-8.9065,-0.003469,1.6441e-13,4.7773e-19,6.9707e-17,1.9594e-16,2.4139e-16,1.7054e-16,0,0,0,0,0.33885,1.9329,30.73,20.967,0.037475,0,0,1,0.0037872,0.02104,0.0037872,0
1.3418,1.3781e-05,0.0012438,1215.1,0,1.4503e-05,29012,-8.9302,-0.0034783,1.7212e-13,-1.6546e-19,6.4682e-17,3.879e-16,1.5074e-16,2.1868e-16,0,0,0,0,0.30671,1.7056,26.743,20.029,-0.0282,0,0,1,0.0038924,0.02104,0.0038924,0
1.3252,1.4404e-05,0.0010994,1193.2,0,1.4891e-05,27685,-8.8573,-0.0034499,1.8346e-13,-5.2782e-19,4.6366e-17,1.8087e-16,1.1417e-16,2.7859e-16,0,0,0,0,0.27412,1.4842,22.837,19.16,-0.09375,0,0,1,0.0039976,0.02104,0.0039976,0
1.309,1.5072e-05,0.00095832,1171.2,0,1.5292e-05,26233,-8.6937,-0.0033861,5.489e-14,-5.771e-19,2.6749e-17,-2.9513e-18,1.0702e-16,3.0014e-16,0,0,0,0,0.24131,1.2751,19.138,18.372,-0.15812,0,0,1,0.0041028,0.02104,0.0041028,0
1.2933,1.5774e-05,0.00082309,1149.3,0,1.5701e-05,24662,-8.4589,-0.0032947,-1.7255e-13,-8.001e-19,6.8031e-18,-1.3848e-16,7.4227e-17,3.3692e-16,0,0,0,0,0.20865,1.0799,15.697,17.653,-0.22067,0,0,1,0.004208,0.02104,0.004208,0
1.2781,1.6501e-05,0.00069577,1127.8,0,1.6112e-05,22981,-8.1391,-0.0031701,-1.7221e-13,-4.2847e-19,-1.365e-17,-1.9656e-16,9.6781e-17,2.6577e-16,0,0,0,0,0.17659,0.9011,12.575,16.999,-0.28063,0,0,1,0.0043132,0.02104,0.0043132,0
1.2639,1.7239e-05,0.00057793,1107.1,0,1.6517e-05,21251,-7.0672,-0.0027526,-1.5131e-13,5.1769e-19,-2.7447e-17,-9.756e-17,5.9868e-17,1.4963e-16,0,0,0,0,0.14569,0.74009,9.8306,16.406,-0.33344,0,0,1,0.0044184,0.02104,0.0044184,0
1.2504,1.7984e-05,0.00046759,1087.1,0,1.6914e-05,19444,-2.9084,-0.0011328,-9.403e-14,1.6072e-18,-5.6121e-17,-1.2082e-16,1.9488e-16,8.4054e-17,0,0,0,0,0.11593,0.59327,7.3972,15.846,-0.3915,0,0,1,0.0045236,0.02104,0.0045236,0
1.2379,1.8731e-05,0.00036519,1068.2,0,1.73e-05,17104,-3.5504,-0.0013828,1.2302e-13,1.4842e-18,-6.6811e-17,3.1799e-17,6.6187e-17,8.0921e-17,0,0,0,0,0.08773,0.46178,5.2432,15.296,-0.44206,0,0,1,0.0046288,0.02104,0.0046288,0
1.2271,1.9414e-05,0.00027803,1051.7,0,1.7644e-05,14410,-4.0743,-0.0015869,7.4599e-14,-6.0204e-18,2.2851e-17,3.5323e-17,6.7365e-17,6.1327e-17,0,0,0,0,0.063064,0.35285,3.5284,14.812,-0.48798,0,0,1,0.004734,0.02104,0.004734,0
1.2185,1.9991e-05,0.00020692,1038.2,0,1.7929e-05,11568,-4.4319,-0.0017262,7.0266e-14,6.2075e-19,-8.993e-17,1.7974e-17,5.9572e-17,9.7488e-17,0,0,0,0,0.042943,0.26609,2.2549,14.389,-0.52848,0,0,1,0.0048392,0.02104,0.0048392,0
1.212,2.0439e-05,0.00015165,1028,0,1.8147e-05,8874.5,-4.6428,-0.0018083,3.4336e-14,9.4847e-19,-8.4008e-17,6.3767e-18,1.154e-16,1.0563e-16,0,0,0,0,0.027745,0.20001,1.3728,14.019,-0.56326,0,0,1,0.0049444,0.02104,0.0049444,0
1.2075,2.0762e-05,0.0001105,1020.8,0,1.8301e-05,6591.3,-4.7401,-0.0018462,2.3512e-14,5.6306e-19,-7.1463e-17,2.5604e-18,1.1115e-16,9.8542e-17,0,0,0,0,0.017037,0.15165,0.79944,13.695,-0.59261,0,0,1,0.0050496,0.02104,0.0050496,0
1.2045,2.0984e-05,8.0254e-05,1016,0,1.8407e-05,4795,-4.7612,-0.0018545,1.2543e-14,9.4262e-19,-5.5909e-17,1.0512e-18,1.3077e-16,1.2459e-16,0,0,0,0,0.0098182,0.11662,0.44142,13.408,-0.61724,0,0,1,0.0051548,0.02104,0.0051548,0
1.2026,2.1127e-05,5.8453e-05,1012.9,0,1.8474e-05,3429,-4.7339,-0.0018438,6.7625e-15,8.9831e-19,-3.9664e-17,1.1916e-18,1.3041e-16,1.0251e-16,0,0,0,0,0.0052151,0.091655,0.23024,13.153,-0.63784,0,0,1,0.00526,0.02104,0.00526,0
