"Density","Diffusivity_0","Eddy_Viscosity","Heat_Capacity","Heat_Flux","Laminar_Viscosity","Omega","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_Species_0","Residual_TKE","Residual_Velocity:0","Residual_Velocity:1","Residual_Velocity:2","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Species_0","Thermal_Conductivity","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.3159,1.4762e-05,0.0061727,1180.8,0,1.5113e-05,3125.2,2.3487,0.00091481,1.0605e-14,-1.4647e-17,1.3877e-15,-2.7552e-16,-5.9314e-16,-1.4407e-15,0,0,0,0,0.25558,8.1215,14.657,21.667,0.012124,0,0,1,0,0.1578,0,0
1.3158,1.4765e-05,0.0061734,1180.7,0,1.5115e-05,3124.7,2.1585,0.00084072,5.6285e-15,-1.1711e-17,1.1287e-15,3.0924e-17,-5.6637e-16,-1.2544e-15,0,0,0,0,0.25542,8.1215,14.658,21.65,0.015852,0,0,1,0.0001052,0.1578,0.0001052,0
1.3157,1.4769e-05,0.006174,1180.6,0,1.5117e-05,3124.2,1.9682,0.00076662,6.5231e-16,-8.7743e-18,8.6969e-16,3.3737e-16,-5.396e-16,-1.068e-15,0,0,0,0,0.25525,8.1216,14.658,21.633,0.019579,0,0,1,0.0002104,0.1578,0.0002104,0
1.3156,1.4772e-05,0.0061746,1180.5,0,1.5119e-05,3123.7,1.778,0.00069252,-4.3239e-15,-5.8379e-18,6.107e-16,6.4382e-16,-5.1282e-16,-8.8171e-16,0,0,0,0,0.25508,8.1217,14.658,21.617,0.023307,0,0,1,0.0003156,0.1578,0.0003156,0
1.3156,1.4775e-05,0.0061753,1180.3,0,1.5121e-05,3123.3,1.5877,0.00061842,-9.3001e-15,-2.9014e-18,3.517e-16,9.5026e-16,-4.8605e-16,-6.9536e-16,0,0,0,0,0.25492,8.1217,14.658,21.6,0.027035,0,0,1,0.0004208,0.1578,0.0004208,0
1.3155,1.4779e-05,0.0061759,1180.2,0,1.5123e-05,3122.8,1.3975,0.00054432,-1.4276e-14,3.5115e-20,9.2709e-17,1.2567e-15,-4.5927e-16,-5.0902e-16,0,0,0,0,0.25475,8.1218,14.658,21.583,0.030762,0,0,1,0.000526,0.1578,0.000526,0
1.3153,1.4784e-05,0.0061771,1180.1,0,1.5126e-05,3123.9,1.3507,0.00052607,-1.188e-14,-6.0583e-19,1.2517e-16,2.2619e-16,-2.9942e-16,-3.904e-16,0,0,0,0,0.25449,8.1222,14.668,21.557,0.03468,0,0,1,0.0006312,0.1578,0.0006312,0
1.3152,1.4789e-05,0.0061784,1179.9,0,1.5129e-05,3125.2,1.3082,0.00050954,-9.2579e-15,-1.3562e-18,1.6655e-16,-8.4525e-16,-1.355e-16,-2.7385e-16,0,0,0,0,0.25422,8.1226,14.678,21.531,0.038603,0,0,1,0.0007364,0.1578,0.0007364,0
1.3151,1.4795e-05,0.0061796,1179.7,0,1.5132e-05,3126.4,1.2657,0.000493,-6.6362e-15,-2.1066e-18,2.0794e-16,-1.9167e-15,2.8423e-17,-1.5729e-16,0,0,0,0,0.25396,8.123,14.688,21.505,0.042527,0,0,1,0.0008416,0.1578,0.0008416,0
1.3149,1.48e-05,0.0061809,1179.5,0,1.5136e-05,3127.6,1.2233,0.00047646,-4.0144e-15,-2.857e-18,2.4932e-16,-2.9881e-15,1.9234e-16,-4.0742e-17,0,0,0,0,0.25369,8.1234,14.699,21.479,0.04645,0,0,1,0.0009468,0.1578,0.0009468,0
1.3148,1.4808e-05,0.0061823,1179.3,0,1.514e-05,3129.3,1.1473,0.00044685,-3.7077e-16,-1.742e-18,2.6168e-16,-1.8887e-15,1.8646e-16,-1.5492e-17,0,0,0,0,0.25333,8.1236,14.712,21.443,0.050588,0,0,1,0.001052,0.1578,0.001052,0
1.3146,1.4815e-05,0.0061837,1179,0,1.5145e-05,3131.1,1.0694,0.00041651,3.3307e-15,-5.2164e-19,2.724e-16,-6.6667e-16,1.7099e-16,4.6022e-18,0,0,0,0,0.25296,8.1238,14.726,21.407,0.054737,0,0,1,0.0011572,0.1578,0.0011572,0
1.3144,1.4823e-05,0.0061851,1178.8,0,1.5149e-05,3132.9,0.99145,0.00038616,7.0322e-15,6.9872e-19,2.8313e-16,5.5533e-16,1.5553e-16,2.4697e-17,0,0,0,0,0.25259,8.124,14.74,21.371,0.058887,0,0,1,0.0012624,0.1578,0.0012624,0
1.3142,1.4831e-05,0.0061865,1178.5,0,1.5154e-05,3134.8,0.90556,0.00035271,-2.7048e-14,6.5521e-19,2.7638e-16,1.1405e-15,3.4071e-16,1.5865e-17,0,0,0,0,0.25216,8.1238,14.755,21.33,0.063021,0,0,1,0.0013676,0.1578,0.0013676,0
1.314,1.484e-05,0.0061878,1178.2,0,1.516e-05,3136.8,0.81667,0.00031809,-7.5275e-14,1.3844e-19,2.631e-16,1.4872e-15,6.0103e-16,-3.7978e-18,0,0,0,0,0.25171,8.1234,14.77,21.286,0.067149,0,0,1,0.0014728,0.1578,0.0014728,0
1.3137,1.485e-05,0.006189,1177.9,0,1.5165e-05,3138.8,0.72772,0.00028344,-1.1252e-13,-2.5254e-19,2.5429e-16,1.3229e-15,4.8104e-16,-1.8953e-17,0,0,0,0,0.25125,8.1229,14.785,21.241,0.071263,0,0,1,0.001578,0.1578,0.001578,0
