"x","y","mut"
 7.500000000E-01, 5.010262504E-02, 2.907434225E+00
 7.500000000E-01, 5.010477081E-02, 3.013810396E+00
 7.500000000E-01, 5.010696501E-02, 3.122876644E+00
 7.500000000E-01, 5.010920018E-02, 3.234665632E+00
 7.500000000E-01, 5.011148006E-02, 3.349209070E+00
 7.500000000E-01, 5.011380464E-02, 3.466536283E+00
 7.500000000E-01, 5.011617392E-02, 3.586678982E+00
 7.500000000E-01, 5.011859536E-02, 3.709666729E+00
 7.500000000E-01, 5.012106150E-02, 3.835530043E+00
 7.500000000E-01, 5.012357607E-02, 3.964297533E+00
 7.500000000E-01, 5.012614280E-02, 4.095997810E+00
 7.500000000E-01, 5.012876168E-02, 4.230659485E+00
 7.500000000E-01, 5.013142899E-02, 4.368309975E+00
 7.500000000E-01, 5.013415590E-02, 4.508975983E+00
 7.500000000E-01, 5.013693124E-02, 4.652683735E+00
 7.500000000E-01, 5.013976619E-02, 4.799458981E+00
 7.500000000E-01, 5.014265701E-02, 4.949327469E+00
 7.500000000E-01, 5.014560372E-02, 5.102312088E+00
 7.500000000E-01, 5.014861375E-02, 5.258438110E+00
 7.500000000E-01, 5.015167966E-02, 5.417726994E+00
 7.500000000E-01, 5.015481263E-02, 5.580201626E+00
 7.500000000E-01, 5.015800521E-02, 5.745884418E+00
 7.500000000E-01, 5.016126111E-02, 5.914788723E+00
 7.500000000E-01, 5.016458407E-02, 6.086941242E+00
 7.500000000E-01, 5.016797408E-02, 6.262361050E+00
 7.500000000E-01, 5.017143115E-02, 6.441057205E+00
 7.500000000E-01, 5.017495900E-02, 6.623054504E+00
 7.500000000E-01, 5.017855763E-02, 6.808366299E+00
 7.500000000E-01, 5.018223077E-02, 6.997006893E+00
 7.500000000E-01, 5.018597469E-02, 7.188991070E+00
 7.500000000E-01, 5.018979684E-02, 7.384333611E+00
 7.500000000E-01, 5.019369721E-02, 7.583048820E+00
 7.500000000E-01, 5.019767210E-02, 7.785151005E+00
 7.500000000E-01, 5.020173267E-02, 7.990651131E+00
 7.500000000E-01, 5.020587146E-02, 8.199561119E+00
 7.500000000E-01, 5.021009594E-02, 8.411893845E+00
 7.500000000E-01, 5.021440238E-02, 8.627648354E+00
 7.500000000E-01, 5.021880195E-02, 8.846831322E+00
 7.500000000E-01, 5.022328719E-02, 9.069461823E+00
 7.500000000E-01, 5.022786185E-02, 9.295538902E+00
 7.500000000E-01, 5.023252964E-02, 9.525071144E+00
 7.500000000E-01, 5.023729429E-02, 9.758058548E+00
 7.500000000E-01, 5.024215579E-02, 9.994503021E+00
 7.500000000E-01, 5.024711415E-02, 1.023440361E+01
 7.500000000E-01, 5.025217310E-02, 1.047776031E+01
 7.500000000E-01, 5.025733262E-02, 1.072457218E+01
 7.500000000E-01, 5.026260018E-02, 1.097483921E+01
 7.500000000E-01, 5.026797205E-02, 1.122855568E+01
 7.500000000E-01, 5.027345568E-02, 1.148571968E+01
 7.500000000E-01, 5.027904734E-02, 1.174632549E+01
 7.500000000E-01, 5.028475448E-02, 1.201034260E+01
 7.500000000E-01, 5.029057711E-02, 1.227777958E+01
 7.500000000E-01, 5.029651895E-02, 1.254861450E+01
 7.500000000E-01, 5.030258000E-02, 1.282283783E+01
 7.500000000E-01, 5.030876398E-02, 1.310044479E+01
 7.500000000E-01, 5.031507462E-02, 1.338139915E+01
 7.500000000E-01, 5.032151192E-02, 1.366571045E+01
 7.500000000E-01, 5.032807961E-02, 1.395335579E+01
 7.500000000E-01, 5.033478141E-02, 1.424431801E+01
 7.500000000E-01, 5.034162104E-02, 1.453857899E+01
 7.500000000E-01, 5.034859851E-02, 1.483611965E+01
 7.500000000E-01, 5.035571754E-02, 1.513691998E+01
 7.500000000E-01, 5.036298186E-02, 1.544096088E+01
 7.500000000E-01, 5.037039518E-02, 1.574822044E+01
 7.500000000E-01, 5.037795752E-02, 1.605867577E+01
 7.500000000E-01, 5.038567260E-02, 1.637230301E+01
 7.500000000E-01, 5.039354786E-02, 1.668907928E+01
 7.500000000E-01, 5.040157959E-02, 1.700898933E+01
 7.500000000E-01, 5.040977523E-02, 1.733197212E+01
 7.500000000E-01, 5.041813850E-02, 1.765802193E+01
 7.500000000E-01, 5.042667314E-02, 1.798713875E+01
 7.500000000E-01, 5.043537915E-02, 1.831925392E+01
 7.500000000E-01, 5.044426396E-02, 1.865435219E+01
 7.500000000E-01, 5.045332760E-02, 1.899239922E+01
 7.500000000E-01, 5.046257749E-02, 1.933336830E+01
 7.500000000E-01, 5.047201365E-02, 1.967722321E+01
 7.500000000E-01, 5.048164353E-02, 2.002393723E+01
 7.500000000E-01, 5.049146712E-02, 2.037347412E+01
 7.500000000E-01, 5.050149187E-02, 2.072580528E+01
 7.500000000E-01, 5.051172152E-02, 2.108089447E+01
 7.500000000E-01, 5.052215979E-02, 2.143871498E+01
 7.500000000E-01, 5.053281039E-02, 2.179923248E+01
 7.500000000E-01, 5.054367334E-02, 2.216242027E+01
 7.500000000E-01, 5.055476353E-02, 2.252824593E+01
 7.500000000E-01, 5.056607723E-02, 2.289668465E+01
 7.500000000E-01, 5.057761818E-02, 2.326772118E+01
 7.500000000E-01, 5.058939755E-02, 2.364130020E+01
 7.500000000E-01, 5.060141534E-02, 2.401739311E+01
 7.500000000E-01, 5.061367899E-02, 2.439602089E+01
 7.500000000E-01, 5.062619224E-02, 2.477715874E+01
 7.500000000E-01, 5.063895881E-02, 2.516073990E+01
 7.500000000E-01, 5.065198615E-02, 2.554678345E+01
 7.500000000E-01, 5.066527799E-02, 2.593531799E+01
 7.500000000E-01, 5.067883804E-02, 2.632628250E+01
 7.500000000E-01, 5.069267750E-02, 2.671967506E+01
 7.500000000E-01, 5.070680007E-02, 2.711556053E+01
 7.500000000E-01, 5.072120577E-02, 2.751388359E+01
 7.500000000E-01, 5.073590949E-02, 2.791467285E+01
 7.500000000E-01, 5.075091124E-02, 2.831795692E+01
 7.500000000E-01, 5.076621473E-02, 2.872374916E+01
 7.500000000E-01, 5.078183487E-02, 2.913209724E+01
 7.500000000E-01, 5.079777166E-02, 2.954304123E+01
 7.500000000E-01, 5.081402883E-02, 2.995662117E+01
 7.500000000E-01, 5.083062127E-02, 3.037290001E+01
 7.500000000E-01, 5.084755272E-02, 3.079195595E+01
 7.500000000E-01, 5.086482689E-02, 3.121385956E+01
 7.500000000E-01, 5.088245124E-02, 3.163871574E+01
 7.500000000E-01, 5.090043694E-02, 3.206662369E+01
 7.500000000E-01, 5.091878772E-02, 3.249771500E+01
 7.500000000E-01, 5.093751475E-02, 3.293211746E+01
 7.500000000E-01, 5.095662177E-02, 3.336999893E+01
 7.500000000E-01, 5.097611621E-02, 3.381152344E+01
 7.500000000E-01, 5.099600926E-02, 3.425688553E+01
 7.500000000E-01, 5.101630464E-02, 3.470631027E+01
 7.500000000E-01, 5.103701726E-02, 3.516002655E+01
 7.500000000E-01, 5.105815083E-02, 3.561831284E+01
 7.500000000E-01, 5.107971281E-02, 3.608144760E+01
 7.500000000E-01, 5.110171810E-02, 3.654975891E+01
 7.500000000E-01, 5.112416670E-02, 3.702357864E+01
 7.500000000E-01, 5.114707351E-02, 3.750329971E+01
 7.500000000E-01, 5.117044970E-02, 3.798934555E+01
 7.500000000E-01, 5.119429901E-02, 3.848214340E+01
