"x","y","mut"
  0.7500000,      5.0053589E-02,  0.4109184
  0.7500000,      5.0054789E-02,  0.4452796
  0.7500000,      5.0056010E-02,  0.4821306
  0.7500000,      5.0057255E-02,  0.5216130
  0.7500000,      5.0058521E-02,  0.5638717
  0.7500000,      5.0059810E-02,  0.6090550
  0.7500000,      5.0061129E-02,  0.6573140
  0.7500000,      5.0062470E-02,  0.7088018
  0.7500000,      5.0063834E-02,  0.7636731
  0.7500000,      5.0065234E-02,  0.8220832
  0.7500000,      5.0066650E-02,  0.8841878
  0.7500000,      5.0068095E-02,  0.9501413
  0.7500000,      5.0069571E-02,   1.020097
  0.7500000,      5.0071076E-02,   1.094205
  0.7500000,      5.0072595E-02,   1.172613
  0.7500000,      5.0074160E-02,   1.255462
  0.7500000,      5.0075755E-02,   1.342890
  0.7500000,      5.0077379E-02,   1.435027
  0.7500000,      5.0079025E-02,   1.531996
  0.7500000,      5.0080717E-02,   1.633911
  0.7500000,      5.0082430E-02,   1.740877
  0.7500000,      5.0084181E-02,   1.852989
  0.7500000,      5.0085962E-02,   1.970330
  0.7500000,      5.0087787E-02,   2.092973
  0.7500000,      5.0089642E-02,   2.220976
  0.7500000,      5.0091535E-02,   2.354387
  0.7500000,      5.0093465E-02,   2.493239
  0.7500000,      5.0095439E-02,   2.637553
  0.7500000,      5.0097436E-02,   2.787335
  0.7500000,      5.0099492E-02,   2.942579
  0.7500000,      5.0101578E-02,   3.103264
  0.7500000,      5.0103702E-02,   3.269359
  0.7500000,      5.0105870E-02,   3.440817
  0.7500000,      5.0108090E-02,   3.617584
  0.7500000,      5.0110340E-02,   3.799590
  0.7500000,      5.0112650E-02,   3.986759
  0.7500000,      5.0114989E-02,   4.179004
  0.7500000,      5.0117388E-02,   4.376229
  0.7500000,      5.0119832E-02,   4.578335
  0.7500000,      5.0122321E-02,   4.785213
  0.7500000,      5.0124869E-02,   4.996752
  0.7500000,      5.0127462E-02,   5.212835
  0.7500000,      5.0130099E-02,   5.433347
  0.7500000,      5.0132796E-02,   5.658168
  0.7500000,      5.0135553E-02,   5.887180
  0.7500000,      5.0138354E-02,   6.120267
  0.7500000,      5.0141215E-02,   6.357312
  0.7500000,      5.0144136E-02,   6.598206
  0.7500000,      5.0147116E-02,   6.842838
  0.7500000,      5.0150156E-02,   7.091108
  0.7500000,      5.0153255E-02,   7.342916
  0.7500000,      5.0156415E-02,   7.598173
  0.7500000,      5.0159633E-02,   7.856791
  0.7500000,      5.0162926E-02,   8.118692
  0.7500000,      5.0166279E-02,   8.383806
  0.7500000,      5.0169706E-02,   8.652069
  0.7500000,      5.0173201E-02,   8.923423
  0.7500000,      5.0176762E-02,   9.197819
  0.7500000,      5.0180398E-02,   9.475216
  0.7500000,      5.0184108E-02,   9.755579
  0.7500000,      5.0187893E-02,   10.03888
  0.7500000,      5.0191753E-02,   10.32510
  0.7500000,      5.0195694E-02,   10.61423
  0.7500000,      5.0199702E-02,   10.90626
  0.7500000,      5.0203808E-02,   11.20118
  0.7500000,      5.0207987E-02,   11.49901
  0.7500000,      5.0212249E-02,   11.79975
  0.7500000,      5.0216608E-02,   12.10342
  0.7500000,      5.0221048E-02,   12.41004
  0.7500000,      5.0225578E-02,   12.71964
  0.7500000,      5.0230205E-02,   13.03224
  0.7500000,      5.0234914E-02,   13.34787
  0.7500000,      5.0239727E-02,   13.66658
  0.7500000,      5.0244637E-02,   13.98840
  0.7500000,      5.0249651E-02,   14.31337
  0.7500000,      5.0254762E-02,   14.64153
  0.7500000,      5.0259970E-02,   14.97293
  0.7500000,      5.0265290E-02,   15.30763
