"x","y","mut"
  0.7500000,      5.0153255E-02,   5.488386    
  0.7500000,      5.0156415E-02,   5.652232    
  0.7500000,      5.0159633E-02,   5.819291    
  0.7500000,      5.0162926E-02,   5.989583    
  0.7500000,      5.0166279E-02,   6.163127    
  0.7500000,      5.0169706E-02,   6.339942    
  0.7500000,      5.0173201E-02,   6.520047    
  0.7500000,      5.0176762E-02,   6.703457    
  0.7500000,      5.0180398E-02,   6.890189    
  0.7500000,      5.0184108E-02,   7.080258    
  0.7500000,      5.0187893E-02,   7.273679    
  0.7500000,      5.0191753E-02,   7.470465    
  0.7500000,      5.0195694E-02,   7.670629    
  0.7500000,      5.0199702E-02,   7.874182    
  0.7500000,      5.0203808E-02,   8.081135    
  0.7500000,      5.0207987E-02,   8.291496    
  0.7500000,      5.0212249E-02,   8.505278    
  0.7500000,      5.0216608E-02,   8.722485    
  0.7500000,      5.0221048E-02,   8.943125    
  0.7500000,      5.0225578E-02,   9.167203    
  0.7500000,      5.0230205E-02,   9.394725    
  0.7500000,      5.0234914E-02,   9.625692    
  0.7500000,      5.0239727E-02,   9.860111    
  0.7500000,      5.0244637E-02,   10.09798    
  0.7500000,      5.0249651E-02,   10.33930    
  0.7500000,      5.0254762E-02,   10.58407    
  0.7500000,      5.0259970E-02,   10.83229    
  0.7500000,      5.0265290E-02,   11.08395    
  0.7500000,      5.0270721E-02,   11.33905    
  0.7500000,      5.0276250E-02,   11.59760    
  0.7500000,      5.0281905E-02,   11.85957    
  0.7500000,      5.0287671E-02,   12.12496    
  0.7500000,      5.0293550E-02,   12.39376    
  0.7500000,      5.0299555E-02,   12.66597    
  0.7500000,      5.0305679E-02,   12.94156    
  0.7500000,      5.0311923E-02,   13.22054    
  0.7500000,      5.0318301E-02,   13.50288    
  0.7500000,      5.0324798E-02,   13.78857    
  0.7500000,      5.0331436E-02,   14.07760    
  0.7500000,      5.0338209E-02,   14.36995    
  0.7500000,      5.0345115E-02,   14.66559    
  0.7500000,      5.0352164E-02,   14.96452    
  0.7500000,      5.0359353E-02,   15.26670    
  0.7500000,      5.0366692E-02,   15.57213    
  0.7500000,      5.0374180E-02,   15.88077    
