"x","cf"
 2.358054966E-01, 3.359235125E-03
 2.381622493E-01, 3.350290004E-03
 2.405316383E-01, 3.341275034E-03
 2.429136485E-01, 3.332186025E-03
 2.453083098E-01, 3.323018318E-03
 2.477156222E-01, 3.313766792E-03
 2.501356006E-01, 3.304426325E-03
 2.525682449E-01, 3.294990864E-03
 2.550135255E-01, 3.285454819E-03
 2.574715018E-01, 3.275811672E-03
 2.599421442E-01, 3.266054438E-03
 2.624254823E-01, 3.256175900E-03
 2.649214864E-01, 3.246168140E-03
 2.674301565E-01, 3.236022545E-03
 2.699515224E-01, 3.225729801E-03
 2.724855542E-01, 3.215280129E-03
 2.750322521E-01, 3.204662353E-03
 2.775916159E-01, 3.193864832E-03
 2.801636457E-01, 3.182874061E-03
 2.827483416E-01, 3.171675606E-03
 2.853456736E-01, 3.160253167E-03
 2.879556417E-01, 3.148588352E-03
 2.905782461E-01, 3.136660205E-03
 2.932134569E-01, 3.124443581E-03
 2.958613038E-01, 3.111908678E-03
 2.985217273E-01, 3.099018708E-03
 3.011947274E-01, 3.085729433E-03
 3.038803041E-01, 3.072001506E-03
 3.065784574E-01, 3.057819093E-03
 3.092890978E-01, 3.043180797E-03
 3.120122850E-01, 3.028091276E-03
 3.147479594E-01, 3.012557514E-03
 3.174961209E-01, 2.996590687E-03
 3.202567399E-01, 2.980204299E-03
 3.230297565E-01, 2.963415347E-03
 3.258152306E-01, 2.946244087E-03
 3.286130428E-01, 2.928711707E-03
 3.314232230E-01, 2.910846379E-03
 3.342457414E-01, 2.892700024E-03
 3.370805681E-01, 2.874302678E-03
 3.399276435E-01, 2.855654107E-03
 3.427869678E-01, 2.836793661E-03
 3.456584811E-01, 2.817751141E-03
 3.485421836E-01, 2.798605245E-03
 3.514380157E-01, 2.779456088E-03
 3.543459177E-01, 2.760267584E-03
 3.572659194E-01, 2.741008298E-03
 3.601979017E-01, 2.721813973E-03
 3.631418645E-01, 2.702847123E-03
 3.660977483E-01, 2.684042091E-03
 3.690654933E-01, 2.665297361E-03
 3.720450699E-01, 2.646909095E-03
 3.750364482E-01, 2.628998365E-03
 3.780395389E-01, 2.611237112E-03
 3.810542822E-01, 2.593959216E-03
 3.840806186E-01, 2.577344887E-03
 3.871185184E-01, 2.561059548E-03
 3.901678622E-01, 2.545491327E-03
 3.932286203E-01, 2.530514030E-03
 3.963007331E-01, 2.516207285E-03
 3.993840814E-01, 2.502880758E-03
 4.024785757E-01, 2.490187995E-03
 4.055841863E-01, 2.478403971E-03
 4.087007940E-01, 2.467560815E-03
 4.118283093E-01, 2.457666676E-03
 4.149666429E-01, 2.448844025E-03
 4.181156456E-01, 2.441055607E-03
 4.212752879E-01, 2.434448805E-03
 4.244453907E-01, 2.428959822E-03
 4.276258647E-01, 2.424753038E-03
 4.308166206E-01, 2.421748592E-03
 4.340174794E-01, 2.420088043E-03
 4.372283220E-01, 2.419829834E-03
 4.404490292E-01, 2.420847304E-03
 4.436794519E-01, 2.423552563E-03
 4.469194710E-01, 2.427483676E-03
 4.501688778E-01, 2.432977082E-03
 4.534275532E-01, 2.440158045E-03
 4.566953778E-01, 2.448653802E-03
 4.599721134E-01, 2.459130716E-03
 4.632576406E-01, 2.471002983E-03
 4.665518105E-01, 2.484392142E-03
 4.698544145E-01, 2.500022762E-03
 4.731652737E-01, 2.516998677E-03
 4.764842689E-01, 2.535537118E-03
 4.798111618E-01, 2.556374064E-03
 4.831458032E-01, 2.578838961E-03
 4.864880145E-01, 2.602724126E-03
 4.898376465E-01, 2.628787188E-03
 4.931944907E-01, 2.657001838E-03
 4.965583980E-01, 2.686645137E-03
 4.999292195E-01, 2.718016971E-03
 5.033067465E-01, 2.751717810E-03
 5.066908002E-01, 2.787411446E-03
 5.100812912E-01, 2.824680414E-03
 5.134780407E-01, 2.863669302E-03
 5.168808699E-01, 2.904904773E-03
 5.202897191E-01, 2.948382869E-03
 5.237043500E-01, 2.993473317E-03
 5.271247625E-01, 3.040265525E-03
 5.305507779E-01, 3.088983940E-03
 5.339823365E-01, 3.139837645E-03
 5.374191999E-01, 3.192845033E-03
 5.408614874E-01, 3.247489687E-03
 5.443089604E-01, 3.303845413E-03
 5.477616787E-01, 3.362087999E-03
 5.512195230E-01, 3.422129666E-03
 5.546824932E-01, 3.484142711E-03
 5.581504703E-01, 3.548075678E-03
 5.616235137E-01, 3.613583045E-03
 5.651015639E-01, 3.680698574E-03
 5.685847402E-01, 3.749502823E-03
 5.720728636E-01, 3.819910344E-03
 5.755661130E-01, 3.891875036E-03
 5.790644884E-01, 3.965356387E-03
 5.825679898E-01, 4.040331580E-03
 5.860767365E-01, 4.116673954E-03
 5.895906687E-01, 4.194236826E-03
 5.931099653E-01, 4.272976425E-03
 5.966346264E-01, 4.352830350E-03
 6.001648307E-01, 4.433686379E-03
 6.037005186E-01, 4.515433684E-03
 6.072419286E-01, 4.597955383E-03
 6.107890606E-01, 4.681122955E-03
 6.143419743E-01, 4.764798097E-03
 6.179008484E-01, 4.848832265E-03
 6.214657426E-01, 4.933062475E-03
 6.250367761E-01, 5.017321091E-03
 6.286140084E-01, 5.101425573E-03
 6.321974993E-01, 5.185177550E-03
 6.357874274E-01, 5.268374924E-03
 6.393837333E-01, 5.350802559E-03
 6.429865360E-01, 5.432226229E-03
 6.465959549E-01, 5.512407515E-03
 6.502119303E-01, 5.591100082E-03
 6.538345814E-01, 5.668037105E-03
 6.574639082E-01, 5.742943380E-03
 6.610997915E-01, 5.815544631E-03
 6.647424102E-01, 5.885554478E-03
 6.683915854E-01, 5.952675361E-03
 6.720473170E-01, 6.016610656E-03
 6.757094860E-01, 6.077055819E-03
 6.793780923E-01, 6.133713759E-03
 6.830529571E-01, 6.186296232E-03
 6.867339015E-01, 6.234524306E-03
 6.904208660E-01, 6.278137211E-03
 6.941135526E-01, 6.316878367E-03
 6.978118420E-01, 6.349891890E-03
