 "x","cp"
 2.358054966E-01, 5.967460945E-02
 2.381622493E-01, 6.032862142E-02
 2.405316383E-01, 6.099935994E-02
 2.429136485E-01, 6.168748438E-02
 2.453083098E-01, 6.239361316E-02
 2.477156222E-01, 6.311847270E-02
 2.501356006E-01, 6.386274844E-02
 2.525682449E-01, 6.462725997E-02
 2.550135255E-01, 6.541278213E-02
 2.574715018E-01, 6.622020900E-02
 2.599421442E-01, 6.705044955E-02
 2.624254823E-01, 6.790447235E-02
 2.649214864E-01, 6.878335774E-02
 2.674301565E-01, 6.968817115E-02
 2.699515224E-01, 7.062016428E-02
 2.724855542E-01, 7.158058137E-02
 2.750322521E-01, 7.257086784E-02
 2.775916159E-01, 7.359246910E-02
 2.801636457E-01, 7.464706153E-02
 2.827483416E-01, 7.573638856E-02
 2.853456736E-01, 7.686239481E-02
 2.879556417E-01, 7.802721113E-02
 2.905782461E-01, 7.923315465E-02
 2.932134569E-01, 8.048296720E-02
 2.958613038E-01, 8.177970350E-02
 2.985217273E-01, 8.312714845E-02
 3.011947274E-01, 8.452953398E-02
 3.038803041E-01, 8.599141240E-02
 3.065784574E-01, 8.751697838E-02
 3.092890978E-01, 8.910959214E-02
 3.120122850E-01, 9.077188373E-02
 3.147479594E-01, 9.250573814E-02
 3.174961209E-01, 9.431260079E-02
 3.202567399E-01, 9.619326144E-02
 3.230297565E-01, 9.814819694E-02
 3.258152306E-01, 1.001772135E-01
 3.286130428E-01, 1.022795588E-01
 3.314232230E-01, 1.044538692E-01
 3.342457414E-01, 1.066979542E-01
 3.370805681E-01, 1.090082973E-01
 3.399276435E-01, 1.113831773E-01
 3.427869678E-01, 1.138207614E-01
 3.456584811E-01, 1.163166016E-01
 3.485421836E-01, 1.188690066E-01
 3.514380157E-01, 1.214692667E-01
 3.543459177E-01, 1.241121739E-01
 3.572659194E-01, 1.267970800E-01
 3.601979017E-01, 1.295214742E-01
 3.631418645E-01, 1.322737783E-01
 3.660977483E-01, 1.350434572E-01
 3.690654933E-01, 1.378329694E-01
 3.720450699E-01, 1.406436265E-01
 3.750364482E-01, 1.434452981E-01
 3.780395389E-01, 1.462401897E-01
 3.810542822E-01, 1.490457207E-01
 3.840806186E-01, 1.518123746E-01
 3.871185184E-01, 1.545564830E-01
 3.901678622E-01, 1.572825313E-01
 3.932286203E-01, 1.599405855E-01
 3.963007331E-01, 1.625811309E-01
 3.993840814E-01, 1.651390642E-01
 4.024785757E-01, 1.676332057E-01
 4.055841863E-01, 1.700644046E-01
 4.087007940E-01, 1.723969430E-01
 4.118283093E-01, 1.746522188E-01
 4.149666429E-01, 1.767949164E-01
 4.181156456E-01, 1.788355261E-01
 4.212752879E-01, 1.807557493E-01
 4.244453907E-01, 1.825447381E-01
 4.276258647E-01, 1.842092127E-01
 4.308166206E-01, 1.857108027E-01
 4.340174794E-01, 1.870841235E-01
 4.372283220E-01, 1.882694215E-01
 4.404490292E-01, 1.893013418E-01
 4.436794519E-01, 1.901536137E-01
 4.469194710E-01, 1.907887161E-01
 4.501688778E-01, 1.912768483E-01
 4.534275532E-01, 1.915099621E-01
 4.566953778E-01, 1.915584654E-01
 4.599721134E-01, 1.913867742E-01
 4.632576406E-01, 1.909440458E-01
 4.665518105E-01, 1.903140545E-01
 4.698544145E-01, 1.894110888E-01
 4.731652737E-01, 1.882226169E-01
 4.764842689E-01, 1.868183613E-01
 4.798111618E-01, 1.851198971E-01
 4.831458032E-01, 1.831165850E-01
 4.864880145E-01, 1.808445603E-01
 4.898376465E-01, 1.782906353E-01
 4.931944907E-01, 1.753987074E-01
 4.965583980E-01, 1.721857786E-01
 4.999292195E-01, 1.686823219E-01
 5.033067465E-01, 1.648424566E-01
 5.066908002E-01, 1.606407911E-01
 5.100812912E-01, 1.560979486E-01
 5.134780407E-01, 1.512162387E-01
 5.168808699E-01, 1.459877193E-01
 5.202897191E-01, 1.403655112E-01
 5.237043500E-01, 1.343564540E-01
 5.271247625E-01, 1.279954463E-01
 5.305507779E-01, 1.212411299E-01
 5.339823365E-01, 1.141112149E-01
 5.374191999E-01, 1.065577716E-01
 5.408614874E-01, 9.859234840E-02
 5.443089604E-01, 9.024021029E-02
 5.477616787E-01, 8.147381991E-02
 5.512195230E-01, 7.229533792E-02
 5.546824932E-01, 6.270366907E-02
 5.581504703E-01, 5.267443135E-02
 5.616235137E-01, 4.221507907E-02
 5.651015639E-01, 3.134486452E-02
 5.685847402E-01, 2.004688978E-02
 5.720728636E-01, 8.326855488E-03
 5.755661130E-01 ,-3.817164805E-03
 5.790644884E-01 ,-1.638155244E-02
 5.825679898E-01 ,-2.936596423E-02
 5.860767365E-01 ,-4.277319089E-02
 5.895906687E-01 ,-5.659805983E-02
 5.931099653E-01 ,-7.083525509E-02
 5.966346264E-01 ,-8.545360714E-02
 6.001648307E-01 ,-1.005028859E-01
 6.037005186E-01 ,-1.158789396E-01
 6.072419286E-01 ,-1.315943599E-01
 6.107890606E-01 ,-1.476804614E-01
 6.143419743E-01 ,-1.641055495E-01
 6.179008484E-01 ,-1.808476597E-01
 6.214657426E-01 ,-1.978867054E-01
 6.250367761E-01 ,-2.152008712E-01
 6.286140084E-01 ,-2.327662557E-01
 6.321974993E-01 ,-2.505561411E-01
 6.357874274E-01 ,-2.685411274E-01
 6.393837333E-01 ,-2.866902053E-01
 6.429865360E-01 ,-3.049694896E-01
 6.465959549E-01 ,-3.233419359E-01
 6.502119303E-01 ,-3.417686522E-01
 6.538345814E-01 ,-3.602084219E-01
 6.574639082E-01 ,-3.786164224E-01
 6.610997915E-01 ,-3.969455957E-01
 6.647424102E-01 ,-4.151475430E-01
 6.683915854E-01 ,-4.331705868E-01
 6.720473170E-01 ,-4.509609640E-01
 6.757094860E-01 ,-4.684638083E-01
 6.793780923E-01 ,-4.856214225E-01
 6.830529571E-01 ,-5.023769140E-01
 6.867339015E-01 ,-5.186719894E-01
 6.904208660E-01 ,-5.344497561E-01
 6.941135526E-01 ,-5.496404171E-01
 6.978118420E-01 ,-5.642132759E-01
 7.015154362E-01 ,-5.780231953E-01
 7.052240968E-01 ,-5.910275578E-01
 7.089375854E-01 ,-6.032457948E-01
 7.126555443E-01 ,-6.145764589E-01
 7.163776159E-01 ,-6.249867678E-01
 7.201035023E-01 ,-6.344121099E-01
 7.238328457E-01 ,-6.428294778E-01
 7.275652289E-01 ,-6.501597166E-01
 7.313002348E-01 ,-6.562991142E-01
 7.350375056E-01 ,-6.612967849E-01
 7.387765050E-01 ,-6.651549339E-01
 7.425169349E-01 ,-6.678371429E-01
 7.462582588E-01 ,-6.693071127E-01
 7.500000000E-01 ,-6.696252227E-01
 7.537417412E-01 ,-6.686328053E-01
 7.574830651E-01 ,-6.663619876E-01
 7.612234950E-01 ,-6.629741192E-01
 7.649624944E-01 ,-6.584010124E-01
 7.686997652E-01 ,-6.526890993E-01
 7.724347711E-01 ,-6.458721161E-01
 7.761671543E-01 ,-6.379551291E-01
 7.798964977E-01 ,-6.289208531E-01
 7.836223841E-01 ,-6.188952923E-01
 7.873444557E-01 ,-6.079469919E-01
 7.910624146E-01 ,-5.961055756E-01
 7.947759032E-01 ,-5.834355354E-01
 7.984845638E-01 ,-5.699765086E-01
 8.021881580E-01 ,-5.558261275E-01
 8.058864474E-01 ,-5.409791470E-01
 8.095791340E-01 ,-5.255044699E-01
 8.132660985E-01 ,-5.095332861E-01
 8.169470429E-01 ,-4.930967689E-01
 8.206219077E-01 ,-4.762644172E-01
 8.242905140E-01 ,-4.590919912E-01
 8.279526830E-01 ,-4.416414201E-01
 8.316084146E-01 ,-4.239702523E-01
 8.352575898E-01 ,-4.061371386E-01
 8.389002085E-01 ,-3.881965280E-01
 8.425360918E-01 ,-3.702015877E-01
 8.461654186E-01 ,-3.522026837E-01
 8.497880697E-01 ,-3.342469931E-01
 8.534040451E-01 ,-3.163795471E-01
 8.570134640E-01 ,-2.986426950E-01
 8.606162667E-01 ,-2.810750306E-01
 8.642125726E-01 ,-2.637125254E-01
 8.678025007E-01 ,-2.465885282E-01
 8.713859916E-01 ,-2.297330052E-01
 8.749632239E-01 ,-2.131730467E-01
 8.785342574E-01 ,-1.969332695E-01
 8.820991516E-01 ,-1.810345352E-01
 8.856580257E-01 ,-1.654930264E-01
 8.892109394E-01 ,-1.503221393E-01
 8.927580714E-01 ,-1.355372816E-01
 8.962994814E-01 ,-1.211579591E-01
 8.998351693E-01 ,-1.071531028E-01
 9.033653736E-01 ,-9.354189783E-02
 9.068900347E-01 ,-8.044625819E-02
 9.104093313E-01 ,-6.773884594E-02
 9.139232635E-01 ,-5.544901639E-02
 9.174320102E-01 ,-4.357630387E-02
 9.209355116E-01 ,-3.212140873E-02
 9.244338870E-01 ,-2.108220756E-02
 9.279271364E-01 ,-1.045179740E-02
 9.314152598E-01 ,-2.242238843E-04
 9.348984361E-01, 9.606808424E-03
 9.383764863E-01, 1.904908568E-02
 9.418495297E-01, 2.810881846E-02
 9.453175068E-01, 3.679947928E-02
 9.487804770E-01, 4.511926696E-02
 9.522383213E-01, 5.307796597E-02
 9.556910396E-01, 6.069267914E-02
 9.591385126E-01, 6.796843559E-02
 9.625808001E-01, 7.491242886E-02
 9.660176635E-01, 8.154102415E-02
 9.694492221E-01, 8.784727752E-02
 9.728752375E-01, 9.384056926E-02
 9.762956500E-01, 9.954310954E-02
 9.797102809E-01, 1.049505845E-01
 9.831191301E-01, 1.100842655E-01
 9.865219593E-01, 1.149296686E-01
 9.899187088E-01, 1.194968596E-01
 9.933091998E-01, 1.238064542E-01
 9.966932535E-01, 1.278607398E-01
 1.000070810E+00, 1.316598654E-01
 1.003441572E+00, 1.351998299E-01
 1.006805539E+00, 1.384975165E-01
 1.010162354E+00, 1.415699571E-01
 1.013512015E+00, 1.444000155E-01
 1.016854167E+00, 1.469887942E-01
 1.020188808E+00, 1.493631750E-01
