"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
48, 2.780639759250000e-16, 0.000000000000000e+00, 7.904672716239360e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718420178951379e+05, 0.000000000000000e+00, 1.166170942022034e+09, 6.873680715805515e+04, 3.029254817994403e+02, 0.000000000000000e+00, 3.329328765153973e-02, 1.859726131983835e-05, 1.476852972260094e-02, 0.000000000000000e+00, -1.115019384618715e+02, 1.023401747606135e+00, 0.000000000000000e+00
49, 6.577799401510000e-03, 0.000000000000000e+00, 7.914892029738577e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718063311413291e+05, 0.000000000000000e+00, 1.163476943896809e+09, 6.872253245653161e+04, 3.024715316612905e+02, 0.000000000000000e+00, 2.586952094575828e-02, 1.857587513767187e-05, 5.261910850749869e-03, 0.000000000000000e+00, -1.507802718571349e+01, 6.119691475776228e-01, 0.000000000000000e+00
50, 1.357578174370000e-02, 0.000000000000000e+00, 7.921115184972228e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718253494336082e+05, 0.000000000000000e+00, 1.161972232543275e+09, 6.873013977344327e+04, 3.022673536501807e+02, 0.000000000000000e+00, 2.982581704876061e-02, 1.856625093996140e-05, 4.872970492713351e-03, 0.000000000000000e+00, -9.436819689767757e+00, 5.894546657665359e-01, 0.000000000000000e+00
51, 2.101647148920000e-02, 0.000000000000000e+00, 7.923190681089519e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718264195640924e+05, 0.000000000000000e+00, 1.161439400043038e+09, 6.873056782563696e+04, 3.021900561261821e+02, 0.000000000000000e+00, 3.004843183468836e-02, 1.856260659253460e-05, 4.850948078282233e-03, 0.000000000000000e+00, -9.352346748826834e+00, 5.883137206263710e-01, 0.000000000000000e+00
52, 2.892299848160000e-02, 0.000000000000000e+00, 7.924001763772940e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718289452456156e+05, 0.000000000000000e+00, 1.161242978198561e+09, 6.873157809824625e+04, 3.021635660894490e+02, 0.000000000000000e+00, 3.057383883869686e-02, 1.856135756180111e-05, 4.749664661463272e-03, 0.000000000000000e+00, -8.966620964874640e+00, 5.822085642395112e-01, 0.000000000000000e+00
53, 3.731902434280000e-02, 0.000000000000000e+00, 7.924369733086611e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718311661630435e+05, 0.000000000000000e+00, 1.161160052785759e+09, 6.873246646521740e+04, 3.021534404108286e+02, 0.000000000000000e+00, 3.103584703775224e-02, 1.856088011219750e-05, 4.610211331913291e-03, 0.000000000000000e+00, -8.448136924409585e+00, 5.736259464108417e-01, 0.000000000000000e+00
54, 4.622865322460000e-02, 0.000000000000000e+00, 7.924607376467182e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718338494606275e+05, 0.000000000000000e+00, 1.161113273431051e+09, 6.873353978425100e+04, 3.021490976788935e+02, 0.000000000000000e+00, 3.159404225417810e-02, 1.856067533976388e-05, 4.470484787762940e-03, 0.000000000000000e+00, -7.943941814297133e+00, 5.648810220695458e-01, 0.000000000000000e+00
55, 5.567632553290000e-02, 0.000000000000000e+00, 7.924802387207743e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718370277117077e+05, 0.000000000000000e+00, 1.161080002726632e+09, 6.873481108468305e+04, 3.021472509341655e+02, 0.000000000000000e+00, 3.225520058417657e-02, 1.856058825994708e-05, 4.344220890664217e-03, 0.000000000000000e+00, -7.501603542207615e+00, 5.568561296418012e-01, 0.000000000000000e+00
56, 6.568669329250000e-02, 0.000000000000000e+00, 7.924987486161137e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718407506174388e+05, 0.000000000000000e+00, 1.161052021941671e+09, 6.873630024697552e+04, 3.021467398373557e+02, 0.000000000000000e+00, 3.302966115192012e-02, 1.856056416008066e-05, 4.232313119318352e-03, 0.000000000000000e+00, -7.120122086523826e+00, 5.496441193061822e-01, 0.000000000000000e+00
57, 7.628447591810000e-02, 0.000000000000000e+00, 7.925177771990610e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718450528225420e+05, 0.000000000000000e+00, 1.161025622947921e+09, 6.873802112901679e+04, 3.021470495702951e+02, 0.000000000000000e+00, 3.392463095437463e-02, 1.856057876499216e-05, 4.131759874615191e-03, 0.000000000000000e+00, -6.785823759840950e+00, 5.430816132615556e-01, 0.000000000000000e+00
