"x","cf"
 2.358054966E-01, 3.383740084E-03
 2.381622493E-01, 3.374294145E-03
 2.405316383E-01, 3.364787437E-03
 2.429136485E-01, 3.355215071E-03
 2.453083098E-01, 3.345573321E-03
 2.477156222E-01, 3.335857531E-03
 2.501356006E-01, 3.326063277E-03
 2.525682449E-01, 3.316184739E-03
 2.550135255E-01, 3.306215629E-03
 2.574715018E-01, 3.296149662E-03
 2.599421442E-01, 3.285979852E-03
 2.624254823E-01, 3.275698517E-03
 2.649214864E-01, 3.265296575E-03
 2.674301565E-01, 3.254764713E-03
 2.699515224E-01, 3.244092222E-03
 2.724855542E-01, 3.233269788E-03
 2.750322521E-01, 3.222287865E-03
 2.775916159E-01, 3.211135045E-03
 2.801636457E-01, 3.199798288E-03
 2.827483416E-01, 3.188262926E-03
 2.853456736E-01, 3.176511731E-03
 2.879556417E-01, 3.164524678E-03
 2.905782461E-01, 3.152279416E-03
 2.932134569E-01, 3.139757551E-03
 2.958613038E-01, 3.126955591E-03
 2.985217273E-01, 3.113877960E-03
 3.011947274E-01, 3.100469708E-03
 3.038803041E-01, 3.086617682E-03
 3.065784574E-01, 3.072267864E-03
 3.092890978E-01, 3.057442140E-03
 3.120122850E-01, 3.042167053E-03
 3.147479594E-01, 3.026456339E-03
 3.174961209E-01, 3.010320710E-03
 3.202567399E-01, 2.993774135E-03
 3.230297565E-01, 2.976839896E-03
 3.258152306E-01, 2.959550591E-03
 3.286130428E-01, 2.941920888E-03
 3.314232230E-01, 2.923974767E-03
 3.342457414E-01, 2.905835863E-03
 3.370805681E-01, 2.887584735E-03
 3.399276435E-01, 2.869170159E-03
 3.427869678E-01, 2.850577235E-03
 3.456584811E-01, 2.831877209E-03
 3.485421836E-01, 2.813156229E-03
 3.514380157E-01, 2.794442931E-03
 3.543459177E-01, 2.775718458E-03
 3.572659194E-01, 2.757050097E-03
 3.601979017E-01, 2.738543320E-03
 3.631418645E-01, 2.720155520E-03
 3.660977483E-01, 2.701881807E-03
 3.690654933E-01, 2.683985746E-03
 3.720450699E-01, 2.666451735E-03
 3.750364482E-01, 2.649065806E-03
 3.780395389E-01, 2.632224699E-03
 3.810542822E-01, 2.615945181E-03
 3.840806186E-01, 2.599991625E-03
 3.871185184E-01, 2.584762871E-03
 3.901678622E-01, 2.570084296E-03
 3.932286203E-01, 2.556056948E-03
 3.963007331E-01, 2.542928327E-03
 3.993840814E-01, 2.530453727E-03
 4.024785757E-01, 2.518881578E-03
 4.055841863E-01, 2.508194186E-03
 4.087007940E-01, 2.498419490E-03
 4.118283093E-01, 2.489669714E-03
 4.149666429E-01, 2.481926698E-03
 4.181156456E-01, 2.475306159E-03
 4.212752879E-01, 2.469782718E-03
 4.244453907E-01, 2.465463942E-03
 4.276258647E-01, 2.462327015E-03
 4.308166206E-01, 2.460446442E-03
 4.340174794E-01, 2.459886484E-03
 4.372283220E-01, 2.460588235E-03
 4.404490292E-01, 2.462774981E-03
 4.436794519E-01, 2.466277685E-03
 4.469194710E-01, 2.471189946E-03
 4.501688778E-01, 2.477612812E-03
 4.534275532E-01, 2.485404024E-03
 4.566953778E-01, 2.494844608E-03
 4.599721134E-01, 2.505781595E-03
 4.632576406E-01, 2.518149791E-03
 4.665518105E-01, 2.532274462E-03
 4.698544145E-01, 2.547995886E-03
 4.731652737E-01, 2.565184142E-03
 4.764842689E-01, 2.584111877E-03
 4.798111618E-01, 2.604802838E-03
 4.831458032E-01, 2.627007896E-03
 4.864880145E-01, 2.650837414E-03
 4.898376465E-01, 2.676578239E-03
 4.931944907E-01, 2.704033861E-03
 4.965583980E-01, 2.733001718E-03
 4.999292195E-01, 2.763728378E-03
