"N","h2","h","C_L","C_D","C_Dp","C_Dv","C_f63","C_f75","C_f87"
 901120.0,  0.110973E-05,  0.105344E-02,  0.2494156E-01,  0.3561061E-02,  0.3823120E-03,  0.3178749E-02,  0.518688646141208E-02,  0.615136285931660E-02,  0.268084145548046E-02
 225280.0,  0.443892E-05,  0.210687E-02,  0.2491446E-01,  0.3556021E-02,  0.3850722E-03,  0.3170949E-02,  0.518854471608322E-02,  0.613979314311939E-02,  0.268519712062217E-02
  56320.0,  0.177557E-04,  0.421375E-02,  0.2484094E-01,  0.3560693E-02,  0.4019349E-03,  0.3158758E-02,  0.519061263271213E-02,  0.610550165521303E-02,  0.269947427519225E-02
  14080.0,  0.710227E-04,  0.842750E-02,  0.2466769E-01,  0.3649083E-02,  0.5104047E-03,  0.3138678E-02,  0.517146755676626E-02,  0.599855399648800E-02,  0.277859397879620E-02
   3520.0,  0.284091E-03,  0.168550E-01,  0.2415501E-01,  0.4212674E-02,  0.1102259E-02,  0.3110415E-02,  0.496946139092929E-02,  0.567786170543945E-02,  0.311102864643384E-02
