"x","cp"
 2.358099967E-01, 5.970099941E-02
 2.381599993E-01, 6.035400182E-02
 2.405299991E-01, 6.102399901E-02
 2.429099977E-01, 6.171299890E-02
 2.453099936E-01, 6.242199987E-02
 2.477200031E-01, 6.314600259E-02
 2.501400113E-01, 6.389100105E-02
 2.525700033E-01, 6.465400010E-02
 2.550100088E-01, 6.544099748E-02
 2.574700117E-01, 6.624799967E-02
 2.599399984E-01, 6.707999855E-02
 2.624300122E-01, 6.793200225E-02
 2.649199963E-01, 6.881099939E-02
 2.674300075E-01, 6.971699744E-02
 2.699500024E-01, 7.064999640E-02
 2.724899948E-01, 7.161000371E-02
 2.750299871E-01, 7.260199636E-02
 2.775900066E-01, 7.362499833E-02
 2.801600099E-01, 7.467699796E-02
 2.827500105E-01, 7.576700300E-02
 2.853499949E-01, 7.689400017E-02
 2.879599929E-01, 7.805900276E-02
 2.905800045E-01, 7.926599681E-02
 2.932099998E-01, 8.051499724E-02
 2.958599925E-01, 8.181399852E-02
 2.985199988E-01, 8.316099644E-02
 3.011899889E-01, 8.456499875E-02
 3.038800061E-01, 8.602499962E-02
 3.065800071E-01, 8.755099773E-02
 3.092899919E-01, 8.914300054E-02
 3.120099902E-01, 9.080599993E-02
 3.147499859E-01, 9.254000336E-02
 3.174999952E-01, 9.434600174E-02
 3.202599883E-01, 9.622699767E-02
 3.230299950E-01, 9.818200022E-02
 3.258199990E-01, 1.002100036E-01
 3.286100030E-01, 1.023100019E-01
 3.314200044E-01, 1.044799984E-01
 3.342500031E-01, 1.067200005E-01
 3.370800018E-01, 1.090300009E-01
 3.399299979E-01, 1.114000008E-01
 3.427900076E-01, 1.138399988E-01
 3.456600010E-01, 1.163299978E-01
 3.485400081E-01, 1.188800037E-01
 3.514400125E-01, 1.214800030E-01
 3.543500006E-01, 1.241199970E-01
 3.572700024E-01, 1.268000007E-01
 3.601999879E-01, 1.295199990E-01
 3.631399870E-01, 1.322800070E-01
 3.661000133E-01, 1.350400001E-01
 3.690699935E-01, 1.378200054E-01
 3.720499873E-01, 1.406400055E-01
 3.750399947E-01, 1.434399933E-01
 3.780399859E-01, 1.462199986E-01
 3.810499907E-01, 1.490300000E-01
 3.840799928E-01, 1.518000066E-01
 3.871200085E-01, 1.545300037E-01
 3.901700079E-01, 1.572600007E-01
 3.932299912E-01, 1.599099934E-01
 3.962999880E-01, 1.625500023E-01
 3.993799984E-01, 1.651100069E-01
 4.024800062E-01, 1.676000059E-01
 4.055800140E-01, 1.700299978E-01
 4.086999893E-01, 1.723600030E-01
 4.118300080E-01, 1.746200025E-01
 4.149700105E-01, 1.767600030E-01
 4.181199968E-01, 1.787900031E-01
 4.212799966E-01, 1.807100028E-01
 4.244500101E-01, 1.825000048E-01
 4.276300073E-01, 1.841599941E-01
 4.308199883E-01, 1.856600046E-01
 4.340200126E-01, 1.870400012E-01
 4.372299910E-01, 1.882199943E-01
 4.404500127E-01, 1.892500073E-01
 4.436799884E-01, 1.901099980E-01
 4.469200075E-01, 1.907300055E-01
 4.501700103E-01, 1.912200004E-01
 4.534299970E-01, 1.914499998E-01
 4.566999972E-01, 1.914999932E-01
 4.599699974E-01, 1.913399994E-01
 4.632599950E-01, 1.908800006E-01
 4.665499926E-01, 1.902599931E-01
 4.698500037E-01, 1.893700063E-01
 4.731700122E-01, 1.881600022E-01
 4.764800072E-01, 1.867599934E-01
 4.798099995E-01, 1.850800067E-01
 4.831500053E-01, 1.830600053E-01
 4.864900112E-01, 1.807799935E-01
 4.898400009E-01, 1.782499999E-01
 4.931899905E-01, 1.753599942E-01
 4.965600073E-01, 1.721300036E-01
 4.999299943E-01, 1.686300039E-01
 5.033100247E-01, 1.648100019E-01
 5.066900253E-01, 1.606100053E-01
 5.100799799E-01, 1.560599953E-01
 5.134800076E-01, 1.511700004E-01
 5.168799758E-01, 1.459600031E-01
 5.202900171E-01, 1.403400004E-01
 5.236999989E-01, 1.343300045E-01
 5.271199942E-01, 1.279699951E-01
 5.305500031E-01, 1.212200001E-01
 5.339800119E-01, 1.140900031E-01
 5.374199748E-01, 1.065500006E-01
 5.408599973E-01, 9.858100116E-02
 5.443099737E-01, 9.023000300E-02
 5.477600098E-01, 8.146499842E-02
 5.512199998E-01, 7.228899747E-02
 5.546799898E-01, 6.270500273E-02
 5.581499934E-01, 5.267899856E-02
 5.616199970E-01, 4.221900180E-02
 5.651000142E-01, 3.135000169E-02
 5.685799718E-01, 2.005499974E-02
 5.720700026E-01, 8.336599916E-03
 5.755699873E-01 ,-3.807900008E-03
 5.790600181E-01 ,-1.637000032E-02
 5.825700164E-01 ,-2.935400046E-02
 5.860800147E-01 ,-4.276299849E-02
 5.895900130E-01 ,-5.657900125E-02
 5.931100249E-01 ,-7.079499960E-02
 5.966299772E-01 ,-8.540699631E-02
