"x","cp"
 2.358054966E-01, 5.970290303E-02
 2.381622493E-01, 6.035571918E-02
 2.405316383E-01, 6.102528423E-02
 2.429136485E-01, 6.171222031E-02
 2.453083098E-01, 6.241717935E-02
 2.477156222E-01, 6.314084679E-02
 2.501356006E-01, 6.388396770E-02
 2.525682449E-01, 6.464729458E-02
 2.550135255E-01, 6.543165445E-02
 2.574715018E-01, 6.623791903E-02
 2.599421442E-01, 6.706701219E-02
 2.624254823E-01, 6.791990250E-02
 2.649214864E-01, 6.879766285E-02
 2.674301565E-01, 6.970139593E-02
 2.699515224E-01, 7.063230872E-02
 2.724855542E-01, 7.159170508E-02
 2.750322521E-01, 7.258096337E-02
 2.775916159E-01, 7.360159606E-02
 2.801636457E-01, 7.465524226E-02
 2.827483416E-01, 7.574369013E-02
 2.853456736E-01, 7.686888427E-02
 2.879556417E-01, 7.803297043E-02
 2.905782461E-01, 7.923832536E-02
 2.932134569E-01, 8.048764616E-02
 2.958613038E-01, 8.178406954E-02
 2.985217273E-01, 8.313138038E-02
 3.011947274E-01, 8.453398198E-02
 3.038803041E-01, 8.599654585E-02
 3.065784574E-01, 8.752340823E-02
 3.092890978E-01, 8.911800385E-02
 3.120122850E-01, 9.078294039E-02
 3.147479594E-01, 9.252016991E-02
 3.174961209E-01, 9.433107078E-02
 3.202567399E-01, 9.621653706E-02
 3.230297565E-01, 9.817697853E-02
 3.258152306E-01, 1.002123058E-01
 3.286130428E-01, 1.023217738E-01
 3.314232230E-01, 1.045039594E-01
 3.342457414E-01, 1.067567244E-01
 3.370805681E-01, 1.090763137E-01
 3.399276435E-01, 1.114612073E-01
 3.427869678E-01, 1.139095798E-01
 3.456584811E-01, 1.164170206E-01
 3.485421836E-01, 1.189818680E-01
 3.514380157E-01, 1.215950698E-01
 3.543459177E-01, 1.242512986E-01
 3.572659194E-01, 1.269502789E-01
 3.601979017E-01, 1.296898723E-01
 3.631418645E-01, 1.324577779E-01
 3.660977483E-01, 1.352430135E-01
 3.690654933E-01, 1.380487382E-01
 3.720450699E-01, 1.408771873E-01
 3.750364482E-01, 1.436957717E-01
 3.780395389E-01, 1.465074271E-01
 3.810542822E-01, 1.493321508E-01
 3.840806186E-01, 1.521161199E-01
 3.871185184E-01, 1.548779309E-01
 3.901678622E-01, 1.576232165E-01
 3.932286203E-01, 1.602978408E-01
 3.963007331E-01, 1.629577726E-01
 3.993840814E-01, 1.655326188E-01
 4.024785757E-01, 1.680435687E-01
 4.055841863E-01, 1.704922318E-01
 4.087007940E-01, 1.728402227E-01
 4.118283093E-01, 1.751116812E-01
 4.149666429E-01, 1.772686690E-01
 4.181156456E-01, 1.793234050E-01
 4.212752879E-01, 1.812565625E-01
 4.244453907E-01, 1.830571294E-01
 4.276258647E-01, 1.847328544E-01
 4.308166206E-01, 1.862432659E-01
 4.340174794E-01, 1.876255870E-01
 4.372283220E-01, 1.888171434E-01
 4.404490292E-01, 1.898546219E-01
 4.436794519E-01, 1.907110959E-01
 4.469194710E-01, 1.913473308E-01
 4.501688778E-01, 1.918376535E-01
 4.534275532E-01, 1.920688152E-01
 4.566953778E-01, 1.921153069E-01
 4.599721134E-01, 1.919397712E-01
 4.632576406E-01, 1.914902776E-01
 4.665518105E-01, 1.908539981E-01
 4.698544145E-01, 1.899416447E-01
 4.731652737E-01, 1.887418479E-01
 4.764842689E-01, 1.873265207E-01
 4.798111618E-01, 1.856140941E-01
 4.831458032E-01, 1.835950911E-01
 4.864880145E-01, 1.813071817E-01
 4.898376465E-01, 1.787358671E-01
 4.931944907E-01, 1.758241355E-01
 4.965583980E-01, 1.725907475E-01
 4.999292195E-01, 1.690667570E-01
 5.033067465E-01, 1.652044952E-01
 5.066908002E-01, 1.609788388E-01
 5.100812912E-01, 1.564118415E-01
 5.134780407E-01, 1.515057981E-01
 5.168808699E-01, 1.462519467E-01
 5.202897191E-01, 1.406029314E-01
 5.237043500E-01, 1.345667243E-01
 5.271247625E-01, 1.281789690E-01
 5.305507779E-01, 1.213974580E-01
 5.339823365E-01, 1.142399684E-01
 5.374191999E-01, 1.066579595E-01
 5.408614874E-01, 9.866411239E-02
 5.443089604E-01, 9.028388560E-02
 5.477616787E-01, 8.148929477E-02
 5.512195230E-01, 7.228276879E-02
 5.546824932E-01, 6.266297400E-02
 5.581504703E-01, 5.260529742E-02
 5.616235137E-01, 4.211781174E-02
 5.651015639E-01, 3.121997230E-02
 5.685847402E-01, 1.989445835E-02
 5.720728636E-01, 8.147242479E-03
 5.755661130E-01, -4.023802467E-03
 5.790644884E-01, -1.661493070E-02
 5.825679898E-01, -2.962525189E-02
 5.860767365E-01, -4.305681959E-02
 5.895906687E-01, -5.690433830E-02
 5.931099653E-01, -7.116564363E-02
 5.966346264E-01, -8.581331372E-02
 6.001648307E-01, -1.008930504E-01
 6.037005186E-01, -1.162967384E-01
 6.072419286E-01, -1.320378780E-01
 6.107890606E-01, -1.481476128E-01
 6.143419743E-01, -1.645948738E-01
 6.179008484E-01, -1.813598424E-01
 6.214657426E-01, -1.984227896E-01
 6.250367761E-01, -2.157611847E-01
 6.286140084E-01, -2.333508432E-01
 6.321974993E-01, -2.511650026E-01
 6.357874274E-01, -2.691743970E-01
 6.393837333E-01, -2.873480022E-01
 6.429865360E-01, -3.056520522E-01
 6.465959549E-01, -3.240495324E-01
 6.502119303E-01, -3.425016105E-01
 6.538345814E-01, -3.609671593E-01
 6.574639082E-01, -3.794013262E-01
 6.610997915E-01, -3.977572024E-01
 6.647424102E-01, -4.159864485E-01
 6.683915854E-01, -4.340373874E-01
 6.720473170E-01, -4.518564939E-01
 6.757094860E-01, -4.693889320E-01
 6.793780923E-01, -4.865771532E-01
 6.830529571E-01, -5.033639669E-01
 6.867339015E-01, -5.196903348E-01
 6.904208660E-01, -5.354988575E-01
 6.941135526E-01, -5.507218838E-01
 6.978118420E-01, -5.653270483E-01
 7.015154362E-01, -5.791686773E-01
 7.052240968E-01, -5.922062397E-01
 7.089375854E-01, -6.044588685E-01
 7.126555443E-01, -6.158256531E-01
 7.163776159E-01, -6.262724996E-01
 7.201035023E-01, -6.357362270E-01
 7.238328457E-01, -6.441940665E-01
 7.275652289E-01, -6.515643597E-01
 7.313002348E-01, -6.577436924E-01
 7.350375056E-01, -6.627832055E-01
 7.387765050E-01, -6.666858792E-01
 7.425169349E-01, -6.694126725E-01
 7.462582588E-01, -6.709309220E-01
 7.500000000E-01, -6.712979078E-01
 7.537417412E-01, -6.703512669E-01
 7.574830651E-01, -6.681275964E-01
 7.612234950E-01, -6.647897363E-01
 7.649624944E-01, -6.602685452E-01
 7.686997652E-01, -6.546088457E-01
 7.724347711E-01, -6.478439569E-01
 7.761671543E-01, -6.399758458E-01
 7.798964977E-01, -6.309883595E-01
 7.836223841E-01, -6.210098863E-01
 7.873444557E-01, -6.101092696E-01
 7.910624146E-01, -5.983145237E-01
 7.947759032E-01, -5.856897235E-01
 7.984845638E-01, -5.722754002E-01
 8.021881580E-01, -5.581673980E-01
 8.058864474E-01, -5.433577299E-01
 8.095791340E-01, -5.279166698E-01
 8.132660985E-01, -5.119765401E-01
 8.169470429E-01, -4.955667257E-01
 8.206219077E-01, -4.787560701E-01
 8.242905140E-01, -4.616005719E-01
 8.279526830E-01, -4.441619217E-01
 8.316084146E-01, -4.264965355E-01
 8.352575898E-01, -4.086618125E-01
 8.389002085E-01, -3.907111883E-01
 8.425360918E-01, -3.726968467E-01
 8.461654186E-01, -3.546681702E-01
 8.497880697E-01, -3.366714418E-01
 8.534040451E-01, -3.187508285E-01
 8.570134640E-01, -3.009478748E-01
 8.606162667E-01, -2.833004296E-01
 8.642125726E-01, -2.658438385E-01
 8.678025007E-01, -2.486109436E-01
 8.713859916E-01, -2.316312641E-01
 8.749632239E-01, -2.149315178E-01
 8.785342574E-01, -1.985363066E-01
 8.820991516E-01, -1.824668646E-01
 8.856580257E-01, -1.667398512E-01
 8.892109394E-01, -1.513677835E-01
 8.927580714E-01, -1.363644898E-01
 8.962994814E-01, -1.217504740E-01
 8.998351693E-01, -1.075002775E-01
 9.033653736E-01, -9.363525361E-02
 9.068900347E-01, -8.027410507E-02
 9.104093313E-01, -6.729365140E-02
 9.139232635E-01, -5.472480133E-02
 9.174320102E-01, -4.256793484E-02
 9.209355116E-01, -3.082566336E-02
 9.244338870E-01, -1.949819364E-02
 9.279271364E-01, -8.580176160E-03
 9.314152598E-01, 1.932325889E-03
 9.348984361E-01, 1.204366703E-02
 9.383764863E-01, 2.175995335E-02
 9.418495297E-01, 3.108518384E-02
 9.453175068E-01, 4.003236443E-02
 9.487804770E-01, 4.859568179E-02
 9.522383213E-01, 5.678381026E-02
 9.556910396E-01, 6.461492926E-02
 9.591385126E-01, 7.209196687E-02
 9.625808001E-01, 7.922103256E-02
 9.660176635E-01, 8.601912856E-02
 9.694492221E-01, 9.247534722E-02
 9.728752375E-01, 9.859912843E-02
 9.762956500E-01, 1.044161022E-01
 9.797102809E-01, 1.099190414E-01
 9.831191301E-01, 1.151320189E-01
 9.865219593E-01, 1.200359389E-01
 9.899187088E-01, 1.246423870E-01
 9.933091998E-01, 1.289758980E-01
 9.966932535E-01, 1.330378503E-01
 1.000070810E+00, 1.368277073E-01
 1.003441572E+00, 1.403405517E-01
 1.006805539E+00, 1.435969919E-01
 1.010162354E+00, 1.466164142E-01
 1.013512015E+00, 1.493781656E-01
 1.016854167E+00, 1.518842727E-01
 1.020188808E+00, 1.541668922E-01
 1.023515701E+00, 1.562257260E-01
 1.026834726E+00, 1.580411494E-01
 1.030145645E+00, 1.596308649E-01
 1.033448219E+00, 1.610321254E-01
 1.036742330E+00, 1.621969044E-01
 1.040027857E+00, 1.631516963E-01
 1.043304682E+00, 1.639347076E-01
 1.046572447E+00, 1.644920260E-01
 1.049831152E+00, 1.648712754E-01
 1.053080559E+00, 1.650762558E-01
 1.056320548E+00, 1.650749445E-01
 1.059551001E+00, 1.649353951E-01
 1.062771678E+00, 1.646017134E-01
 1.065982580E+00, 1.641160995E-01
 1.069183350E+00, 1.634808332E-01
 1.072374105E+00, 1.626828164E-01
 1.075554609E+00, 1.617597789E-01
 1.078724742E+00, 1.606863886E-01
 1.081884384E+00, 1.594949067E-01
 1.085033417E+00, 1.581752896E-01
 1.088171721E+00, 1.567418873E-01
 1.091299176E+00, 1.552035213E-01
 1.094415784E+00, 1.535571963E-01
 1.097521424E+00, 1.518276036E-01
 1.100615978E+00, 1.499989927E-01
 1.103699327E+00, 1.481034309E-01
 1.106771350E+00, 1.461312473E-01
 1.109832168E+00, 1.440820843E-01
 1.112881541E+00, 1.419984847E-01
 1.115919352E+00, 1.398414820E-01
 1.118945718E+00, 1.376586556E-01
 1.121960521E+00, 1.354346126E-01
 1.124963522E+00, 1.331700087E-01
 1.127954960E+00, 1.309005171E-01
 1.130934477E+00, 1.286063641E-01
 1.133902311E+00, 1.262967139E-01
 1.136858106E+00, 1.239932254E-01
 1.139802098E+00, 1.216909140E-01
 1.142734051E+00, 1.193924323E-01
 1.145654082E+00, 1.171086431E-01
 1.148561954E+00, 1.148473471E-01
 1.151457787E+00, 1.126093790E-01
 1.154341459E+00, 1.103974208E-01
 1.157212973E+00, 1.082181633E-01
 1.160072327E+00, 1.060779244E-01
 1.162919402E+00, 1.039777622E-01
 1.165754199E+00, 1.019218564E-01
 1.168576717E+00, 9.991195053E-02
 1.171386957E+00, 9.795089811E-02
 1.174184799E+00, 9.604191035E-02
 1.176970243E+00, 9.418655932E-02
 1.179743290E+00, 9.238607436E-02
 1.182503939E+00, 9.064126015E-02
 1.185252070E+00, 8.895248175E-02
 1.187987685E+00, 8.731970936E-02
 1.190710902E+00, 8.574251086E-02
 1.193421602E+00, 8.422003686E-02
 1.196119666E+00, 8.275092393E-02
 1.198805213E+00, 8.133318275E-02
 1.201478243E+00, 7.996428013E-02
 1.204138756E+00, 7.864128053E-02
 1.206786513E+00, 7.736127079E-02
 1.209421754E+00, 7.612171769E-02
 1.212044358E+00, 7.492042333E-02
 1.214654326E+00, 7.375543565E-02
 1.217251658E+00, 7.262498140E-02
 1.219836354E+00, 7.152743638E-02
 1.222408414E+00, 7.046129555E-02
 1.224967718E+00, 6.942517310E-02
 1.227514505E+00, 6.841775775E-02
 1.230048537E+00, 6.743783504E-02
 1.232569814E+00, 6.648427248E-02
 1.235078573E+00, 6.555598229E-02
 1.237574458E+00, 6.465197355E-02
 1.240057826E+00, 6.377128512E-02
 1.242528439E+00, 6.291301548E-02
 1.244986415E+00, 6.207631901E-02
 1.247431755E+00, 6.126038730E-02
 1.249864459E+00, 6.046445668E-02
 1.252284408E+00, 5.968780443E-02
 1.254691720E+00, 5.892973766E-02
 1.257086396E+00, 5.818960443E-02
 1.259468317E+00, 5.746677890E-02
 1.261837721E+00, 5.676066130E-02
 1.264194489E+00, 5.607069284E-02
 1.266538620E+00, 5.539632589E-02
 1.268870234E+00, 5.473704264E-02
 1.271189094E+00, 5.409235135E-02
 1.273495436E+00, 5.346177518E-02
 1.275789261E+00, 5.284486711E-02
 1.278070450E+00, 5.224118754E-02
 1.280339241E+00, 5.165032670E-02
 1.282595396E+00, 5.107188225E-02
 1.284839034E+00, 5.050547421E-02
 1.287070274E+00, 4.995073006E-02
 1.289288998E+00, 4.940730706E-02
 1.291495204E+00, 4.887485877E-02
 1.293689013E+00, 4.835306481E-02
 1.295870543E+00, 4.784160852E-02
 1.298039556E+00, 4.734018818E-02
 1.300196171E+00, 4.684852064E-02
 1.302340508E+00, 4.636631906E-02
 1.304472566E+00, 4.589331895E-02
 1.306592226E+00, 4.542925954E-02
 1.308699608E+00, 4.497389495E-02
 1.310794830E+00, 4.452697560E-02
 1.312877774E+00, 4.408827797E-02
 1.314948559E+00, 4.365757108E-02
 1.317007184E+00, 4.323463887E-02
 1.319053650E+00, 4.281927645E-02
 1.321087956E+00, 4.241127893E-02
