"N","h2","h","C_L","C_D","C_Dp","C_Dv","C_f63","C_f75","C_f87"
 901120.0,  0.110973E-05,  0.105344E-02,  0.25047395710E-01,  0.36045158543E-02,  0.42098043518E-03,  0.31835354191E-02, 0.506227138E-02, 0.58482303300000E-02, 0.248941756E-02
 225280.0,  0.443892E-05,  0.210687E-02,  0.24974439737E-01,  0.36027064448E-02,  0.42017585113E-03,  0.31825305937E-02, 0.504684867E-02, 0.58239931200000E-02, 0.248963945E-02
  56320.0,  0.177557E-04,  0.421375E-02,  0.24827092796E-01,  0.36071373739E-02,  0.43164677088E-03,  0.31754906030E-02, 0.501589384E-02, 0.57688662800000E-02, 0.248996331E-02
  14080.0,  0.710227E-04,  0.842750E-02,  0.24507319517E-01,  0.37071442412E-02,  0.55434360560E-03,  0.31528006356E-02, 0.496344594E-02, 0.56221550300000E-02, 0.248865015E-02
   3520.0,  0.284091E-03,  0.168550E-01,  0.23518706955E-01,  0.45618542592E-02,  0.14787721313E-02,  0.30830821278E-02, 0.492207473E-02, 0.51639261700000E-02, 0.249099196E-02
