 "x","y","mut"
 7.500003741E-01, 5.007818593E-02, 1.485795650E+00
 7.500003741E-01, 5.007985471E-02, 1.585390741E+00
 7.500003741E-01, 5.008155597E-02, 1.689989002E+00
 7.500003741E-01, 5.008329040E-02, 1.799689920E+00
 7.500003741E-01, 5.008505872E-02, 1.914582329E+00
 7.500003741E-01, 5.008686164E-02, 2.034743629E+00
 7.500003741E-01, 5.008869989E-02, 2.160239164E+00
 7.500003741E-01, 5.009057422E-02, 2.291121680E+00
 7.500003741E-01, 5.009248539E-02, 2.427430916E+00
 7.500003741E-01, 5.009443419E-02, 2.569193318E+00
 7.500003741E-01, 5.009642140E-02, 2.716421892E+00
 7.500003741E-01, 5.009844783E-02, 2.869116211E+00
 7.500003741E-01, 5.010051431E-02, 3.027262571E+00
 7.500003741E-01, 5.010262167E-02, 3.190834262E+00
 7.500003741E-01, 5.010477078E-02, 3.359792019E+00
 7.500003741E-01, 5.010696251E-02, 3.534084634E+00
 7.500003741E-01, 5.010919775E-02, 3.713649575E+00
 7.500003741E-01, 5.011147741E-02, 3.898413905E+00
 7.500003741E-01, 5.011380241E-02, 4.088295128E+00
 7.500003741E-01, 5.011617371E-02, 4.283202256E+00
 7.500003741E-01, 5.011859226E-02, 4.483036882E+00
 7.500003741E-01, 5.012105905E-02, 4.687694301E+00
 7.500003741E-01, 5.012357509E-02, 4.897064699E+00
 7.500003741E-01, 5.012614139E-02, 5.111034382E+00
 7.500003741E-01, 5.012875901E-02, 5.329486903E+00
 7.500003741E-01, 5.013142900E-02, 5.552304298E+00
 7.500003741E-01, 5.013415246E-02, 5.779368215E+00
 7.500003741E-01, 5.013693048E-02, 6.010560989E+00
 7.500003741E-01, 5.013976421E-02, 6.245766710E+00
 7.500003741E-01, 5.014265478E-02, 6.484872156E+00
 7.500003741E-01, 5.014560339E-02, 6.727767735E+00
 7.500003741E-01, 5.014861122E-02, 6.974348200E+00
 7.500003741E-01, 5.015167951E-02, 7.224513449E+00
 7.500003741E-01, 5.015480949E-02, 7.478169047E+00
 7.500003741E-01, 5.015800245E-02, 7.735226829E+00
 7.500003741E-01, 5.016125968E-02, 7.995605255E+00
 7.500003741E-01, 5.016458250E-02, 8.259229774E+00
 7.500003741E-01, 5.016797228E-02, 8.526033072E+00
 7.500003741E-01, 5.017143038E-02, 8.795955190E+00
 7.500003741E-01, 5.017495821E-02, 9.068943647E+00
 7.500003741E-01, 5.017855721E-02, 9.344953402E+00
 7.500003741E-01, 5.018222885E-02, 9.623946813E+00
 7.500003741E-01, 5.018597461E-02, 9.905893539E+00
 7.500003741E-01, 5.018979602E-02, 1.019077029E+01
 7.500003741E-01, 5.019369464E-02, 1.047856069E+01
 7.500003741E-01, 5.019767204E-02, 1.076925496E+01
 7.500003741E-01, 5.020172986E-02, 1.106284964E+01
 7.500003741E-01, 5.020586973E-02, 1.135934727E+01
 7.500003741E-01, 5.021009334E-02, 1.165875607E+01
 7.500003741E-01, 5.021440242E-02, 1.196108953E+01
 7.500003741E-01, 5.021879871E-02, 1.226636609E+01
 7.500003741E-01, 5.022328400E-02, 1.257460876E+01
 7.500003741E-01, 5.022786012E-02, 1.288584472E+01
 7.500003741E-01, 5.023252892E-02, 1.320010496E+01
 7.500003741E-01, 5.023729231E-02, 1.351742392E+01
 7.500003741E-01, 5.024215223E-02, 1.383783910E+01
 7.500003741E-01, 5.024711064E-02, 1.416139073E+01
 7.500003741E-01, 5.025216958E-02, 1.448812141E+01
 7.500003741E-01, 5.025733109E-02, 1.481807577E+01
 7.500003741E-01, 5.026259727E-02, 1.515130017E+01
 7.500003741E-01, 5.026797028E-02, 1.548784237E+01
 7.500003741E-01, 5.027345228E-02, 1.582775123E+01
 7.500003741E-01, 5.027904552E-02, 1.617107648E+01
 7.500003741E-01, 5.028475227E-02, 1.651786837E+01
 7.500003741E-01, 5.029057485E-02, 1.686817752E+01
 7.500003741E-01, 5.029651563E-02, 1.722205460E+01
 7.500003741E-01, 5.030257702E-02, 1.757955014E+01
 7.500003741E-01, 5.030876149E-02, 1.794071431E+01
 7.500003741E-01, 5.031507156E-02, 1.830559676E+01
 7.500003741E-01, 5.032150979E-02, 1.867424637E+01
 7.500003741E-01, 5.032807880E-02, 1.904671115E+01
 7.500003741E-01, 5.033478126E-02, 1.942303801E+01
 7.500003741E-01, 5.034161991E-02, 1.980327266E+01
 7.500003741E-01, 5.034859752E-02, 2.018745945E+01
 7.500003741E-01, 5.035571692E-02, 2.057564124E+01
 7.500003741E-01, 5.036298103E-02, 2.096785928E+01
 7.500003741E-01, 5.037039278E-02, 2.136415310E+01
 7.500003741E-01, 5.037795520E-02, 2.176456039E+01
 7.500003741E-01, 5.038567136E-02, 2.216911691E+01
 7.500003741E-01, 5.039354440E-02, 2.257785641E+01
 7.500003741E-01, 5.040157753E-02, 2.299081053E+01
 7.500003741E-01, 5.040977401E-02, 2.340800871E+01
 7.500003741E-01, 5.041813717E-02, 2.382947813E+01
 7.500003741E-01, 5.042667042E-02, 2.425524365E+01
 7.500003741E-01, 5.043537722E-02, 2.468532770E+01
