"x","y","m","v"
0.75, 0.05, 0.0, 0.0
0.75, 0.050000495, 6.246626203775178e-14, 0.3151159943745376
0.75, 0.0500009902014, 1.000266227676263e-12, 0.6303614319575526
0.75, 0.0500014858055, 5.070651064539991e-12, 0.9458638708796762
0.75, 0.050001982014, 1.605589899972365e-11, 1.2617512265431672
0.75, 0.0500024790288, 3.929372875607477e-11, 1.5781514542235655
0.75, 0.0500029770519, 8.172011001961897e-11, 1.8951924626675183
0.75, 0.050003476286, 1.519247994142888e-10, 2.2130024649621167
0.75, 0.0500039769342, 2.602198621039501e-10, 2.5317097562812445
0.75, 0.0500044792001, 4.187216295810644e-10, 2.851442742954624
0.75, 0.050004983288, 6.414466444682753e-10, 3.172330032253571
0.75, 0.0500054894029, 9.44422101678954e-10, 3.494500392021821
0.75, 0.0500059977508, 1.345811701842326e-09, 3.8180828969280323
0.75, 0.0500065085384, 1.866057117949927e-09, 4.143206689843694
0.75, 0.0500070219734, 2.528036637085657e-09, 4.470001118946714
0.75, 0.0500075382648, 3.357241944887738e-09, 4.7985958693045605
0.75, 0.0500080576226, 4.381973025372582e-09, 5.129120707808645
0.75, 0.0500085802579, 5.633553351094272e-09, 5.46170547490044
0.75, 0.0500091063835, 7.1465679308141e-09, 5.796480385565101
0.75, 0.0500096362133, 8.959121325792325e-09, 6.133575560954751
0.75, 0.0500101699628, 1.111312249403759e-08, 6.473121247884752
0.75, 0.0500107078491, 1.365459451602628e-08, 6.815247710755983
0.75, 0.0500112500911, 1.663401294552552e-08, 7.1600852385477625
0.75, 0.0500117969093, 2.010667174176158e-08, 7.507763885491411
0.75, 0.0500123485262, 2.41330840842953e-08, 7.858413577640994
0.75, 0.0500129051661, 2.877941362952511e-08, 8.212163823735475
0.75, 0.0500134670554, 3.41179452910186e-08, 8.569143725515973
0.75, 0.0500140344227, 4.022759401440252e-08, 8.92948184243834
0.75, 0.0500146074988, 4.719445401087351e-08, 9.293305972494027
