"x","y","m","v","k","o"
0.75, 0.05, 0.0, 0.0, 0.0, 77914735951.40724
0.75, 0.050000495, 5.294461492418978e-16, 0.2998049179908678, 6.132741729012978e-06, 9004925049.94212
0.75, 0.0500009902014, 1.931207231469268e-14, 0.5997334123960784, 6.333174445244563e-05, 2549411398.143656
0.75, 0.0500014858055, 1.901985862682144e-13, 0.8999068700256685, 0.000270082846950033, 1103919239.359488
0.75, 0.050001982014, 9.780966710381604e-13, 1.2004470625358235, 0.0007537804156439506, 599116084.9996928
0.75, 0.0500024790288, 3.466893598119239e-12, 1.5014758618026551, 0.001658643369309439, 371929679.1248459
0.75, 0.0500029770519, 9.692213208552203e-12, 1.8031151711858129, 0.003141796972065777, 252002009.895841
0.75, 0.050003476286, 2.301335525230842e-11, 2.1054872683138854, 0.005371818673506483, 181464159.1954268
0.75, 0.0500039769342, 4.852542604315683e-11, 2.4087145976279785, 0.008528218051102958, 136627809.0385904
0.75, 0.0500044792001, 9.351490089625792e-11, 2.7129197965513594, 0.01280138080826008, 106420910.2267017
0.75, 0.050004983288, 1.679630767824843e-10, 3.0182257733065176, 0.01839279172565579, 85130602.22105773
0.75, 0.0500054894029, 2.851026662663634e-10, 3.324755654007561, 0.02551544464752746, 69575244.40925656
0.75, 0.0500059977508, 4.620335159338225e-10, 3.6326328994983976, 0.03439439477468095, 57871957.9833759
0.75, 0.0500065085384, 7.204036031367215e-10, 3.9419810470869416, 0.04526740909281127, 48850043.72757981
0.75, 0.0500070219734, 1.087162293637757e-09, 4.252923799565001, 0.05838571034715659, 41751174.60115371
0.75, 0.0500075382648, 1.595392959175107e-09, 4.565585097300362, 0.07401479558880614, 36066899.34713691
0.75, 0.0500080576226, 2.285231416351931e-09, 4.88008880904057, 0.09243529540463796, 31446123.55871134
0.75, 0.0500085802579, 3.204877646674752e-09, 5.196558642196987, 0.1139438837878378, 27640168.10633658
0.75, 0.0500091063835, 4.411708727488323e-09, 5.515118329913113, 0.1388542446702659, 24468942.85679512
0.75, 0.0500096362133, 5.973496166822584e-09, 5.835891066115266, 0.1674980098503268, 21799464.23142394
0.75, 0.0500101699628, 7.969737033700447e-09, 6.158999572512706, 0.2002257467103843, 19531818.93521629
0.75, 0.0500107078491, 1.049310085069748e-08, 6.4845658284136, 0.2374079161818586, 17589772.97815826
0.75, 0.0500112500911, 1.365099690787291e-08, 6.812710881448211, 0.2794358144648312, 15914347.53353371
0.75, 0.0500117969093, 1.756726007064582e-08, 7.143554372994268, 0.3267224341164043, 14459339.28025914
0.75, 0.0500123485262, 2.238395912915114e-08, 7.477214376519822, 0.3797032932141679, 13188138.58858723
0.75, 0.0500129051661, 2.826331618308725e-08, 7.813806820674624, 0.4388371101021097, 12071435.8382868
0.75, 0.0500134670554, 3.538973644967142e-08, 8.153445155256517, 0.5046063808526783, 11085541.49047947
0.75, 0.0500140344227, 4.397193183250112e-08, 8.496239833353808, 0.5775177627520446, 10211140.47804245
0.75, 0.0500146074988, 5.424512003914633e-08, 8.84229766561197, 0.6581022197007826, 9432357.039676538
0.75, 0.0500151865169, 6.647328064401945e-08, 9.191721223004224, 0.7469149175069102, 8736044.287082745
0.75, 0.0500157717123, 8.095142445836846e-08, 9.544607864114548, 0.8445347092233623, 8111239.623501698
0.75, 0.0500163633233, 9.800787816426145e-08, 9.90104940590022, 0.9515634188886093, 7548741.565547206
0.75, 0.0500169615904, 1.180064729832457e-07, 10.261130695093682, 1.068624390557669, 7040780.610044174
0.75, 0.0500175667569, 1.41348658291154e-07, 10.62492894315734, 1.196360735516327, 6580758.444669467
0.75, 0.0500181790691, 1.684754444319184e-07, 10.992512746058885, 1.335432928639846, 6163041.179474072
0.75, 0.0500187987761, 1.998690963782281e-07, 11.36394079646078, 1.486515643849345, 5782794.128446516
0.75, 0.0500194261298, 2.360545239766695e-07, 11.739260657289957, 1.650293875228762, 5435848.506521844
0.75, 0.0500200613855, 2.77600326954251e-07, 12.11850784592145, 1.827458417644441, 5118593.031359177
0.75, 0.0500207048016, 3.251193338094233e-07, 12.501704351623125, 2.018700276905589, 4827885.982505916
0.75, 0.0500213566398, 3.792686262375253e-07, 12.888857442664184, 2.224704318389853, 4560982.795753875
0.75, 0.0500220171653, 4.407489548768934e-07, 13.279958489390266, 2.446142035079217, 4315476.375414405
0.75, 0.0500226866467, 5.10303447784551e-07, 13.674981656842016, 2.68366334621158, 4089247.747665477
0.75, 0.0500233653564, 5.88715629818752e-07, 14.073882972439312, 2.937887747193232, 3880424.817293181
0.75, 0.0500240535705, 6.768066214529902e-07, 14.476599216807836, 3.209394567610716, 3687348.061695266
0.75, 0.0500247515688, 7.754315456527614e-07, 14.883047032871666, 3.498712662409496, 3508541.700010542
0.75, 0.0500254596354, 8.854752387923424e-07, 15.293122580183626, 3.80630995509264, 3342689.271286697
0.75, 0.0500261780582, 1.007847063019746e-06, 15.706700789196887, 4.13258235948674, 3188613.264596755
